Date,BITA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.1559673832468496,-1.904373610081542,-0.2959970348406227,-1.6756856931060045,-1.3808747220163085,0.0
2018-09-25,1.0,-1.157981185605495,-1.9261609675974316,-0.2868448559056294,-1.6937434672241303,-1.4012244288487383,0.0
2018-09-26,1.0,-1.159112969461659,-1.9274247741357424,-0.2893302471440305,-1.693123273351751,-1.397595758978571,0.0
2018-09-27,1.0,-1.1762500937101732,-1.9119874053527248,-0.2981482869780343,-1.703950820901117,-1.4064022790314115,0.0
2018-09-28,1.0,-1.1735871683405785,-1.9131314645480435,-0.29935541897766454,-1.702893119472343,-1.4060860440713534,0.0
2018-10-01,1.0,-1.1735122170589116,-1.91298156198471,-0.3001049317943337,-1.7024434117823415,-1.4060860440713534,0.0
2018-10-02,1.0,-1.1751967028849755,-1.89531659797677,-0.3070063694267516,-1.7056575496440611,-1.4101910828025477,0.0
2018-10-03,1.0,-1.1747565543071161,-1.8922846441947565,-0.30711610486891383,-1.70561797752809,-1.4109363295880148,0.0
2018-10-04,1.0,-1.1774917689314575,-1.883118826698593,-0.30851541454654297,-1.7083956899131996,-1.4052678838671055,0.0
2018-10-05,1.0,-1.156010420543357,-1.8695943431336064,-0.28113137327874954,-1.7204317082247862,-1.4160774097506514,0.0
2018-10-08,1.0,-1.1533660276415514,-1.8659533363055432,-0.27693565165700695,-1.7206865804725813,-1.4135829989597264,0.0
2018-10-09,1.0,-1.154217762913415,-1.8668896321070236,-0.2773690078037904,-1.7208472686733556,-1.412857673727239,0.0
2018-10-10,1.0,-1.1549012299664556,-1.8772269847185987,-0.2723071188967574,-1.726500186358554,-1.4234066343645175,0.0
2018-10-11,1.0,-1.045523301879997,-1.8718576676510839,-0.11251170496290426,-1.709500828351221,-1.4636605920910464,0.0
2018-10-12,1.0,-1.0588860544217689,-1.8504818594104309,-0.09743480725623584,-1.6690051020408163,-1.4102891156462585,0.0
2018-10-15,1.0,-1.132553035844916,-1.8504754937820047,-0.1526700804681785,-1.725603511338698,-1.453986832479883,0.0
2018-10-16,1.0,-1.1289519906323184,-1.8671692037470726,-0.1410275175644028,-1.7267271662763466,-1.4546252927400467,0.0
2018-10-17,1.0,-1.0938560392751426,-1.7869467908454264,-0.09147353981661975,-1.7437730127788609,-1.5035737491877843,0.0
2018-10-18,1.0,-1.0958161716887058,-1.7913144013295756,-0.08931281161933664,-1.7442011706048124,-1.5052388178336584,0.0
2018-10-19,1.0,-1.0718073670632078,-1.7669485452200087,-0.05840619177296832,-1.7596388132435146,-1.509602981224022,0.0
2018-10-22,1.0,-1.0720733629459807,-1.764364522137842,-0.05953575010746524,-1.758847972488895,-1.5095285857572718,0.0
2018-10-23,1.0,-1.10796783625731,-1.809283625730994,-0.08808479532163742,-1.7714181286549706,-1.5331140350877193,0.0
2018-10-24,1.0,-1.1099832030964725,-1.8035492587453446,-0.07441758562769298,-1.7764551230555758,-1.5385233330899,0.0
2018-10-25,1.0,-1.0309697309417039,-1.6832959641255605,-0.050448430493273536,-1.7850336322869953,-1.4570487668161434,0.0
