Date,ARWR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.1663215117784107,-3.34118560704116,-1.4231167486409528,-2.6585555267926484,-2.353999482267668,0.0
2018-09-25,1.0,-2.187321010153606,-3.3579796927883367,-1.4398594116115595,-2.6717000781046605,-2.3607133558969022,0.0
2018-09-26,1.0,-2.1921522617650893,-3.3660539694955025,-1.444792074045105,-2.6750097770825185,-2.3581019423803937,0.0
2018-09-27,1.0,-2.1923477355543985,-3.351379489849037,-1.445991671004685,-2.6708745445080684,-2.353591879229568,0.0
2018-09-28,1.0,-2.189762959103933,-3.357645220109403,-1.448163584266736,-2.6725709820265693,-2.3562125553529563,0.0
2018-10-01,1.0,-2.1899986977471024,-3.3560359421799713,-1.4482354473238703,-2.6723531709858057,-2.355775491600469,0.0
2018-10-02,1.0,-2.1906001822679335,-3.3465694571019395,-1.451764093217029,-2.673089441478974,-2.3571149589897145,0.0
2018-10-03,1.0,-2.195042400521853,-3.332028701891716,-1.4507501630789301,-2.6893672537508153,-2.379256360078278,0.0
2018-10-04,1.0,-2.238604835513278,-3.3544721891927605,-1.4676971858898138,-2.746994318932488,-2.404016382613291,0.0
2018-10-05,1.0,-2.2710117773019274,-3.42384903640257,-1.4670770877944326,-2.7886777301927195,-2.4326820128479656,0.0
2018-10-08,1.0,-2.2584254695617423,-3.406820301052351,-1.4537098707872653,-2.781803649926735,-2.4200079925402957,0.0
2018-10-09,1.0,-2.274504552758436,-3.429030530262453,-1.4662560257096948,-2.7943224424209965,-2.4262185324049277,0.0
2018-10-10,1.0,-2.2757328336233438,-3.4257796814348818,-1.468344264489359,-2.794137331013251,-2.421094900281087,0.0
2018-10-11,1.0,-2.0750095189744893,-3.3343063840588907,-1.237847442568854,-2.6759741083893895,-2.3688285315395357,0.0
2018-10-12,1.0,-2.1126012145748985,-3.3421052631578947,-1.231907894736842,-2.643471659919028,-2.3217358299595143,0.0
