Date,ESS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.30949221394719023,-0.4890182802979011,-0.0,-0.5276371022342586,-0.3820176032498307,0.0
2018-09-25,1.0,-0.30612189047918775,-0.5008346788538901,-0.0,-0.536520620672669,-0.3932021564817602,0.0
2018-09-26,1.0,-0.3092144932302801,-0.504412651427945,-0.0,-0.53749383325111,-0.38965630652853145,0.0
2018-09-27,1.0,-0.3084586672521682,-0.5078219343506422,-0.0,-0.5379844110220661,-0.3903008014052036,0.0
2018-09-28,1.0,-0.31284239504473504,-0.5078045423262216,-0.0,-0.5401238816242258,-0.3921816930488644,0.0
2018-10-01,1.0,-0.31302276629923004,-0.5168670027142304,-0.0,-0.5430399379604498,-0.3966653741760372,0.0
2018-10-02,1.0,-0.31282037072954477,-0.5195201019644786,-0.0,-0.5422958632346014,-0.39613754121526146,0.0
2018-10-03,1.0,-0.3122680697867627,-0.5144004430905567,-0.0,-0.5436444198283025,-0.39900304624757693,0.0
2018-10-04,1.0,-0.31617871091045063,-0.5091266653740686,-0.0,-0.5487078636124422,-0.39586737944215156,0.0
2018-10-05,1.0,-0.3046510986738717,-0.5013647266411183,-0.0,-0.5520663891262992,-0.39894130296931435,0.0
2018-10-08,1.0,-0.30194599653188736,-0.4979769342985329,-0.0,-0.5546227739396108,-0.39792463736203243,0.0
2018-10-09,1.0,-0.2946887966804979,-0.5014384508990318,-0.0,-0.561881051175657,-0.4082157676348548,0.0
2018-10-10,1.0,-0.2982941958351794,-0.5009968985378821,-0.0,-0.5648260965883917,-0.4050454142667258,0.0
2018-10-11,1.0,-0.24848044752837395,-0.4862567909203378,-0.0,-0.548356731751923,-0.4063794309074284,0.0
2018-10-12,1.0,-0.24562530101139832,-0.4830363354203457,-0.0,-0.5463423770535667,-0.40065286027719804,0.0
2018-10-15,1.0,-0.22139077449355923,-0.5066011010743492,-0.0,-0.5428403442193597,-0.40167833662942964,0.0
2018-10-16,1.0,-0.21589510302381593,-0.5172063152261173,-0.0,-0.5420123093390421,-0.4008295424137009,0.0
2018-10-17,1.0,-0.20359328830730267,-0.4932988602785986,-0.0,-0.5378324187420853,-0.40351941747572817,0.0
2018-10-18,1.0,-0.20417161716171617,-0.4951287128712872,-0.0,-0.5371353135313532,-0.4038283828382839,0.0
2018-10-19,1.0,-0.18932178932178934,-0.48440246622064803,-0.0,-0.5440902531811623,-0.4058244785517513,0.0
2018-10-22,1.0,-0.1891828058573453,-0.4768277961475883,-0.0,-0.5483126016900225,-0.40990920065081615,0.0
2018-10-23,1.0,-0.18641527295676869,-0.4784106447880509,-0.0,-0.5522509729672873,-0.4125907226254339,0.0
2018-10-24,1.0,-0.18511214535510506,-0.47390286871236625,-0.0,-0.554495017222792,-0.4158975572559228,0.0
2018-10-25,1.0,-0.14961740356741796,-0.44937452665117134,-0.0,-0.6056514585672874,-0.4069624715990703,0.0
2018-10-26,1.0,-0.1384873949579832,-0.4396638655462185,-0.0,-0.6073691014867486,-0.40015513897866845,0.0
2018-10-29,1.0,-0.1378212594145508,-0.43952687838082666,-0.0,-0.6111758159277376,-0.3996687113388721,0.0
2018-10-30,1.0,-0.10316665788503084,-0.4575320090626482,-0.0,-0.6288002529111123,-0.4449918330786659,0.0
2018-10-31,1.0,-0.10879811468970933,-0.4385441214977742,-0.0,-0.6291961246399581,-0.4419481539670071,0.0
2018-11-01,1.0,-0.07984300089563247,-0.4698382593119435,-0.0,-0.6353722143195827,-0.44915968600179124,0.0
2018-11-02,1.0,-0.0833987954962032,-0.45074626865671635,-0.0,-0.6393820371825085,-0.4449332285938727,0.0
2018-11-05,1.0,-0.08740440963918744,-0.44403857777310596,-0.0,-0.6413160591806165,-0.45515465272120464,0.0
2018-11-06,1.0,-0.08785346368127825,-0.4441553663407968,-0.0,-0.640964995269631,-0.4550089351413854,0.0
2018-11-07,1.0,-0.08734014337858774,-0.4441847640555658,-0.0,-0.6398466426827026,-0.45463617026863795,0.0
2018-11-08,1.0,-0.07660806510511764,-0.4419114194793677,-0.0,-0.635244405028953,-0.4546142208774584,0.0
2018-11-09,1.0,-0.07709567168462521,-0.44209345404263084,-0.0,-0.6350022176419943,-0.45479923817475015,0.0
2018-11-12,1.0,-0.07656733092571903,-0.4283301722570085,-0.0,-0.6408584270830626,-0.45241497570734496,0.0
