Date,IWF,IWM,MTUM,SPY,UNVR,VLUE,VXX
2018-09-24,-0.3704883598809732,-0.7671976194643795,-0.06623490285314194,-0.6489060038508664,1.0,-0.6479607911780151,0.0
2018-09-25,-0.36981356882534344,-0.7692038127277825,-0.0644098682366134,-0.6506518082422204,1.0,-0.6503013737033922,0.0
2018-09-26,-0.3722758378662923,-0.7728724337603089,-0.06839796455518513,-0.6507808387436392,1.0,-0.6450956308124233,0.0
2018-09-27,-0.3723239980346739,-0.7728293675861584,-0.06854074542008842,-0.6507334877518074,1.0,-0.6450831754053484,0.0
2018-09-28,-0.37104755220214075,-0.7737848745393929,-0.06909984207755747,-0.6504649938585717,1.0,-0.6449903491840675,0.0
2018-10-01,-0.3708539538801727,-0.7741743006563476,-0.06946053139587939,-0.6503106244077077,1.0,-0.6450458039380857,0.0
2018-10-02,-0.3707869117492004,-0.7844866973605594,-0.06698766386672758,-0.6489298140793589,1.0,-0.6434119425016694,0.0
2018-10-03,-0.3725607819612548,-0.7702812378700732,-0.06369314372419635,-0.6613147958643566,1.0,-0.6608560640813015,0.0
2018-10-04,-0.37507935388304997,-0.7652535797418354,-0.06440008464414192,-0.6643859772871552,1.0,-0.6577202511109543,0.0
2018-10-05,-0.36823967930234186,-0.7624305506716366,-0.05566495534144454,-0.6680849567480132,1.0,-0.6620015472255433,0.0
2018-10-08,-0.36728958830968106,-0.7610650555009133,-0.05420120837431502,-0.668645496698047,1.0,-0.6615146831530139,0.0
2018-10-09,-0.3662006463397499,-0.7614514542644373,-0.05142616270900661,-0.6701208374315021,1.0,-0.6635169312912744,0.0
2018-10-10,-0.3656821378340366,-0.7636427566807314,-0.04971870604781997,-0.6707805907172996,1.0,-0.6663502109704642,0.0
2018-10-11,-0.3352603145108565,-0.7579229895736556,-0.01011665118199649,-0.6631912184714911,1.0,-0.6745810536457796,0.0
2018-10-12,-0.34227891156462587,-0.7512585034013606,-0.005578231292517007,-0.6467346938775511,1.0,-0.6555102040816327,0.0
2018-10-15,-0.3180845644421803,-0.7770419426048566,-0.0,-0.6433689930378672,1.0,-0.6576668364747835,0.0
2018-10-16,-0.31215798239352843,-0.788110533292546,-0.0,-0.6421943509737942,1.0,-0.6564358791339518,0.0
2018-10-17,-0.29215778194481645,-0.7522435038842753,-0.0,-0.6385614787034557,1.0,-0.6655504955799625,0.0
2018-10-18,-0.2918605819131483,-0.7518666086316002,-0.0,-0.638865637660294,1.0,-0.6655506076941106,0.0
2018-10-19,-0.2812801811702801,-0.7454624171578913,-0.0,-0.6388583608086056,1.0,-0.6647350717687415,0.0
2018-10-22,-0.285134772696795,-0.7658911090250771,-0.0,-0.6376223682446024,1.0,-0.6639063966742659,0.0
2018-10-23,-0.28205386526966214,-0.767479347169051,-0.0,-0.6418832695278394,1.0,-0.6667674121834912,0.0
2018-10-24,-0.28059922074432353,-0.7688767969904609,-0.0,-0.642348515383582,1.0,-0.6670025527341127,0.0
2018-10-25,-0.26767609833675704,-0.75150752103903,-0.0,-0.6395533761844809,1.0,-0.6545291895831954,0.0
2018-10-26,-0.2557490144546649,-0.7408015768725361,-0.0,-0.6416557161629435,1.0,-0.6469448094612352,0.0
2018-10-29,-0.2516414970453053,-0.7420879842416284,-0.0,-0.6417596848325673,1.0,-0.647504924491136,0.0
2018-10-30,-0.24895788886336037,-0.7419831292874258,-0.0,-0.6417435257819937,1.0,-0.6495552565070404,0.0
2018-10-31,-0.2506861848124428,-0.7315383609985623,-0.0,-0.6393281923931513,1.0,-0.6460266631812835,0.0
2018-11-01,-0.2532940984142553,-0.7300637567435017,-0.0,-0.6398561386300474,1.0,-0.6463625960438123,0.0
2018-11-02,-0.2515692104393789,-0.7552362074661381,-0.0,-0.641228939544103,1.0,-0.6555665675586388,0.0
2018-11-05,-0.2517179859918065,-0.7549557288225188,-0.0,-0.6412713096339369,1.0,-0.6558741905642923,0.0
