Date,AEE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2601945876973789,-0.5266627678239141,-0.0,-0.5181562018182785,-0.3532883194215535,0.0
2018-09-25,1.0,-0.2589338019917985,-0.528705330990041,-0.0,-0.5196517015497684,-0.35551472546200136,0.0
2018-09-26,1.0,-0.25755876068376066,-0.5293803418803419,-0.0,-0.522008547008547,-0.3619925213675214,0.0
2018-09-27,1.0,-0.2567419190701909,-0.5348008891031305,-0.0,-0.5231782758897726,-0.36330039366915723,0.0
2018-09-28,1.0,-0.257938315603312,-0.5344730566199523,-0.0,-0.5234866957849889,-0.3637021356413623,0.0
2018-10-01,1.0,-0.2576912751677852,-0.5376644295302013,-0.0,-0.5240805369127517,-0.3651543624161074,0.0
2018-10-02,1.0,-0.2590793182123205,-0.5325191249496712,-0.0,-0.5256207220507314,-0.36701113944436986,0.0
2018-10-03,1.0,-0.25974096060442525,-0.5214247166756611,-0.0,-0.535671883432272,-0.3814894765245548,0.0
2018-10-04,1.0,-0.2660446247464503,-0.5158079783637592,-0.0,-0.544340770791075,-0.3783096686950642,0.0
2018-10-05,1.0,-0.25051804408084183,-0.506256896041336,-0.0,-0.5500417126402756,-0.38429451815172644,0.0
2018-10-08,1.0,-0.2486463071258393,-0.5078514186701321,-0.0,-0.5622698722113927,-0.38864522417153996,0.0
2018-10-09,1.0,-0.24448419797257007,-0.5083482409063804,-0.0,-0.5648885997723208,-0.3927467880956253,0.0
2018-10-10,1.0,-0.24837790145242297,-0.5083208904574453,-0.0,-0.5683724718338536,-0.38976516899687796,0.0
2018-10-11,1.0,-0.19062835590245944,-0.49021713507425546,-0.0,-0.5482333219832892,-0.39016213101443203,0.0
2018-10-12,1.0,-0.18658155289213132,-0.4871808233454925,-0.0,-0.5468473163105785,-0.38491401771756123,0.0
2018-10-15,1.0,-0.16347654218246127,-0.5085041090190368,-0.0,-0.5433007385831687,-0.38536357016540107,0.0
2018-10-16,1.0,-0.16171308214369295,-0.5112463270665939,-0.0,-0.5426320305796084,-0.38474139948513925,0.0
2018-10-17,1.0,-0.14850118831616876,-0.48452633461961103,-0.0,-0.5366078045539342,-0.38585775983235804,0.0
2018-10-18,1.0,-0.14819735799882466,-0.48404323274650585,-0.0,-0.5370621151340164,-0.3858241561693538,0.0
2018-10-19,1.0,-0.1337318271617446,-0.47231649865761616,-0.0,-0.541487260017223,-0.38526417101463956,0.0
2018-10-22,1.0,-0.13418668566775244,-0.4621081026058632,-0.0,-0.5526516693811075,-0.39584181596091206,0.0
2018-10-23,1.0,-0.1334266802443992,-0.46239816700611003,-0.0,-0.5535641547861507,-0.3964358452138493,0.0
2018-10-24,1.0,-0.13177762525737816,-0.4597473245379903,-0.0,-0.5539540913597193,-0.3965276189023615,0.0
2018-10-25,1.0,-0.09783446458317795,-0.42567315581412696,-0.0,-0.5851172273190621,-0.37766340966161954,0.0
