Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WOR
2018-09-24,-0.2741946468705305,-0.8561261322617995,-0.051726486412858416,-0.5449499421099231,-0.6782673840495812,0.0,1.0
2018-09-25,-0.2742627528434244,-0.8560580262889056,-0.051862698358646056,-0.5449158891234761,-0.6781992780766873,0.0,1.0
2018-09-26,-0.27748583907732205,-0.8607111171773699,-0.05674605882754385,-0.5453149525694397,-0.6720125571555313,0.0,1.0
2018-09-27,-0.29063756461803564,-0.9531519241815051,-0.04473004020677772,-0.5897472716829409,-0.7116240666283745,0.0,1.0
2018-09-28,-0.28807958912473514,-0.9560392199116473,-0.04550515389864598,-0.5900226268721043,-0.7119563265452716,0.0,1.0
2018-10-01,-0.2883836923521758,-0.9676883041781119,-0.04669654474483158,-0.5938990892005205,-0.7175798756686425,0.0,1.0
2018-10-02,-0.29185061880292396,-0.9467322863139612,-0.054534269378302094,-0.6008540204096403,-0.7247231671129768,0.0,1.0
2018-10-03,-0.2915174534273829,-0.9389763067462471,-0.05357207451618738,-0.6036534635557967,-0.7295713510580576,0.0,1.0
2018-10-04,-0.3016984829788778,-0.9304275241344269,-0.054511141758002465,-0.6178413297524861,-0.7247949481019089,0.0,1.0
2018-10-05,-0.2890367851846493,-0.9261764386732738,-0.04184902521069194,-0.6248779252721814,-0.7350887980612725,0.0,1.0
2018-10-08,-0.28719485772064135,-0.9235158168424095,-0.038603206702296694,-0.6272208580095335,-0.7346526072511917,0.0,1.0
2018-10-09,-0.2847021874885878,-0.9384654712778,-0.015374502428514042,-0.6510243581784319,-0.7623342950005477,0.0,1.0
2018-10-10,-0.2844465544315816,-0.9388306613592373,-0.01482671730635796,-0.6511704342110067,-0.7625899280575539,0.0,1.0
2018-10-11,-0.22784990726209162,-0.9333357112284206,-0.0,-0.6325438721643601,-0.7731488086745613,0.0,1.0
2018-10-12,-0.23776544998409951,-0.9318398643157486,-0.0,-0.6120985124200559,-0.7517755556340766,0.0,1.0
2018-10-15,-0.21086419753086422,-0.9568606701940037,-0.0,-0.6066666666666667,-0.7529453262786597,0.0,1.0
2018-10-16,-0.201966610073571,-0.9765846066779852,-0.0,-0.6062889077532541,-0.7522283531409167,0.0,1.0
2018-10-17,-0.17673995875135456,-0.9362393819694481,-0.0,-0.6093263886461355,-0.7733771454539099,0.0,1.0
2018-10-18,-0.17637806284735572,-0.935964207067706,-0.0,-0.6095983781327554,-0.7734279422559334,0.0,1.0
2018-10-19,-0.16220631169192273,-0.9303489503684137,-0.0,-0.6089601000973169,-0.7740859168636175,0.0,1.0
2018-10-22,-0.16279231383995277,-0.9274470968414469,-0.0,-0.6098544077278572,-0.7746273324298968,0.0,1.0
2018-10-23,-0.17536818594262582,-0.9333426397710616,-0.0,-0.6065121798003769,-0.7746911425978921,0.0,1.0
2018-10-24,-0.1733226279410738,-0.9285065977797947,-0.0,-0.6088808210570411,-0.7801438246177478,0.0,1.0
2018-10-25,-0.14445276850779815,-0.893959000204318,-0.0,-0.6097868283048424,-0.7570659946877342,0.0,1.0
2018-10-26,-0.136474328620713,-0.8848677535006427,-0.0,-0.6103970777244132,-0.7505580734627614,0.0,1.0
2018-10-29,-0.13250566624945032,-0.8870809512533406,-0.0,-0.6112783735326951,-0.7519705016745035,0.0,1.0
2018-10-30,-0.13024655866337473,-0.8870024013258024,-0.0,-0.6112557919301925,-0.7536780870565157,0.0,1.0
2018-10-31,-0.13257065948855987,-0.8737550471063257,-0.0,-0.60871467025572,-0.7496635262449528,0.0,1.0
2018-11-01,-0.14451647757968666,-0.8680105348460293,-0.0,-0.6120678011885468,-0.7519584008643977,0.0,1.0
2018-11-02,-0.15125344445191208,-0.8379931447005847,-0.0,-0.6232609718395054,-0.747899724443847,0.0,1.0
2018-11-05,-0.14505383580080752,-0.8585464333781965,-0.0,-0.6267496635262448,-0.7343876177658143,0.0,1.0
2018-11-06,-0.14562094142189025,-0.8584166077857409,-0.0,-0.6265603445375324,-0.734060092190707,0.0,1.0
2018-11-07,-0.14573236402800216,-0.8586093161012386,-0.0,-0.6269857296715132,-0.7343161012385568,0.0,1.0
