Date,IWF,IWM,MTUM,SPY,TSLA,VLUE,VXX
2018-09-24,-1.0918311403508771,-1.8037280701754386,-0.3736979166666667,-1.3532757675438598,1.0,-1.2305372807017545,0.0
2018-09-25,-1.095293553469891,-1.8001644173460303,-0.37959854764677675,-1.3501404398164008,1.0,-1.225457285743646,0.0
2018-09-26,-1.0961907371882706,-1.8011784050424775,-0.3814058646204439,-1.3496848451630583,1.0,-1.2226637434913674,0.0
2018-09-27,-1.1130309079644798,-1.7874991395332829,-0.38982584153644934,-1.3612583465271564,1.0,-1.2320506642803055,0.0
2018-09-28,-1.1094201900564662,-1.7914199146123124,-0.39113069825092966,-1.3614515906899878,1.0,-1.232750309874673,0.0
2018-10-01,-1.210308056872038,-1.9282434834123225,-0.40773104265402843,-1.5034804502369667,1.0,-1.3554502369668249,0.0
2018-10-02,-1.3647493837304847,-1.989975349219392,-0.514708299096138,-1.7503697617091207,1.0,-1.5970419063270338,0.0
2018-10-03,-1.3649437094255896,-1.9905497575807378,-0.515325827923412,-1.7501027200262962,1.0,-1.5966800887501027,0.0
2018-10-04,-1.3784384780102124,-1.9794103113160928,-0.5182012847965739,-1.7684071816834128,1.0,-1.5914182177565477,0.0
2018-10-05,-1.3585817228955126,-1.9648706190632164,-0.4923026531280707,-1.7747297739927939,1.0,-1.598182115951523,0.0
2018-10-08,-1.3630688352226055,-1.9747823229834074,-0.49227862658123867,-1.779940857565303,1.0,-1.604156398882865,0.0
2018-10-09,-1.3728981206726014,-1.9832673920211012,-0.5037916254533465,-1.7814045499505442,1.0,-1.6013023409165843,0.0
2018-10-10,-1.3946733250104035,-2.000249687890137,-0.5161880982105701,-1.807324178110695,1.0,-1.6044111527257594,0.0
2018-10-11,-1.2772188869057277,-2.0237708907999354,-0.32419276326464386,-1.8072367353561578,1.0,-1.6805127373032613,0.0
2018-10-12,-1.2993121100623901,-2.0050391937290035,-0.31003039513677816,-1.761238201887698,1.0,-1.6231003039513678,0.0
2018-10-15,-1.2687554811448616,-2.0514231045204494,-0.2631746791038826,-1.7603444152116716,1.0,-1.6287969385314518,0.0
