Date,IWF,IWM,MC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.283255235727264,-0.8004845239233688,1.0,-0.13550731567371138,-0.5027254470689491,-0.46565299161646106,0.0
2018-09-25,-0.283606348396966,-0.7998597743642042,1.0,-0.1362419529606731,-0.502262731850341,-0.46500732997641664,0.0
2018-09-26,-0.2838841263265241,-0.800280442334045,1.0,-0.1370024538704229,-0.5019917779406609,-0.4636859045858695,0.0
2018-09-27,-0.2832580924022668,-0.8114494284890981,1.0,-0.1348893798226235,-0.5052348477571799,-0.46690999903947744,0.0
2018-09-28,-0.28058591621526335,-0.8152825411070868,1.0,-0.13551716401166705,-0.5059457033879291,-0.46789961216705667,0.0
2018-10-01,-0.28335687684602545,-0.8145948375497625,1.0,-0.1350327468858354,-0.5085077693591884,-0.4689867728265057,0.0
2018-10-02,-0.28778414579174444,-0.7928392040698048,1.0,-0.1433447098976109,-0.5174512202975078,-0.4783630626569644,0.0
2018-10-03,-0.2905145370460205,-0.805924776042172,1.0,-0.144853012515766,-0.517350667830924,-0.47540506451925874,0.0
2018-10-04,-0.28986493052181517,-0.8097042723415282,1.0,-0.1449486606419849,-0.5164059210313218,-0.4781524309266997,0.0
2018-10-05,-0.28570966698997735,-0.8109925638538635,1.0,-0.14038150662786938,-0.5173941157452312,-0.47866149369544125,0.0
2018-10-08,-0.2839024075388885,-0.8081714322597301,1.0,-0.13715871683986317,-0.5200413089782482,-0.477990060027109,0.0
2018-10-09,-0.2879831796862365,-0.8103186155587904,1.0,-0.14410480349344978,-0.5182597444606178,-0.4740417273168366,0.0
2018-10-10,-0.2897580227743271,-0.8090709109730848,1.0,-0.14609213250517597,-0.519442287784679,-0.4705939440993788,0.0
2018-10-11,-0.2514645669291338,-0.8080944881889764,1.0,-0.10245669291338584,-0.5084094488188976,-0.47918110236220474,0.0
2018-10-12,-0.24909147869674186,-0.8089912280701755,1.0,-0.09849624060150378,-0.5035714285714286,-0.4726817042606516,0.0
2018-10-15,-0.24204897269912748,-0.8190261750633269,1.0,-0.08953310191700284,-0.5032367013791162,-0.4734340307095725,0.0
2018-10-16,-0.24052177177177175,-0.8259196696696696,1.0,-0.08445945945945946,-0.5036911911911911,-0.47353603603603595,0.0
2018-10-17,-0.22846395757538385,-0.7985447370043781,1.0,-0.07479805142751433,-0.5013566010976136,-0.4800209656533267,0.0
2018-10-18,-0.22682323856613104,-0.7968170580964155,1.0,-0.07648331273176762,-0.507663782447466,-0.4824474660074166,0.0
2018-10-19,-0.21919365742732472,-0.7933132567143999,1.0,-0.070647163665417,-0.5085428062196546,-0.4812242640280253,0.0
2018-10-22,-0.2190142360790825,-0.795221843003413,1.0,-0.07330197091289241,-0.5070565445992067,-0.4801525074562617,0.0
2018-10-23,-0.2192025086850924,-0.7950318197190026,1.0,-0.07384634303809143,-0.5064715467150367,-0.4797860239185907,0.0
2018-10-24,-0.32184042387408446,-1.097553373850709,1.0,-0.06350319463923951,-0.7315334268349696,-0.6814321333956678,0.0
2018-10-25,-0.2856174443565699,-1.0473392836967574,1.0,-0.058863405264941826,-0.7303129589876851,-0.6439197077543027,0.0
2018-10-26,-0.27179066034566424,-1.0375900556198439,1.0,-0.035798275411549514,-0.747620291910859,-0.640038821904513,0.0
2018-10-29,-0.25449680392448343,-1.0515460086219712,1.0,-0.020774490857737478,-0.7414523561766018,-0.648097220157574,0.0
2018-10-30,-0.25844242784885446,-1.0517703064564117,1.0,-0.023058613507884556,-0.7413716155905979,-0.6445254388574829,0.0
2018-10-31,-0.2616701723310823,-1.028561939554965,1.0,-0.025499095907598066,-0.7370751688254179,-0.6373666924978781,0.0
2018-11-01,-0.2592838440830475,-1.0308293690304975,1.0,-0.023232658479920343,-0.7369915551130287,-0.6373861415348304,0.0
2018-11-02,-0.2647705615012461,-1.0064140155402432,1.0,-0.01971851634657675,-0.7422298783169622,-0.6320554170942676,0.0
2018-11-05,-0.25885938819727516,-1.0296720649260034,1.0,-0.018251257757702616,-0.746906099665822,-0.6185964525724358,0.0
2018-11-06,-0.26886029411764706,-1.0380147058823528,1.0,-0.013272058823529411,-0.7440808823529411,-0.6122794117647058,0.0
