Date,IWF,IWM,MTUM,RDN,SPY,VLUE,VXX
2018-09-24,-0.5026095768938434,-1.5665062072460096,-0.0,1.0,-0.9993412718520396,-0.9986318723080821,0.0
2018-09-25,-0.5038237528488225,-1.5651050898961765,-0.0,1.0,-0.9984299822739935,-0.9971638389465689,0.0
2018-09-26,-0.5036718156495316,-1.5652063813623702,-0.0,1.0,-0.9984299822739935,-0.9972651304127628,0.0
2018-09-27,-0.5092105263157894,-1.5543016194331984,-0.0,1.0,-0.9995445344129554,-0.997672064777328,0.0
2018-09-28,-0.5091083898390851,-1.554144317376784,-0.0,1.0,-0.999342171844955,-0.9976216982086833,0.0
2018-10-01,-0.5103056147832268,-1.561935221849934,-0.0,1.0,-1.0024367956137679,-1.0019291298608997,0.0
2018-10-02,-0.5105669579353791,-1.5674151595204229,-0.0,1.0,-1.0014224751066856,-1.0008636456004878,0.0
2018-10-03,-0.5094665245419014,-1.5572813562763312,-0.0,1.0,-1.0036038779757372,-1.0055834729201565,0.0
2018-10-04,-0.5119427962878442,-1.5512957046503373,-0.0,1.0,-1.005831938739287,-1.0021299254526093,0.0
2018-10-05,-0.4831012913640032,-1.539598466505246,-0.0,1.0,-1.010542776432607,-1.011097659402744,0.0
2018-10-08,-0.47946653246099646,-1.5353296426774032,-0.0,1.0,-1.0095621540010067,-1.0083543029693005,0.0
2018-10-09,-0.4756128252881663,-1.5354608144158652,-0.0,1.0,-1.0111239744299592,-1.0113253133336688,0.0
2018-10-10,-0.4821221443340562,-1.5364365323516063,-0.0,1.0,-1.0169448787129962,-1.0075646779968732,0.0
2018-10-11,-0.3642342473040282,-1.5083901542627784,-0.0,1.0,-0.9629092315876009,-1.000290149426955,0.0
2018-10-12,-0.3583677735024464,-1.4943233100565294,-0.0,1.0,-0.9311671654553227,-0.9665099045176001,0.0
2018-10-15,-0.33273381294964033,-1.5128265808405907,-0.0,1.0,-0.9235611510791367,-0.9639341158652026,0.0
2018-10-16,-0.330320810069083,-1.5160405034541498,-0.0,1.0,-0.9224472414119429,-0.9628560613229866,0.0
2018-10-17,-0.29766473988439307,-1.4563699421965317,-0.0,1.0,-0.9063121387283237,-0.9639306358381503,0.0
2018-10-18,-0.2970843183609141,-1.4554303991099984,-0.0,1.0,-0.9149863254994669,-0.9679692207852408,0.0
2018-10-19,-0.2726897311186565,-1.4417729650362485,-0.0,1.0,-0.9112599798109572,-0.9626502707167109,0.0
2018-10-22,-0.2734235267140564,-1.437239165329053,-0.0,1.0,-0.9120385232744783,-0.9633570282045403,0.0
2018-10-23,-0.275582248303686,-1.4370071520264074,-0.0,1.0,-0.91000366770585,-0.9620850907757198,0.0
2018-10-24,-0.2719402711615977,-1.4366068156834004,-0.0,1.0,-0.9095822645657751,-0.9622572370831807,0.0
2018-10-25,-0.2232091816542808,-1.3680576931533355,-0.0,1.0,-0.8955191064596983,-0.9105580229541357,0.0
2018-10-26,-0.20245531841055006,-1.3458702064896757,-0.0,1.0,-0.8948030539649489,-0.8948898143328128,0.0
2018-10-29,-0.17645283669598208,-1.3548887739265392,-0.0,1.0,-0.8818330746680463,-0.8979134333505776,0.0
2018-10-30,-0.15048459674627898,-1.3613274489442715,-0.0,1.0,-0.888975424022153,-0.925969193492558,0.0
2018-10-31,-0.1548389863213413,-1.3328759487157498,-0.0,1.0,-0.8833240427082886,-0.9169418121006818,0.0
2018-11-01,-0.17645278450363194,-1.328216879972328,-0.0,1.0,-0.8938516084399861,-0.9252853683846419,0.0
2018-11-02,-0.18497035318381025,-1.28572656182865,-0.0,1.0,-0.9074074074074073,-0.9185357050786285,0.0
2018-11-05,-0.18614048663055627,-1.2836385521451292,-0.0,1.0,-0.9078755051156392,-0.9212449488436076,0.0
2018-11-06,-0.18917060593038246,-1.2850880962612805,-0.0,1.0,-0.9053717232488183,-0.9177481736140954,0.0
2018-11-07,-0.18927051541073808,-1.285431801573314,-0.0,1.0,-0.9059020762584362,-0.9180673171989855,0.0
2018-11-08,-0.15016599982974374,-1.2879458585170682,-0.0,1.0,-0.8925257512556396,-0.9257682812633012,0.0
2018-11-09,-0.14890616988548966,-1.2931122884976929,-0.0,1.0,-0.9010425568278927,-0.929712869594941,0.0
2018-11-12,-0.14691620586984264,-1.279625691195236,-0.0,1.0,-0.9019140791152701,-0.9250106337728626,0.0
2018-11-13,-0.10419571555330208,-1.282460810411121,-0.0,1.0,-0.9123251785186125,-0.9263108970296193,0.0
2018-11-14,-0.10592163658649985,-1.2817109767952999,-0.0,1.0,-0.913056342195359,-0.9260323766854052,0.0
2018-11-15,-0.10395475456886,-1.281813193770312,-0.0,1.0,-0.9134343476976322,-0.9214535938884902,0.0
2018-11-16,-0.10023555144275259,-1.2701270295280558,-0.0,1.0,-0.9104483889963826,-0.92546479347186,0.0
2018-11-19,-0.10466290716269674,-1.2695059338439525,-0.0,1.0,-0.9089302247285582,-0.9253009005975928,0.0
2018-11-20,-0.0638626681146103,-1.2610057639294963,-0.0,1.0,-0.9100325787319355,-0.9418177261715813,0.0
2018-11-21,-0.06429339287190937,-1.2527081782849583,-0.0,1.0,-0.9026296204415778,-0.9149507979823038,0.0
2018-11-23,-0.0657639433596169,-1.2398134004871402,-0.0,1.0,-0.9070717912727573,-0.9156999545886142,0.0
2018-11-26,-0.06519765618552448,-1.2413963852438723,-0.0,1.0,-0.9055871915490632,-0.914252702814228,0.0
2018-11-27,-0.05680978573187751,-1.2411542566291767,-0.0,1.0,-0.8988999261144405,-0.9078893358509152,0.0
2018-11-28,-0.05452823195090812,-1.2607388493060419,-0.0,1.0,-0.8959268563897699,-0.9072113998599728,0.0
2018-11-29,-0.014769906823452823,-1.2448223949220816,-0.0,1.0,-0.8935590185946211,-0.9156935346055255,0.0
2018-11-30,-0.014728619090243308,-1.2457075433314346,-0.0,1.0,-0.8951501342664172,-0.9130930100089512,0.0
2018-12-03,-0.011954621233684381,-1.2465335664620014,-0.0,1.0,-0.8950920993778717,-0.9126174114585451,0.0
2018-12-04,-0.006205386112913692,-1.2475259571706683,-0.0,1.0,-0.8917099286177806,-0.9103666450356911,0.0
2018-12-06,-0.0,-1.1997072437393679,-0.0,1.0,-0.8756577125450015,-0.8808007279344859,0.0
2018-12-07,-0.0,-1.2009417909857147,-0.0,1.0,-0.877962882355269,-0.8782003086541886,0.0
2018-12-10,-0.0,-1.197136262274559,-0.0,1.0,-0.8627596729392434,-0.8523140722193967,0.0
2018-12-11,-0.0,-1.2023239381329982,-0.0,1.0,-0.8568344194080237,-0.8664128130643007,0.0
2018-12-12,-0.0,-1.202528663420763,-0.0,1.0,-0.8582927595413853,-0.8656745720119365,0.0
2018-12-13,-0.0,-1.1984939404635842,-0.0,1.0,-0.8600619680746756,-0.8634349139114407,0.0
2018-12-14,-0.0,-1.2066622147150097,-0.0,1.0,-0.8569745060297757,-0.86455591782221,0.0
2018-12-17,-0.0,-1.201665884561239,-0.0,1.0,-0.8348975441889567,-0.873924605036759,0.0
2018-12-18,-0.0,-1.1846267438697393,-0.0,1.0,-0.8250884078809311,-0.8763066879104652,0.0
2018-12-19,-0.0,-1.1851693432359918,-0.0,1.0,-0.8258739355290274,-0.8774351596220398,0.0
2018-12-20,-0.0,-1.1733410717740376,-0.0,1.0,-0.8249564712710389,-0.8709228090539757,0.0
2018-12-21,-0.0,-1.173553401046476,-0.0,1.0,-0.8243690366266544,-0.8494152046783626,0.0
2018-12-24,-0.0,-1.1485949908368969,-0.0,1.0,-0.8089492974954186,-0.8603772144166157,0.0
2018-12-26,-0.0,-1.1553203553203553,-0.0,1.0,-0.781099981099981,-0.8435834435834436,0.0
2018-12-27,-0.0,-1.1101530817288372,-0.0,1.0,-0.7135289174673924,-0.8297833473384238,0.0
2018-12-28,-0.0,-1.1125063882602029,-0.0,1.0,-0.7112141344820033,-0.8267138789515952,0.0
2018-12-31,-0.0,-1.1122143535080675,-0.0,1.0,-0.711396656202088,-0.8268233919836461,0.0
2019-01-02,-0.0,-1.1131282875511397,-0.0,1.0,-0.7125949736995909,-0.8271113383985973,0.0
2019-01-03,-0.0,-1.112299660472418,-0.0,1.0,-0.7201270490307036,-0.8184075061151473,0.0
2019-01-04,-0.0,-1.1153567022280282,-0.0,1.0,-0.6937731330285217,-0.8195805210828072,0.0
2019-01-07,-0.0,-1.081876757680396,-0.0,1.0,-0.6823181802000641,-0.7956640917019686,0.0
2019-01-08,-0.0,-1.059337134711333,-0.0,1.0,-0.7077690662865288,-0.7966856735566642,0.0
2019-01-09,-0.0,-1.0580711817307349,-0.0,1.0,-0.7075421283266237,-0.7970358758773024,0.0
2019-01-10,-0.0,-1.0596477467199086,-0.0,1.0,-0.7074301197946378,-0.7982387335995437,0.0
2019-01-11,-0.0,-1.0433215572922243,-0.0,1.0,-0.7122363772615352,-0.8129393712307749,0.0
2019-01-14,-0.0,-1.043622603791097,-0.0,1.0,-0.7165958662049763,-0.8095527076714383,0.0
2019-01-15,-0.0,-1.0334548573879478,-0.0,1.0,-0.7148473800843521,-0.8259346629494604,0.0
2019-01-16,-0.0,-1.0320425805529756,-0.0,1.0,-0.7139744230906622,-0.8261413159962848,0.0
2019-01-17,-0.0,-1.0228534814181973,-0.0,1.0,-0.7107005553182401,-0.8262138687170725,0.0
2019-01-18,-0.0,-1.0134379703289615,-0.0,1.0,-0.7191285028309324,-0.850928115817387,0.0
2019-01-22,-0.0,-1.097302223842508,-0.0,1.0,-0.6921254101348888,-0.85625227852716,0.0
2019-01-23,-0.0,-1.0544125708021195,-0.0,1.0,-0.7046957792801023,-0.8951945916316463,0.0
2019-01-24,-0.0,-1.0462038966260923,-0.0,1.0,-0.718426728076909,-0.8907409438169391,0.0
2019-01-25,-0.0,-1.0488231138214403,-0.0,1.0,-0.7365857286282675,-0.9330680846316884,0.0
2019-01-28,-0.0,-1.0269465535209172,-0.0,1.0,-0.7662274825070716,-0.9287628405538187,0.0
2019-01-29,-0.0,-1.0194773636397623,-0.0,1.0,-0.7645145612920109,-0.954465587498598,0.0
2019-01-30,-0.0,-1.0175412349927069,-0.0,1.0,-0.7635112391068556,-0.9590455174477316,0.0
2019-01-31,-0.0,-1.0288677549797813,-0.0,1.0,-0.731091807698068,-0.9842743747191853,0.0
2019-02-01,-0.0,-1.026305942224218,-0.0,1.0,-0.7444244873521929,-0.9712243676096394,0.0
2019-02-04,-0.0,-1.0248165893097767,-0.0,1.0,-0.743337325946998,-0.9749213954184759,0.0
2019-02-05,-0.0,-1.0095159598381538,-0.0,1.0,-0.7378615315450322,-0.9990633897797094,0.0
2019-02-06,-0.0,-0.9960305572198921,-0.0,1.0,-0.739552127022169,-1.0091746554823249,0.0
2019-02-07,-0.0,-0.9882903105125329,-0.0,1.0,-0.7357650579872803,-1.0170594837261504,0.0
2019-02-08,-0.0,-0.9914853713428358,-0.0,1.0,-0.7546136534133533,-1.0048762190547638,0.0
2019-02-11,-0.0,-0.9739215391552682,-0.0,1.0,-0.7616864572373364,-1.0220577183225612,0.0
2019-02-12,-0.0,-0.9645673748160446,-0.0,1.0,-0.7837062752348968,-1.02520659597751,0.0
2019-02-13,-0.0,-0.9746118100419359,-0.0,1.0,-0.782462503305754,-1.020930144697571,0.0
2019-02-14,-0.0,-0.9487723552591696,-0.0,1.0,-0.8138072143073659,-1.026447408305547,0.0
2019-02-15,-0.0,-0.9615895547880215,-0.0,1.0,-0.8104528029756709,-1.0234561809693703,0.0
2019-02-19,-0.0,-0.9839638316781946,-0.0,1.0,-0.8309440086556668,-1.0491904633100195,0.0
2019-02-20,-0.0,-0.9828465461288827,-0.0,1.0,-0.8317879771287281,-1.0487559882552928,0.0
2019-02-21,-0.0,-0.9514319855066877,-0.0,1.0,-0.8369116910149174,-1.0662606483444474,0.0
2019-02-22,-0.0,-0.9433293523904919,-0.0,1.0,-0.8455137342528026,-1.0636822437107523,0.0
2019-02-25,-0.0,-0.9420726991492653,-0.0,1.0,-0.8550270688321733,-1.0698762567672082,0.0
2019-02-26,-0.0,-0.941933827305407,-0.0,1.0,-0.7297703763480302,-0.9963685716381777,0.0
2019-02-27,-0.0,-0.9368899977984884,-0.0,1.0,-0.7414691421442724,-0.9908270345637338,0.0
2019-02-28,-0.0,-0.9340193485271205,-0.0,1.0,-0.7250987354614297,-0.9642016015073009,0.0
2019-03-01,-0.0,-0.9285300925925926,-0.0,1.0,-0.7277199074074073,-0.9606481481481481,0.0
2019-03-04,-0.0,-0.930005778676683,-0.0,1.0,-0.7114273331407107,-0.9702036983530771,0.0
2019-03-05,-0.0,-0.9059427414690573,-0.0,1.0,-0.7410352805089647,-0.967792076344708,0.0
2019-03-06,-0.0,-0.9009422042525541,-0.0,1.0,-0.7423197718493918,-0.9667160030323815,0.0
2019-03-07,-0.0,-0.8528217839566045,-0.0,1.0,-0.775191292165104,-0.9643280525918742,0.0
2019-03-08,-0.0,-0.8393025106721655,-0.0,1.0,-0.8082989653425946,-0.9701179364734824,0.0
2019-03-11,-0.0,-0.8390062383714566,-0.0,1.0,-0.8144540512932764,-0.9947101528583415,0.0
2019-03-12,-0.0,-0.8020860207127851,-0.0,1.0,-0.8376884236907086,-1.045774518114473,0.0
2019-03-13,-0.0,-0.8225604363207547,-0.0,1.0,-0.8353478773584906,-1.027233195754717,0.0
2019-03-14,-0.0,-0.8245975910714943,-0.0,1.0,-0.8334008619101992,-1.0253416332093264,0.0
2019-03-15,-0.0,-0.8146424349881797,-0.0,1.0,-0.8369902482269503,-1.042183806146572,0.0
2019-03-18,-0.0,-0.8331718225866568,-0.0,1.0,-0.8444651509504286,-1.049534103615356,0.0
2019-03-19,-0.0,-0.838732631736639,-0.0,1.0,-0.8427774240665143,-1.0636680274147035,0.0
2019-03-20,-0.0,-0.8523845287269997,-0.0,1.0,-0.8358993616222306,-1.0669170108899737,0.0
2019-03-21,-0.0,-0.852654103160898,-0.0,1.0,-0.8482994218785194,-1.0530820632179592,0.0
2019-03-22,-0.0,-0.8467763282283984,-0.0,1.0,-0.881792399319342,-1.0528644356211003,0.0
2019-03-25,-0.0,-0.6888460302153648,-0.0,1.0,-0.6762134361941499,-0.8493410478945678,0.0
2019-03-26,-0.0,-0.6915099825547587,-0.0,1.0,-0.6679589067648769,-0.8711313562059831,0.0
2019-03-27,-0.0,-0.6823335594534354,-0.0,1.0,-0.6736440869593306,-0.8743095261168718,0.0
2019-03-28,-0.0,-0.6780762144865704,-0.0,1.0,-0.6659555900319984,-0.8881347167006045,0.0
2019-03-29,-0.0,-0.6795655125594027,-0.0,1.0,-0.6656968286296189,-0.8875634435715902,0.0
2019-04-01,-0.0,-0.6910519169845477,-0.0,1.0,-0.6623779659921122,-0.8792590676925066,0.0
2019-04-02,-0.0,-0.6944264839001681,-0.0,1.0,-0.6681430234061813,-0.8703284624337256,0.0
2019-04-03,-0.0,-0.6990767090368685,-0.0,1.0,-0.6126288496806426,-0.8502497944729019,0.0
2019-04-04,-0.0,-0.6987116583837168,-0.0,1.0,-0.607926308125732,-0.8588205501566901,0.0
2019-04-05,-0.0,-0.6833412434741338,-0.0,1.0,-0.603828508147445,-0.8768549280177187,0.0
2019-04-08,-0.0,-0.680179610422464,-0.0,1.0,-0.60318112825702,-0.8787945863900833,0.0
2019-04-09,-0.0,-0.6620785893247916,-0.0,1.0,-0.6404490818559514,-0.8689543623735373,0.0
2019-04-10,-0.0,-0.6328891675811256,-0.0,1.0,-0.6084966295657627,-0.8939018654961591,0.0
2019-04-11,-0.0,-0.6180714218647303,-0.0,1.0,-0.6402303527276141,-0.871490720165253,0.0
2019-04-12,-0.0,-0.6183337506259389,-0.0,1.0,-0.6372058087130695,-0.8741862794191286,0.0
2019-04-15,-0.0,-0.6161606754827094,-0.0,1.0,-0.6254733966598374,-0.8625752778295152,0.0
2019-04-16,-0.0,-0.5786393345216875,-0.0,1.0,-0.5486928104575163,-0.8435531788472965,0.0
2019-04-17,-0.0,-0.5811404811404812,-0.0,1.0,-0.5527769527769528,-0.836085536085536,0.0
2019-04-18,-0.0,-0.5832120474054712,-0.0,1.0,-0.5469747824278968,-0.8400807912792942,0.0
2019-04-22,-0.0,-0.5877292212431531,-0.0,1.0,-0.549297451774232,-0.839872588711598,0.0
2019-04-23,-0.0,-0.5840578847070033,-0.0,1.0,-0.5555621724630776,-0.837988327775131,0.0
2019-04-24,-0.0,-0.570795802491156,-0.0,1.0,-0.5586075685959748,-0.8433366033473052,0.0
2019-04-25,-0.0,-0.5650494667102409,-0.0,1.0,-0.5672182774295137,-0.8387058439050477,0.0
2019-04-26,-0.0,-0.5499494559077125,-0.0,1.0,-0.5888684069691384,-0.8343640363917465,0.0
2019-04-29,-0.0,-0.5454950804078357,-0.0,1.0,-0.5878838322285307,-0.8392140542790049,0.0
2019-04-30,-0.0,-0.5421310744538564,-0.0,1.0,-0.5875761628770991,-0.8425323227819883,0.0
