Date,ELLO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.0112435654294227,-4.041045787049581,-0.0,-3.37957193172582,-3.114467623950149,0.0
2018-09-25,1.0,-2.022878028969812,-4.034384729930959,-0.0,-3.3749830783809394,-3.1050494111276565,0.0
2018-09-26,1.0,-2.024542372881356,-4.0395932203389835,-0.0,-3.3808813559322037,-3.114169491525424,0.0
2018-09-27,1.0,-2.023995686168779,-3.9947425181989753,-0.0,-3.364249123753033,-3.0977352386087897,0.0
2018-09-28,1.0,-2.0191323093505793,-3.9962274319590407,-0.0,-3.36176232821342,-3.096335219617354,0.0
2018-10-01,1.0,-2.037787141497893,-4.038602691314394,-0.0,-3.390376512165285,-3.1258665216800328,0.0
2018-10-02,1.0,-2.0445470596224364,-4.005296754040472,-0.0,-3.3976639956539456,-3.134048621485807,0.0
2018-10-03,1.0,-2.036560595802302,-3.9662830060934327,-0.0,-3.3967501692620177,-3.141503046716317,0.0
2018-10-04,1.0,-2.057674039896865,-3.952775139096213,-0.0,-3.4242095263943546,-3.135839326910028,0.0
2018-10-05,1.0,-1.9548060258632185,-3.858818824156779,-0.0,-3.3968804159445414,-3.1209172110385284,0.0
2018-10-08,1.0,-1.9658937719061742,-3.8947155567538423,-0.0,-3.4606362901051497,-3.159476947964411,0.0
2018-10-09,1.0,-1.958468176914779,-3.8956310679611645,-0.0,-3.464536138079827,-3.1657227615965478,0.0
2018-10-10,1.0,-1.9642760851981669,-3.8916149905634945,-0.0,-3.468455109193853,-3.156241574548396,0.0
2018-10-11,1.0,-1.5059824842728506,-3.6248920685827066,-0.0,-3.176760823979277,-3.0273837424448007,0.0
2018-10-12,1.0,-1.5986710130391175,-3.728936810431294,-0.0,-3.1937061183550655,-3.0164242728184556,0.0
2018-10-15,1.0,-1.4958740637298462,-3.9113875841056234,-0.0,-3.2206423765392915,-3.0672844991748125,0.0
2018-10-16,1.0,-1.4838177433684479,-3.9294326691204464,-0.0,-3.215890341413885,-3.0628252316283793,0.0
2018-10-17,1.0,-1.450375642546461,-3.9717938579148537,-0.0,-3.4195334124159746,-3.338737313826281,0.0
2018-10-18,1.0,-1.4474308300395258,-3.96600790513834,-0.0,-3.4233201581027672,-3.3384716732542823,0.0
2018-10-19,1.0,-1.3477470458382028,-3.8855992728217115,-0.0,-3.4250097389949357,-3.327100376574471,0.0
2018-10-22,1.0,-1.3765358699960366,-3.9094992733518303,-0.0,-3.5138063152331878,-3.411943453560576,0.0
2018-10-23,1.0,-1.3779569181974363,-3.9100039645830584,-0.0,-3.5146028809303558,-3.4127130963393686,0.0
2018-10-24,1.0,-1.3658665259825904,-3.888419941967819,-0.0,-3.5156950672645744,-3.4191506198892117,0.0
2018-10-25,1.0,-1.1131684736265075,-3.4978681934462177,-0.0,-3.4308685588987697,-3.139724692410769,0.0
2018-10-26,1.0,-0.9854790761490968,-3.2482277612622914,-0.0,-3.262176995197805,-2.937914475188658,0.0
2018-10-29,1.0,-0.9957627118644067,-3.802388289676425,-0.0,-3.6476630713918845,-3.3945814072932716,0.0
2018-10-30,1.0,-1.0615766766897632,-3.8712249967315984,-0.0,-3.70976598248137,-3.4310367368283434,0.0
2018-10-31,1.0,-1.072841726618705,-3.7279033915724558,-0.0,-3.66983556012333,-3.3762846865364846,0.0
2018-11-01,1.0,-1.020283975659229,-3.707783975659229,-0.0,-3.617266734279918,-3.332023326572008,0.0
2018-11-02,1.0,-1.0388458656007993,-3.5353484886335247,-0.0,-3.6327754184361725,-3.2837871596302772,0.0
2018-11-05,1.0,-1.03601246105919,-3.5322118380062304,-0.0,-3.622928348909657,-3.2700311526479746,0.0
2018-11-06,1.0,-1.060803202802452,-3.564869260603028,-0.0,-3.6239209308144624,-3.261228575003128,0.0
2018-11-07,1.0,-1.055873568939771,-3.544425087108014,-0.0,-3.6007964161274266,-3.2427824788451964,0.0
2018-11-08,1.0,-0.9080431584109858,-3.542300147130947,-0.0,-3.5472045120156945,-3.2632417851888182,0.0
2018-11-09,1.0,-0.9066634002939735,-3.538094071533562,-0.0,-3.5448309652131305,-3.259309162175404,0.0
2018-11-12,1.0,-0.9443881428933368,-3.593235368634406,-0.0,-3.7451228781352928,-3.385102609576894,0.0
2018-11-13,1.0,-0.7986706948640483,-3.427552870090634,-0.0,-3.6141389728096676,-3.244108761329305,0.0
2018-11-14,1.0,-0.8049903100775195,-3.4333817829457365,-0.0,-3.623667635658915,-3.250363372093023,0.0
2018-11-15,1.0,-0.7957416095272465,-3.4160952724648146,-0.0,-3.6142186936124143,-3.203416335859497,0.0
2018-11-16,1.0,-0.7737712721647031,-3.3477329525169583,-0.0,-3.5795549208615975,-3.199452576460788,0.0
2018-11-19,1.0,-0.7784651992861392,-3.345389649018441,-0.0,-3.5760856632956575,-3.197620464009518,0.0
2018-11-20,1.0,-0.5733699040019947,-3.517267173669118,-0.0,-3.838922827577609,-3.5377135020571,0.0
2018-11-21,1.0,-0.5908868201861832,-3.4632533072023515,-0.0,-3.8092846643802054,-3.3855952964233214,0.0
2018-11-23,1.0,-0.6051624058293196,-3.4348524144744963,-0.0,-3.880079041620353,-3.4301593182660244,0.0
2018-11-26,1.0,-0.6021505376344086,-3.457421826721048,-0.0,-3.8755407242615254,-3.424298603386479,0.0
2018-11-27,1.0,-0.5478547854785479,-3.4556900134457895,-0.0,-3.8358391394695026,-3.384060628285051,0.0
2018-11-28,1.0,-0.5756146014402781,-3.4746709709461134,-0.0,-3.915569903153712,-3.450211075242116,0.0
2018-11-29,1.0,-0.4144514258095698,-3.370952150797487,-0.0,-3.8576607056549057,-3.4399468342194295,0.0
2018-11-30,1.0,-0.41357651890324915,-3.371542456818456,-0.0,-3.8612151225993476,-3.4324193743205695,0.0
2018-12-03,1.0,-0.40651801029159523,-3.436045086988483,-0.0,-3.9240382259250186,-3.485297721146778,0.0
2018-12-04,1.0,-0.3758397312859884,-3.3726007677543186,-0.0,-3.835172744721689,-3.4124280230326294,0.0
2018-12-06,1.0,-0.2981861888111888,-2.881883741258741,-0.0,-3.6368006993006996,-3.109702797202797,0.0
2018-12-07,1.0,-0.2934033475549721,-2.886773875943551,-0.0,-3.6430368668635813,-3.1165080406957664,0.0
2018-12-10,1.0,-0.1738537404259784,-2.8058965481061797,-0.0,-3.5429650613786587,-2.9693631308362183,0.0
