Date,IWF,IWM,MTUM,ROK,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.29997610386851814,-0.0,1.0,-0.11093115259007513,-0.0,-0.18301781589358257,-0.12287921833098797,-0.5080583065608156,-0.0,-0.03074635583994902,-0.07875102886121657,-0.24708599952207735,-0.0,-0.0,-0.0,-0.0736531874784271,-0.0,-0.0
2019-01-03,-0.0,-0.2988814913448735,-0.0,1.0,-0.12079893475366178,-0.0,-0.1974966711051931,-0.11560585885486017,-0.5083621837549933,-0.0,-0.02548601864181092,-0.077762982689747,-0.2443675099866844,-0.0,-0.0,-0.0,-0.07432756324900133,-0.0,-0.0
2019-01-04,-0.0,-0.29861554845580407,-0.0,1.0,-0.11853035143769967,-0.0,-0.19842917997870074,-0.11400425985090522,-0.5108626198083067,-0.0,-0.02433439829605964,-0.0777689030883919,-0.24632587859424923,-0.0,-0.0,-0.0,-0.0735356762513312,-0.0,-0.0
2019-01-07,-0.0,-0.2583222370173102,-0.0,1.0,-0.18482546147620169,-0.0,-0.2493146393044568,-0.09691652959452755,-0.4728074984987337,-0.0,-0.022035978172893655,-0.07038980705464609,-0.22837523824443226,-0.0,-0.0,-0.0,-0.027910498420406778,-0.0,-0.0
2019-01-08,-0.0,-0.25151483493522775,-0.0,1.0,-0.1853583368157125,-0.0,-0.25344755536982866,-0.0921698704554952,-0.47732971165900545,-0.0,-0.019405557877141662,-0.07571562891767655,-0.22806101128290848,-0.0,-0.0,-0.0,-0.028781863769327204,-0.0,-0.0
2019-01-09,-0.0,-0.2416549497474353,-0.0,1.0,-0.1793469770348383,-0.0,-0.25910014060303077,-0.09823985835546528,-0.4775816278706452,-0.0,-0.019189709941155028,-0.08376295370515023,-0.22267354059261574,-0.0,-0.0,-0.0,-0.022184033744727386,-0.0,-0.0
2019-01-10,-0.0,-0.24176625270118982,-0.0,1.0,-0.17925486214168554,-0.0,-0.25889765419563127,-0.09820614960035408,-0.47741414772579344,-0.0,-0.01937046004842615,-0.08373037569319691,-0.2228383972506444,-0.0,-0.0,-0.0,-0.022078158764872815,-0.0,-0.0
2019-01-11,-0.0,-0.2357820829541022,-0.013106228058769992,1.0,-0.1921206605122871,-0.0,-0.2610843843453387,-0.11610973865557145,-0.47517878039266676,-0.0,-0.021843713431283315,-0.10513587309842673,-0.17045897802626445,-0.0,-0.0,-0.0,-0.009621635678065272,-0.0,-0.0
2019-01-14,-0.0,-0.2310979446308725,-0.0,1.0,-0.1911178691275168,-0.0,-0.2819054110738255,-0.17688234060402686,-0.4597577600671141,-0.0,-0.00579383389261745,-0.10816904362416106,-0.15850461409395972,-0.0,-0.0,-0.0,-0.008441694630872484,-0.0,-0.0
2019-01-15,-0.0,-0.21588711784687745,-0.0,1.0,-0.19840606218970472,-0.0,-0.2692709694277502,-0.16263391690619283,-0.4442905670237784,-0.0,-0.008021949307551606,-0.13370786516853933,-0.18079435589234388,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
