Date,IWF,IWM,MTUM,SITM,SPY,VLUE,VXX
2020-07-20,-1.1754870298989477,-0.5699552036670487,-1.0449005104698406,1.0,-1.327950828211272,-0.09058235232836753,0.0
2020-07-21,-1.1878164639557343,-0.5656940021924101,-1.0539750482852221,1.0,-1.3313149240486506,-0.08117137338831759,0.0
2020-07-22,-1.2145294210277675,-0.5509946984410267,-1.077476247965986,1.0,-1.3367802215106819,-0.06923521075009186,0.0
2020-07-23,-1.2144694702577834,-0.5546280254108258,-1.0788575628707933,1.0,-1.336168425473828,-0.06609964823856776,0.0
2020-07-24,-1.193426639408712,-0.5667557792105676,-1.0671489227866018,1.0,-1.3335954290506895,-0.08103999580646852,0.0
2020-07-27,-1.192053327734621,-0.5662397648540836,-1.0701763594373295,1.0,-1.331723703548184,-0.08854713415914339,0.0
2020-07-28,-1.1869394177812747,-0.5634933123524783,-1.0645685811696828,1.0,-1.3342774718069763,-0.09593495934959351,0.0
2020-07-29,-1.1870016785564415,-0.5636277801091062,-1.0646768778850189,1.0,-1.3340327318506084,-0.09614981116240033,0.0
2020-07-30,-1.1859733724709087,-0.5552992976202956,-1.0651011636439878,1.0,-1.3337351923681728,-0.10153055875877974,0.0
2020-07-31,-1.1941528448456855,-0.5561095947931975,-1.0681818181818181,1.0,-1.3343480999370145,-0.09600041990342222,0.0
2020-08-03,-1.1772338078478752,-0.5701528602195723,-1.0741188212428427,1.0,-1.3277302095918473,-0.10364027945579661,0.0
2020-08-04,-1.1752506956476085,-0.5664934110358586,-1.0723473512889168,1.0,-1.329238200241508,-0.10678847062529533,0.0
2020-08-05,-1.1747557516545855,-0.567233953146339,-1.0729068179430612,1.0,-1.3297090030465384,-0.10809959029309803,0.0
2020-08-06,-1.174851620358212,-0.5617416881138715,-1.0751089868165344,1.0,-1.329324019118651,-0.11135038604968749,0.0
2020-08-07,-1.1810771010834122,-0.5611654570316609,-1.0757336699274218,1.0,-1.3354370463868728,-0.10592195224571369,0.0
2020-08-10,-1.19539321104786,-0.5526038372338182,-1.0855471220746362,1.0,-1.3389205144423362,-0.09846088973223698,0.0
2020-08-11,-1.1860428231562252,-0.5565952947396245,-1.0742268041237113,1.0,-1.3460745440126882,-0.12386994448850118,0.0
2020-08-12,-1.1851186386936532,-0.5563599852031919,-1.0715531363948634,1.0,-1.3479363737250964,-0.12360619352111188,0.0
2020-08-13,-1.1773580924245621,-0.5643068157839206,-1.0541253428993458,1.0,-1.3470141380037983,-0.1326229162270521,0.0
2020-08-14,-1.180062272415431,-0.5651485566520661,-1.0566784526887962,1.0,-1.3465618238429469,-0.12892500923531586,0.0
2020-08-17,-1.1802828794595734,-0.5653894870170995,-1.0567869959890226,1.0,-1.3463162339033143,-0.128826261346844,0.0
2020-08-18,-1.1790989660265878,-0.5646760920025321,-1.0514876556235493,1.0,-1.3478054441865372,-0.13230639375395653,0.0
2020-08-19,-1.1782455029804295,-0.5654375692356386,-1.0510629318985072,1.0,-1.3471540855620616,-0.13319618083030016,0.0
2020-08-20,-1.177699245740809,-0.5657998839601245,-1.0506355820454665,1.0,-1.3467482462155176,-0.13365683844084603,0.0
2020-08-21,-1.1707651715039578,-0.5694459102902375,-1.0445910290237466,1.0,-1.3478100263852244,-0.14443271767810026,0.0
2020-08-24,-1.169781438074121,-0.5749656847217823,-1.043923556118678,1.0,-1.3465843099989443,-0.14401858304297327,0.0
2020-08-25,-1.1696758526026818,-0.5749656847217823,-1.0437651779115193,1.0,-1.3463731390560658,-0.14444092492872979,0.0
2020-08-26,-1.173678646934461,-0.5749471458773784,-1.0466701902748414,1.0,-1.3485729386892176,-0.1415433403805497,0.0
2020-08-27,-1.1528652309646013,-0.5938409439652892,-1.0369860839197842,1.0,-1.3478490925445792,-0.1596909889412138,0.0
2020-08-28,-1.1571587478150325,-0.5933576990306689,-1.0400974627893427,1.0,-1.3488002542507547,-0.15742359235128978,0.0
2020-08-31,-1.1579449152542374,-0.593114406779661,-1.041154661016949,1.0,-1.3485699152542374,-0.15582627118644068,0.0
2020-09-01,-1.1574928412344894,-0.5991621592957895,-1.0289532293986636,1.0,-1.3576731360695724,-0.15950790115600805,0.0
2020-09-02,-1.1842217940483837,-0.6116463284093342,-1.04313851423678,1.0,-1.3771676300578033,-0.13594519374866196,0.0
2020-09-03,-1.1847750494837639,-0.6148290804044294,-1.0452040870914245,1.0,-1.374043759696143,-0.13069063285721927,0.0
2020-09-04,-1.1433944273757812,-0.617597203093548,-1.0045025956139422,1.0,-1.3789596355546139,-0.15266447716919165,0.0
2020-09-08,-1.1439546466037935,-0.6181519550704673,-1.0055632086468158,1.0,-1.37617887040373,-0.15444526862350325,0.0
2020-09-09,-1.1198588656590658,-0.6273105482121228,-0.9736689662436147,1.0,-1.3700563484122386,-0.17531202275001317,0.0
2020-09-10,-1.1067339006198131,-0.6289526210736422,-0.9556676121441328,1.0,-1.3697342157789685,-0.1915642399411703,0.0
