Date,BRX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.32575637321819745,-0.7703419156163688,-0.0,-0.5668116448141212,-0.5117622781675609,0.0
2018-09-25,1.0,-0.3228937202694505,-0.7777990613925869,-0.0,-0.5725824474028669,-0.5192669923059732,0.0
2018-09-26,1.0,-0.32621483375959076,-0.7815856777493606,-0.0,-0.5735933503836317,-0.515505115089514,0.0
2018-09-27,1.0,-0.3250617165207912,-0.7886890449168028,-0.0,-0.5751338527139238,-0.517168413965567,0.0
2018-09-28,1.0,-0.326245229160653,-0.7881907694281407,-0.0,-0.5754193527694922,-0.5174316046056641,0.0
2018-10-01,1.0,-0.32713058086192415,-0.7999612327970538,-0.0,-0.5798927440718485,-0.5236156877947923,0.0
2018-10-02,1.0,-0.3257059396299903,-0.821713729308666,-0.0,-0.5774748458292762,-0.5208049334631613,0.0
2018-10-03,1.0,-0.32571799448320626,-0.8204445886743469,-0.0,-0.577673211098491,-0.5213370111958462,0.0
2018-10-04,1.0,-0.3411116937598322,-0.8159412690089145,-0.0,-0.6002556371263765,-0.5200904562139486,0.0
2018-10-05,1.0,-0.3297646636420015,-0.8110128276267259,-0.0,-0.6015275647093384,-0.5217221007278782,0.0
2018-10-08,1.0,-0.3270032573289902,-0.8075895765472313,-0.0,-0.6026058631921825,-0.5201302931596091,0.0
2018-10-09,1.0,-0.31740094667505214,-0.82251497798815,-0.0,-0.6236801165138526,-0.5464565886597597,0.0
2018-10-10,1.0,-0.31592081184495097,-0.830011645316919,-0.0,-0.626318416236899,-0.5549825320246216,0.0
2018-10-11,1.0,-0.24323364123764615,-0.820651120728635,-0.0,-0.6028680317808927,-0.563012725276145,0.0
2018-10-12,1.0,-0.24349572758576712,-0.8137354929218212,-0.0,-0.5868830506312971,-0.5442545593674276,0.0
2018-10-15,1.0,-0.2043475477013702,-0.8612498399282877,-0.0,-0.584805993084902,-0.5510628761685235,0.0
2018-10-16,1.0,-0.20284241861656155,-0.8634166639992317,-0.0,-0.5842002496719055,-0.5504625332095644,0.0
2018-10-17,1.0,-0.18498347237525578,-0.8303793483393673,-0.0,-0.5780261293876908,-0.5547300487958445,0.0
2018-10-18,1.0,-0.183984867591425,-0.8287831021437579,-0.0,-0.5831967213114754,-0.5566204287515764,0.0
2018-10-19,1.0,-0.16842829445243604,-0.8193445493776972,-0.0,-0.5842766902245293,-0.5551003815122897,0.0
2018-10-22,1.0,-0.16852668104660976,-0.8127168714245522,-0.0,-0.5870768076526306,-0.557722967269999,0.0
2018-10-23,1.0,-0.16339047019971695,-0.8184934738166378,-0.0,-0.5977040415159616,-0.5655606227394244,0.0
