Date,IWF,IWM,MTUM,RGA,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.15850977991708634,-0.0,1.0,-0.3679919868673659,-0.0,-0.21321053949528396,-0.25219109095462006,-0.06905762221418435,-0.0,-0.0,-0.40491360841378926,-0.0,-0.0,-0.0,-0.0,-0.31643526891294066,-0.0,-0.0
2019-01-03,-0.0,-0.15790500613223324,-0.0,1.0,-0.37281190768201583,-0.0,-0.2222934552346973,-0.24470398037685362,-0.06929423570074701,-0.0,-0.0,-0.40291559817147954,-0.0,-0.0,-0.0,-0.0,-0.3174545657263909,-0.0,-0.0
2019-01-04,-0.0,-0.1677535729152213,-0.0,1.0,-0.38376578326626887,-0.0,-0.20496739281254334,-0.251727487165256,-0.04734286110725683,-0.0,-0.0,-0.39542111835715277,-0.0,-0.0,-0.0026640765922020257,-0.0,-0.3214374913278757,-0.0,-0.0
2019-01-07,-0.0,-0.130658324265506,-0.0,1.0,-0.43778563656147984,-0.0,-0.23982589771490753,-0.23468443960826987,-0.008487486398258977,-0.0,-0.0,-0.3879216539717084,-0.0,-0.0,-0.0,-0.0,-0.2809575625680087,-0.0,-0.0
2019-01-08,-0.0,-0.12111480050078928,-0.0,1.0,-0.4392248652767949,-0.0,-0.24364487507484622,-0.22761417451417992,-0.01276468346851015,-0.0,-0.0,-0.39480703282347174,-0.0,-0.0,-0.0,-0.0,-0.2825376952806053,-0.0,-0.0
2019-01-09,-0.0,-0.08903924221921515,-0.0,1.0,-0.4221380243572395,-0.0,-0.25788903924221923,-0.2432746955345061,-0.006143437077131258,-0.0,-0.0,-0.41921515561569694,-0.0,-0.0,-0.0,-0.0,-0.26863328822733423,-0.0,-0.0
2019-01-10,-0.0,-0.08834276125260508,-0.0,1.0,-0.42230762984816084,-0.0,-0.2585866240831461,-0.2425907380842829,-0.006793515035050207,-0.0,-0.0,-0.41911386580777865,-0.0,-0.0,-0.0,-0.0,-0.2688445611281024,-0.0,-0.0
2019-01-11,-0.0,-0.08713042538241175,-0.0,1.0,-0.4222474460839954,-0.0,-0.25725636452083667,-0.24458137397978486,-0.004297065023512243,-0.0,-0.0,-0.42111237230419973,-0.0,-0.0,-0.0,-0.0,-0.26595859683260364,-0.0,-0.0
2019-01-14,-0.0,-0.08918093074822206,-0.0,1.0,-0.42289283686217244,-0.0,-0.25813255455504175,-0.23722992888239905,-0.008031151131662204,-0.0,-0.0,-0.42124334117519807,-0.0,-0.0,-0.0,-0.0,-0.2674075876801601,-0.0,-0.0
2019-01-15,-0.0,-0.05787279817130563,-0.0,1.0,-0.46091165792658323,-0.0,-0.2704585182197123,-0.21788355519698802,-0.0,-0.0,-0.0,-0.45717359150194975,-0.0,-0.0,-0.0,-0.0,-0.22495629958316526,-0.0,-0.0
2019-01-16,-0.0,-0.0495160987641082,-0.0,1.0,-0.4697729283397228,-0.0,-0.26085091552505296,-0.2277686925283504,-0.0035923969866759604,-0.0,-0.0,-0.4506581592986783,-0.0,-0.0,-0.0,-0.0,-0.21873408219618776,-0.0,-0.0
2019-01-17,-0.0,-0.04133715786934027,-0.0,1.0,-0.47090046376967004,-0.0,-0.27475002010562155,-0.2425542181593974,-0.006138916441036914,-0.0,-0.0,-0.4253009141355924,-0.0,-0.0,-0.010883843122537063,-0.0,-0.20891081146288504,-0.0,-0.0
2019-01-18,-0.0,-0.03979766620276201,-0.0,1.0,-0.4698105127930628,-0.0,-0.2744352853013596,-0.24371052349855474,-0.0,-0.0,-0.0,-0.42880847874959854,-0.0,-0.0,-0.012231024515576491,-0.0,-0.20760625200727972,-0.0,-0.0
2019-01-22,-0.0,-0.0740493305897758,-0.0,1.0,-0.4220892012506347,-0.0,-0.2747120600732209,-0.23310440661660567,-0.0,-0.0,-0.0,-0.42385291681141607,-0.0,-0.0,-0.0026990192672563538,-0.0,-0.241816092568344,-0.0,-0.0
2019-01-23,-0.0,-0.07291471915814214,-0.0,1.0,-0.42314574931225124,-0.0,-0.27576720707246066,-0.23209850164258433,-0.0,-0.0,-0.0,-0.42461472717074866,-0.0,-0.0,-0.0,-0.0,-0.2421943858337117,-0.0,-0.0
2019-01-24,-0.0,-0.07320851472984162,-0.0,1.0,-0.42295878849389706,-0.0,-0.27550012018909753,-0.2322320450842659,-0.0,-0.0,-0.0,-0.424481183729067,-0.0,-0.0,-0.0,-0.0,-0.24224780321038433,-0.0,-0.0
2019-01-25,-0.0,-0.06672376415170088,-0.0,1.0,-0.4371704627572732,-0.0,-0.2906886491984048,-0.21103765757567647,-0.0,-0.0,-0.0,-0.42416294194791637,-0.0,-0.0,-0.024382410406016648,-0.0,-0.22227872494178733,-0.0,-0.0
