Date,EL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3625132368513943,-0.5239734086363103,-0.08527473820449465,-0.4972055535945406,-0.47255559477585596,0.0
2018-09-25,1.0,-0.3637753601881799,-0.5225521905321964,-0.08753307850632167,-0.4959129667744781,-0.47053807703616585,0.0
2018-09-26,1.0,-0.36337132255499605,-0.5228671555202168,-0.08457755396530907,-0.4980416408987838,-0.476043231145272,0.0
2018-09-27,1.0,-0.36458333333333337,-0.5188323917137477,-0.0856873822975518,-0.49776365348399254,-0.4756650188323917,0.0
2018-09-28,1.0,-0.36937787746428996,-0.5187699209066227,-0.08529099279896116,-0.5002065871797899,-0.4776000472199268,0.0
2018-10-01,1.0,-0.36881590217680243,-0.5206604247275305,-0.08571344182886849,-0.500221519922025,-0.47821720766754294,0.0
2018-10-02,1.0,-0.36947020258697066,-0.5137322071939047,-0.08835863209497372,-0.5016833028173174,-0.4799480243340618,0.0
2018-10-03,1.0,-0.369817676782601,-0.5162376998315653,-0.08885671227209598,-0.5012263230991992,-0.47888655772583555,0.0
2018-10-04,1.0,-0.374249815225425,-0.5101847745750185,-0.08946045824094605,-0.5073170731707317,-0.47515151515151516,0.0
2018-10-05,1.0,-0.389073691150469,-0.5296832389343402,-0.09239114147861788,-0.5109832479247206,-0.4746321436063412,0.0
2018-10-08,1.0,-0.38803956834532377,-0.527937649880096,-0.08690047961630695,-0.5184652278177458,-0.47625899280575534,0.0
2018-10-09,1.0,-0.3854498467455977,-0.5312518781176753,-0.07722819881002464,-0.5256926497986658,-0.48539575695654785,0.0
2018-10-10,1.0,-0.3866490416391276,-0.5299525325962867,-0.07853151475094634,-0.5263474133269243,-0.4827555128282161,0.0
2018-10-11,1.0,-0.3969985114074794,-0.5392958045994471,-0.08014096059786736,-0.5364097578758696,-0.4850988850745815,0.0
2018-10-12,1.0,-0.40413900819992193,-0.5314330339711051,-0.07752380380260114,-0.5224221307782416,-0.46811642086925176,0.0
2018-10-15,1.0,-0.38280283602353293,-0.5815055061095187,-0.04073012520742193,-0.5303364006637501,-0.48167144365666004,0.0
2018-10-16,1.0,-0.38203704821094553,-0.5843540698726846,-0.03861702769564956,-0.5303807397574368,-0.4815664031859049,0.0
2018-10-17,1.0,-0.37200785994998214,-0.5594557580088126,-0.02977253781112302,-0.5285518637608669,-0.48746576158151717,0.0
2018-10-18,1.0,-0.3710143201643395,-0.557861204561017,-0.030545714370776144,-0.5301437970764238,-0.4876298788293786,0.0
2018-10-19,1.0,-0.3651507530254165,-0.5504334704263693,-0.022990206231322308,-0.5327100038464953,-0.4875876557090866,0.0
2018-10-22,1.0,-0.36481486962441173,-0.5516322846065054,-0.024832035990173734,-0.5316541865214431,-0.4868440524462071,0.0
