Date,GEF,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.3993443351669723,-0.0,-0.2498194143468356,-0.0,-0.911096293826749,-0.0,-1.1126298827582375,-0.0,-0.0,-0.053175529254875814,-0.0,-0.0,-0.805078624215147,-0.0,-1.0253375562593765,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.41982539507127864,-0.0,-0.21665377389766827,-0.0,-0.8633550668582164,-0.0,-1.1207868272737318,-0.0,-0.0,-0.07851696320035363,-0.0,-0.0,-0.8169963531881975,-0.0,-1.0093380484031385,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.44496924428822493,-0.0,-0.22012302284710017,-0.0,-0.8249670474516697,-0.0,-1.0740333919156415,-0.012961335676625661,-0.0,-0.05387741652021089,-0.0,-0.0,-0.8405096660808437,-0.0,-1.0205953427065027,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.34975707646810306,-0.0,-0.32673215040135195,-0.0,-0.8967574989438106,-0.0,-0.9745458386142797,-0.0,-0.0,-0.023130544993662867,-0.0,-0.0,-0.7899239543726235,-0.0,-0.9200464723278412,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.35245035910435146,-0.0,-0.3249894381073088,-0.0,-0.8978664976763836,-0.0,-0.9749155048584706,-0.0,-0.0,-0.02075411913814956,-0.0,-0.0,-0.7902408111533586,-0.0,-0.9196768060836502,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.3177271537051584,-0.0,-0.29908352971982194,-0.0,-0.9128567687876407,-0.0,-0.9709347996857817,-0.0,-0.0,-0.05519769573186698,-0.0,-0.0,-0.7883215501440167,-0.0,-0.8928515318146111,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.32190526040303585,-0.0,-0.3024862601413243,-0.0,-0.9124836430253861,-0.0,-0.9673383930908139,-0.0,-0.0,-0.057942946872546454,-0.0,-0.0,-0.7789060455378173,-0.0,-0.8931693274012038,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.319296236531154,-0.0,-0.2985268856384363,-0.0,-0.9041174327208371,-0.0,-0.9548696059549217,-0.0,-0.0,-0.07141741710478372,-0.0,-0.0,-0.7854874811306023,-0.0,-0.8715839883400135,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.32121843269981776,-0.0,-0.29575631346003645,-0.0,-0.9053371517833897,-0.0,-0.9484509242384797,-0.0,-0.0,-0.07586565998437907,-0.0,-0.0,-0.7935954178599323,-0.0,-0.8668575891694871,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.29156539277033666,-0.0,-0.3200599886228474,-0.0,-0.9016910585923359,-0.0,-0.9313750840357864,-0.0,-0.0,-0.10549723328334283,-0.0,-0.0,-0.8048301184258158,-0.0,-0.8164141283549673,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.28343899798979433,-0.0,-0.3230761300963868,-0.0,-0.892531312818927,-0.0,-0.9477346528529458,-0.0,-0.0,-0.09772692129271689,-0.0,-0.0,-0.8014535333230246,-0.0,-0.8084119375289934,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.2849700845884052,-0.0,-0.32391169795749947,-0.0,-0.8850319785434289,-0.0,-0.9447596451413245,-0.0,-0.0,-0.11058386630905716,-0.0,-0.0,-0.7926036723746648,-0.0,-0.8159686403961214,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.2872000823808053,-0.0,-0.32581608485222946,-0.0,-0.8915147770569457,-0.0,-0.9050561219235917,-0.0,-0.0,-0.12717536813922356,-0.0,-0.0,-0.8006384512408609,-0.0,-0.8113994439295644,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.3331965531391055,-0.0,-0.25712966762412803,-0.0,-0.887771850636028,-0.0,-0.8975687320475996,-0.0,-0.0,-0.11161263848994667,-0.0,-0.0,-0.7828272466146903,-0.0,-0.8591505949938449,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.3252382416231171,-0.0,-0.24305769033712474,-0.0,-0.9039348293882571,-0.0,-0.8961471462239985,-0.0,-0.0,-0.11476585715749565,-0.0,-0.0,-0.76396147146224,-0.0,-0.8764217645250538,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.32643889484704564,-0.0,-0.26449108829988255,-0.0,-0.881415658035851,-0.0,-0.9213012614268934,-0.0,-0.0,-0.10969817680404473,-0.0,-0.0,-0.7264695367958734,-0.0,-0.8770747152852254,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.3688852425392268,-0.0,-0.24802584350323045,-0.0,-0.8715516357296688,-0.0,-0.9041123987283356,-0.0,-0.0,-0.13203773971900318,-0.0,-0.0,-0.6682904317505897,-0.0,-0.9347759204184186,-0.0,-0.0
