Date,IWF,IWM,MTUM,NVTA,SPY,VLUE,VXX
2018-09-24,-1.5492324239757505,-2.7104722792607805,-0.6043805612594113,1.0,-2.089371272122812,-1.824581988853036,0.0
2018-09-25,-1.551201876099277,-2.7061754934531947,-0.6088528434629665,1.0,-2.085792456517491,-1.819327731092437,0.0
2018-09-26,-1.5550539744847889,-2.717468105986261,-0.6016683022571149,1.0,-2.099214916584887,-1.8401373895976447,0.0
2018-09-27,-1.5739061884115098,-2.7046708711076075,-0.6121403232163973,1.0,-2.1124359479700434,-1.851103665746945,0.0
2018-09-28,-1.5703586913677572,-2.7073314938904214,-0.6134213638155301,1.0,-2.1118446984627512,-1.8513007489160427,0.0
2018-10-01,-1.5719495367632565,-2.7058939483540314,-0.6138379657007689,1.0,-2.112852355608122,-1.8515671200473094,0.0
2018-10-02,-1.5721893491124261,-2.713806706114398,-0.6129191321499013,1.0,-2.112031558185404,-1.8509861932938856,0.0
2018-10-03,-1.6026104417670686,-2.7974899598393574,-0.6232931726907631,1.0,-2.1446787148594377,-1.8721887550200804,0.0
2018-10-04,-1.608769817379089,-2.7837648003210917,-0.6252257676098736,1.0,-2.1520168573148704,-1.8644390929159143,0.0
2018-10-05,-1.576681614349776,-2.765520677628301,-0.587942202291978,1.0,-2.160837070254111,-1.8742401594419533,0.0
2018-10-08,-1.5690733935842684,-2.7538981030886878,-0.5767206276690833,1.0,-2.1632734134472145,-1.8685072996325356,0.0
2018-10-09,-1.5662925811897903,-2.755189194557553,-0.569272023041017,1.0,-2.1670473731254347,-1.8737709802363691,0.0
2018-10-10,-1.5723232925738144,-2.7543493389004867,-0.5749080425489611,1.0,-2.171885873347251,-1.8679789243463567,0.0
2018-10-11,-1.417589699895863,-2.7084161696487743,-0.3800056802044874,1.0,-2.101580990248982,-1.859509609012591,0.0
2018-10-12,-1.4293827390373335,-2.685876547807467,-0.3587189274741644,1.0,-2.0463643981007356,-1.7896843869285914,0.0
2018-10-15,-1.4003149898091534,-2.71928849360756,-0.31712062256809337,1.0,-2.040300166759311,-1.7873818788215676,0.0
2018-10-16,-1.397573624745323,-2.7265234302648635,-0.31079829598073716,1.0,-2.039636969809224,-1.7865345434339692,0.0
2018-10-17,-1.3487421669239852,-2.625102170556716,-0.25465443647261826,1.0,-2.03714467350831,-1.8161838161838162,0.0
2018-10-18,-1.3531446254664603,-2.636297442431965,-0.25038682078820423,1.0,-2.040411395285337,-1.8213343041776646,0.0
2018-10-19,-1.3209310685719422,-2.6068122584703874,-0.21353464545699652,1.0,-2.0375662802192864,-1.8083041251011056,0.0
2018-10-22,-1.3220795546376942,-2.597288318218551,-0.20894316243153452,1.0,-2.040046691209482,-1.8107210200233457,0.0
2018-10-23,-1.3231307782066244,-2.595996768692218,-0.21209945247284806,1.0,-2.036531729647249,-1.8080962211650662,0.0
2018-10-24,-1.3299172959367132,-2.5937612369651206,-0.19201725997842503,1.0,-2.0498921251348436,-1.824074074074074,0.0
2018-10-25,-1.2274479568234387,-2.446414803392444,-0.15068962563179988,1.0,-2.0298123875610385,-1.7124989291527457,0.0
2018-10-26,-1.1913372582001682,-2.400925147182506,-0.11783010933557611,1.0,-2.0213624894869637,-1.67905803195963,0.0
2018-10-29,-1.1575782881002088,-2.4199582463465554,-0.08208768267223382,1.0,-2.0050939457202506,-1.685929018789144,0.0
2018-10-30,-1.1426663327489774,-2.4224893563736543,-0.0707905501293931,1.0,-2.0086818599215293,-1.7033976124885217,0.0
2018-10-31,-1.1407242431741318,-2.368803101542522,-0.07159943908273529,1.0,-1.9893590695372432,-1.678297451125959,0.0
2018-11-01,-1.1414424822577984,-2.370523188644991,-0.0694008912361776,1.0,-1.9915827694339001,-1.6793200198052483,0.0
2018-11-02,-1.164954384811375,-2.300731486808581,-0.05095750801347908,1.0,-2.0259718911810634,-1.6763376345853538,0.0
2018-11-05,-1.1566126244753518,-2.3350341535676074,-0.04954324746934408,1.0,-2.031355443996379,-1.6572298576248867,0.0
2018-11-06,-1.173178371249588,-2.351137487636004,-0.042120013188262445,1.0,-2.028107484338938,-1.648203099241675,0.0
2018-11-07,-1.1674219329323556,-2.3508280464694735,-0.05240174672489083,1.0,-2.022657987970668,-1.645958638872868,0.0
2018-11-08,-1.1138151425762046,-2.377499180596526,-0.0,1.0,-2.0217961324156013,-1.6808423467715505,0.0
2018-11-09,-1.1451165138386472,-2.4446874737107764,-0.0,1.0,-2.079162109867923,-1.7435854294607553,0.0
2018-11-12,-1.1471206389239175,-2.4047078604455656,-0.0,1.0,-2.1095418242959227,-1.7456073980664144,0.0
2018-11-13,-1.082828792465523,-2.421627985200135,-0.0,1.0,-2.1446350487722836,-1.7598385469223008,0.0
2018-11-14,-1.085483184333759,-2.4600255427841637,-0.0,1.0,-2.1770966368667515,-1.791656023839932,0.0
