Date,AGM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.48709254487092546,-1.3161535331615353,-0.021610380216103803,-0.8843076088430761,-0.8118359781183598,0.0
2018-09-25,1.0,-0.48907778082442194,-1.335938214057216,-0.013024403619413217,-0.9011516314779271,-0.8307741522712733,0.0
2018-09-26,1.0,-0.48898859942310335,-1.3373471910626804,-0.009248660775605513,-0.9046289089327413,-0.8384231491232087,0.0
2018-09-27,1.0,-0.4889041723979826,-1.341678129298487,-0.008895002292526365,-0.9058688674919761,-0.8397524071526823,0.0
2018-09-28,1.0,-0.48725472217128185,-1.3425637263891435,-0.009719420502475701,-0.9054648817164863,-0.8396295617091509,0.0
2018-10-01,1.0,-0.4941967575534267,-1.3450165806927046,-0.009073323507737657,-0.9130895357406043,-0.8443717759764185,0.0
2018-10-02,1.0,-0.4981872269220043,-1.3880728827740076,-0.0005112949707167426,-0.9157757739146603,-0.845635400204518,0.0
2018-10-03,1.0,-0.49972001866542237,-1.372375174988334,-0.0,-0.9293047130191321,-0.8649556696220252,0.0
2018-10-04,1.0,-0.5001633758110442,-1.3728702796060308,-0.0,-0.9290948980068151,-0.8657984409279746,0.0
2018-10-05,1.0,-0.4770416453874367,-1.3629694971911417,-0.0,-0.931798133618088,-0.8708853707228748,0.0
2018-10-08,1.0,-0.4719621837056261,-1.3574937436277692,-0.0,-0.9357679117619797,-0.8691259616275837,0.0
2018-10-09,1.0,-0.46429069929744565,-1.3620248452984691,-0.0,-0.9446796631461406,-0.881682408225934,0.0
2018-10-10,1.0,-0.4634396090295555,-1.3633232487782172,-0.0,-0.9448917849662555,-0.8827554107516872,0.0
2018-10-11,1.0,-0.34368791764493406,-1.3583619288423334,-0.0,-0.9108723135271808,-0.9022033592197941,0.0
2018-10-12,1.0,-0.34940187663983635,-1.3501133988526703,-0.0,-0.8804642682438742,-0.867034286476631,0.0
2018-10-15,1.0,-0.30596716059271123,-1.3974547234459127,-0.0,-0.8750055622302318,-0.8713567391981488,0.0
2018-10-16,1.0,-0.29866310160427806,-1.4129233511586454,-0.0,-0.8742424242424243,-0.870499108734403,0.0
2018-10-17,1.0,-0.26646615230373566,-1.3550847827034567,-0.0,-0.8616886796565102,-0.875768275140578,0.0
2018-10-18,1.0,-0.2656467921896792,-1.3538615760111576,-0.0,-0.8630142956764295,-0.8759152719665272,0.0
2018-10-19,1.0,-0.24223468507333906,-1.340293356341674,-0.0,-0.8605694564279551,-0.8710094909404659,0.0
2018-10-22,1.0,-0.2501743071291616,-1.369487537040265,-0.0,-0.8635610946487712,-0.8744988670036605,0.0
