Date,CVBF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11412118832613533,-0.676508310430572,-0.07622039000130873,-0.3480434498102343,-0.4025912838633687,0.0
2018-09-25,1.0,-0.11278274592319833,-0.6830615465544451,-0.07083114150447133,-0.35384008416622836,-0.4096791162546029,0.0
2018-09-26,1.0,-0.11226129329645726,-0.6831818780455683,-0.06793098906887923,-0.35572237587251415,-0.4149084683260898,0.0
2018-09-27,1.0,-0.11126377255793063,-0.690754881496552,-0.06629323328136974,-0.3573863185985679,-0.4165455650381801,0.0
2018-09-28,1.0,-0.10963103922190508,-0.6924357754519506,-0.0667353842900941,-0.3574902209535892,-0.4167195263769955,0.0
2018-10-01,1.0,-0.1098482846117249,-0.6921816355658931,-0.06684463709890574,-0.3575355500343606,-0.4167151239625733,0.0
2018-10-02,1.0,-0.1099195000529605,-0.7032094057832857,-0.0637644317339265,-0.356238745895562,-0.41491897044804577,0.0
2018-10-03,1.0,-0.1097580346269921,-0.696960872557844,-0.06284746121670991,-0.3586858685868587,-0.4190713188965955,0.0
2018-10-04,1.0,-0.10830161560778259,-0.7075137739213756,-0.06238854435601927,-0.35700407228979797,-0.42639269649463685,0.0
2018-10-05,1.0,-0.09765024134090065,-0.7046623879488675,-0.05399671139871638,-0.36201135097862414,-0.4337771177001008,0.0
2018-10-08,1.0,-0.09652213069160068,-0.703440786162689,-0.05255211506370355,-0.36285858077503774,-0.4333960215082245,0.0
2018-10-09,1.0,-0.094030246749801,-0.7056778986468558,-0.04470681878482356,-0.3682939771822764,-0.4404881931546829,0.0
2018-10-10,1.0,-0.09504735124810992,-0.7047245138870467,-0.04605140992651935,-0.3689152982995994,-0.4380189404992439,0.0
2018-10-11,1.0,-0.05911355615528338,-0.7118538509445713,-0.00438550965331119,-0.36389350217977995,-0.45570375752543074,0.0
2018-10-12,1.0,-0.054702445581924414,-0.7150612688071972,-0.00041362907812419217,-0.3610723333850369,-0.4539320614239181,0.0
2018-10-15,1.0,-0.023034668601336995,-0.7514898688915376,-0.0,-0.3580608384723014,-0.45849095714359744,0.0
