Date,CCK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.28120387601873836,-0.6293717512674067,-0.0,-0.6353718796123982,-0.6626772765192839,0.0
2018-09-25,1.0,-0.281291109185998,-0.6293194725190105,-0.0,-0.6353194083485738,-0.6626239291558379,0.0
2018-09-26,1.0,-0.27933878971450665,-0.6306631436489012,-0.0,-0.639266610813946,-0.6730038022813688,0.0
2018-09-27,1.0,-0.28996991946178474,-0.6214056991299286,-0.0,-0.6454701297021056,-0.6776530711259178,0.0
2018-09-28,1.0,-0.2883763061693248,-0.6234026721878944,-0.0,-0.645498366277377,-0.6778169583643364,0.0
2018-10-01,1.0,-0.2882293925369753,-0.6245833198485388,-0.0,-0.6454254182983268,-0.6781125602770316,0.0
2018-10-02,1.0,-0.2876579203109816,-0.6314868804664724,-0.0,-0.6438613540654358,-0.6763848396501458,0.0
2018-10-03,1.0,-0.2901865952093069,-0.6172020522205157,-0.0,-0.6609261135257019,-0.699552302212346,0.0
2018-10-04,1.0,-0.2895951297744902,-0.6214447026478578,-0.0,-0.6597715445291787,-0.7021569076686414,0.0
2018-10-05,1.0,-0.27367837820220325,-0.6120200769180627,-0.0,-0.6641027312430742,-0.7094387588814289,0.0
2018-10-08,1.0,-0.27037844521818355,-0.6081481240441248,-0.0,-0.6669486837395463,-0.7085678956102958,0.0
2018-10-09,1.0,-0.2639355491046675,-0.6097393913695816,-0.0,-0.671874490361721,-0.7161355556280375,0.0
2018-10-10,1.0,-0.26214959392192816,-0.6156340057636887,-0.0,-0.6736638721509038,-0.7233756877128634,0.0
2018-10-11,1.0,-0.20684267584975446,-0.5979848223965308,-0.0,-0.6546776353548881,-0.7290670237867483,0.0
2018-10-12,1.0,-0.20140693326573295,-0.5928766081500728,-0.0,-0.649724317130363,-0.724760757969453,0.0
2018-10-15,1.0,-0.1910183428209994,-0.5989879822896902,-0.0,-0.6476280834914611,-0.7249209361163821,0.0
2018-10-16,1.0,-0.18418551606158523,-0.613033010200849,-0.0,-0.6468035227776722,-0.7239118038395742,0.0
2018-10-17,1.0,-0.17296247572511433,-0.5918373739272067,-0.0,-0.6419845893629017,-0.7254588736453048,0.0
2018-10-18,1.0,-0.1728739232576351,-0.5920751761942052,-0.0,-0.6418794048551292,-0.725512920908379,0.0
