Date,IWF,IWM,MTUM,RARE,SPY,VLUE,VXX
2018-09-24,-0.7717881990546497,-1.5818683944978489,-0.131817940411068,1.0,-0.9731265600934728,-0.8523022996441659,0.0
2018-09-25,-0.7919124745253675,-1.5902070149093641,-0.14995173227501876,1.0,-0.9795666630912797,-0.8514426686688835,0.0
2018-09-26,-0.7944176060118089,-1.5935587761674717,-0.1544820182501342,1.0,-0.9793880837359099,-0.8458400429414923,0.0
2018-09-27,-0.7947413979658082,-1.6198874702445358,-0.15104955637307943,1.0,-0.9889634278294741,-0.8553884440597274,0.0
2018-09-28,-0.7981900954918943,-1.680768376637797,-0.1561181434599156,1.0,-1.025649566955363,-0.8911836553408838,0.0
2018-10-01,-0.8141165909218426,-1.6911855467654155,-0.15508051394265837,1.0,-1.0452785726308702,-0.9050103798462661,0.0
2018-10-02,-0.8157186132615282,-1.6754179288679456,-0.16100078536968473,1.0,-1.0486368226186469,-0.9090093122405475,0.0
2018-10-03,-0.8152344626430335,-1.661150998429437,-0.15901951985640567,1.0,-1.054633161319273,-0.9191159973076061,0.0
2018-10-04,-0.8188799820617747,-1.6529513986209992,-0.1602107741465329,1.0,-1.059140086327709,-0.9144570884018163,0.0
2018-10-05,-0.7975370836831793,-1.6470752868737755,-0.13350125944584382,1.0,-1.0807724601175484,-0.9386509935628323,0.0
2018-10-08,-0.7987446057277364,-1.6507874236395224,-0.13310541949223784,1.0,-1.0816566720842908,-0.9400885501317043,0.0
2018-10-09,-0.7961197712235056,-1.6526858809016485,-0.12515419984299653,1.0,-1.086632275428956,-0.9466748906582932,0.0
2018-10-10,-0.7985631858807557,-1.6738884489195611,-0.11743409887996381,1.0,-1.0979183165516462,-0.9690010182147303,0.0
2018-10-11,-0.7268734559429041,-1.6795498215756244,-0.011419160032939883,1.0,-1.0807027175404886,-0.9913807301674443,0.0
2018-10-12,-0.737985588123747,-1.6739990247602536,-0.0,1.0,-1.051145906702064,-0.9548680717343013,0.0
2018-10-15,-0.6825690067376657,-1.7412519017604868,-0.0,1.0,-1.0462942838513367,-0.9634318626385567,0.0
2018-10-16,-0.7028477546549836,-1.7319277108433733,-0.0,1.0,-1.0625958378970426,-0.9790799561883898,0.0
2018-10-17,-0.6795901860339715,-1.688487462928013,-0.0,1.0,-1.0483149096791589,-0.9758964680506875,0.0
2018-10-18,-0.6787254690532671,-1.6869204226870822,-0.0,1.0,-1.049816691826612,-0.9759542807849901,0.0
2018-10-19,-0.6549713857838156,-1.6737979354976735,-0.0,1.0,-1.0489918168690164,-0.9707439696207948,0.0
2018-10-22,-0.6552443066395809,-1.6679140382764888,-0.0,1.0,-1.0504650914145195,-0.97225489147867,0.0
2018-10-23,-0.6525391983732006,-1.6695028629528548,-0.0,1.0,-1.0543693476748541,-0.9749558516615828,0.0
2018-10-24,-0.6497380519619373,-1.66508072276275,-0.0,1.0,-1.0545279589436545,-0.9765315941409173,0.0
2018-10-25,-0.6201137727676008,-1.6181305777360262,-0.0,1.0,-1.0413339596054487,-0.9394081728511038,0.0
2018-10-26,-0.6155805009874233,-1.608408689325434,-0.0,1.0,-1.038925267643696,-0.9340505144995322,0.0
2018-10-29,-0.727706916896106,-1.682306006630331,-0.0,1.0,-1.1885149182446482,-1.0204528853177501,0.0
2018-10-30,-0.7254494382022472,-1.682247191011236,-0.0,1.0,-1.188426966292135,-1.0218539325842697,0.0
2018-10-31,-0.7284997211377581,-1.6550474065811491,-0.0,1.0,-1.1818739542665924,-1.011823759063023,0.0
