Date,AMAL,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-04-08,1.0,-0.0,-0.5136441858559371,-0.0,-1.346799967221175,-1.2368679832827993,0.0
2019-04-09,1.0,-0.0,-0.5141557749825869,-0.0,-1.3464170115130905,-1.2366124472487399,0.0
2019-04-10,1.0,-0.0,-0.49723553262071507,-0.0,-1.3721587418601795,-1.2261129540893638,0.0
2019-04-11,1.0,-0.0,-0.48870426454939836,-0.0,-1.3778341655070803,-1.2261602684783497,0.0
2019-04-12,1.0,-0.0,-0.48685831622176595,-0.0,-1.3830800821355238,-1.2367967145790555,0.0
2019-04-15,1.0,-0.0,-0.48930492260951675,-0.0,-1.3738966210945518,-1.2423943835447715,0.0
2019-04-16,1.0,-0.0,-0.49179788677383546,-0.0,-1.373679233647165,-1.2458167166879086,0.0
2019-04-17,1.0,-0.0,-0.49373227569766964,-0.0,-1.3802967407833628,-1.2359952324195471,0.0
2019-04-18,1.0,-0.0,-0.4808325106943073,-0.0,-1.3824448831852583,-1.2499177360974003,0.0
2019-04-22,1.0,-0.0,-0.4887837003498662,-0.0,-1.3804074912533444,-1.2468409137682652,0.0
2019-04-23,1.0,-0.0,-0.48880474152123804,-0.0,-1.3819147184721765,-1.2451843924925914,0.0
2019-04-24,1.0,-0.0,-0.47096270740923274,-0.0,-1.3808937079020864,-1.2552571053063908,0.0
2019-04-25,1.0,-0.0,-0.47335140018066846,-0.0,-1.3805945635213925,-1.2521557033752155,0.0
2019-04-26,1.0,-0.0,-0.4697554169402495,-0.0,-1.3892810242941562,-1.2447061720288903,0.0
2019-04-29,1.0,-0.0,-0.4712860720003284,-0.0,-1.3903370140798819,-1.243298715159476,0.0
2019-04-30,1.0,-0.0,-0.49012304344186824,-0.0,-1.4147066209090147,-1.2802795680924082,0.0
2019-05-01,1.0,-0.0,-0.48214285714285715,-0.0,-1.4185529845741114,-1.2910798122065728,0.0
2019-05-02,1.0,-0.0,-0.4694083088543852,-0.0,-1.4172891313470415,-1.3096936634494334,0.0
2019-05-03,1.0,-0.0,-0.4758727760993622,-0.0,-1.413141993957704,-1.3070661295736825,0.0
2019-05-06,1.0,-0.0,-0.45233613585979,-0.0,-1.4195842221943364,-1.3109549504329276,0.0
2019-05-07,1.0,-0.0,-0.46737627289108663,-0.0,-1.4168377823408624,-1.3063738842559611,0.0
2019-05-08,1.0,-0.0,-0.4686026619935745,-0.0,-1.3929987065548461,-1.3108023532356992,0.0
2019-05-09,1.0,-0.0,-0.468488008342023,-0.0,-1.39436913451512,-1.3081543274244005,0.0
2019-05-10,1.0,-0.0,-0.469693179923295,-0.0,-1.3944889111222276,-1.3045689511422378,0.0
2019-05-13,1.0,-0.0,-0.46788263283108644,-0.0,-1.3998497433114905,-1.306064526900121,0.0
2019-05-14,1.0,-0.0,-0.4514073287307488,-0.0,-1.3682339964867847,-1.2654520200988602,0.0
2019-05-15,1.0,-0.0,-0.4478920329446302,-0.0,-1.369118486504118,-1.260295196933866,0.0
2019-05-16,1.0,-0.0,-0.44988382994334164,-0.0,-1.3636326580524192,-1.2626258508947132,0.0
2019-05-17,1.0,-0.0,-0.4486244141023028,-0.0,-1.346077032810271,-1.2811086203382922,0.0
2019-05-20,1.0,-0.0,-0.4312128370122994,-0.0,-1.3548505335179604,-1.2865520892726237,0.0
2019-05-21,1.0,-0.0,-0.43053124363932427,-0.0,-1.352737634846326,-1.287563606757582,0.0
2019-05-22,1.0,-0.0,-0.4178377061164812,-0.0,-1.362846235074324,-1.2807245552757698,0.0
2019-05-23,1.0,-0.0,-0.4171433207577786,-0.0,-1.3749543629061702,-1.2645734452963369,0.0
2019-05-24,1.0,-0.0,-0.40506175339137473,-0.0,-1.377080380643855,-1.2673010730917191,0.0
2019-05-28,1.0,-0.0,-0.4227890326254983,-0.0,-1.3778781222032381,-1.2673500935643967,0.0
2019-05-29,1.0,-0.0,-0.43345637447775115,-0.0,-1.379710380075447,-1.2431347097716303,0.0
2019-05-30,1.0,-0.0,-0.43436725070124804,-0.0,-1.3865197772267166,-1.244318874751006,0.0
2019-05-31,1.0,-0.0,-0.4426075598008001,-0.0,-1.3777451220507795,-1.2616131929137073,0.0
2019-06-03,1.0,-0.0,-0.4519109958253962,-0.0,-1.3820775746767722,-1.2190248449722367,0.0
2019-06-04,1.0,-0.0,-0.452018155292592,-0.0,-1.3881504295671907,-1.2123115577889447,0.0
2019-06-05,1.0,-0.0,-0.44741248704250064,-0.0,-1.4048720197751376,-1.1346782553225423,0.0
2019-06-06,1.0,-0.0,-0.46128283151825755,-0.0,-1.3667921204356182,-1.1758087764253682,0.0
2019-06-07,1.0,-0.0,-0.4778938102668747,-0.0,-1.35413915896451,-1.1690873444564478,0.0
2019-06-10,1.0,-0.0,-0.4803275414419812,-0.0,-1.3388056720591173,-1.1752746155382463,0.0
2019-06-11,1.0,-0.0,-0.48050444985433205,-0.0,-1.3407431057189607,-1.1696531907251466,0.0
2019-06-12,1.0,-0.0,-0.48361212024432115,-0.0,-1.3422491915844945,-1.1663140245119568,0.0
2019-06-13,1.0,-0.0,-0.506706827309237,-0.0,-1.3638554216867471,-1.1455020080321285,0.0
2019-06-14,1.0,-0.0,-0.5036516853932584,-0.0,-1.3675361155698234,-1.141653290529695,0.0
2019-06-17,1.0,-0.0,-0.5023069207622869,-0.0,-1.3689869608826482,-1.1407422266800402,0.0
2019-06-18,1.0,-0.0,-0.49047657317367194,-0.0,-1.3761954512577352,-1.1516515309812747,0.0
2019-06-19,1.0,-0.0,-0.49212961108663433,-0.0,-1.3746545439980775,-1.13850282372732,0.0
2019-06-20,1.0,-0.0,-0.4911894273127753,-0.0,-1.3748097717260712,-1.1388065678814576,0.0
2019-06-21,1.0,-0.0,-0.5015027048687638,-0.0,-1.3578441194149469,-1.1479062312161892,0.0
2019-06-24,1.0,-0.0,-0.5026654374924847,-0.0,-1.358210749929857,-1.1472604112389273,0.0
2019-06-25,1.0,-0.0,-0.5101885278780586,-0.0,-1.3543120738066585,-1.1467308463698356,0.0
2019-06-26,1.0,-0.0,-0.5097418216805645,-0.0,-1.330740859525337,-1.1684974342527261,0.0
