Date,ETB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.17169383123581597,-0.3219723540334227,-0.054920569424386216,-0.2699814318134929,-0.24456364761708274,0.0
2018-09-25,1.0,-0.17140675307520845,-0.3225047469660695,-0.0543218030215471,-0.2704532320647238,-0.24523239494757698,0.0
2018-09-26,1.0,-0.17218597737220248,-0.3235403418944586,-0.05590882814435544,-0.2701503014286894,-0.24281526137583617,0.0
2018-09-27,1.0,-0.1744577219160836,-0.3184529337708707,-0.057416465440736385,-0.2705508430850515,-0.24295709244009658,0.0
2018-09-28,1.0,-0.17317974443137013,-0.31977044239383995,-0.057719700253917136,-0.2705765776924506,-0.2431204970995644,0.0
2018-10-01,1.0,-0.17315990502735626,-0.31991328584701145,-0.05780943532569423,-0.270548157324249,-0.2431919066790544,0.0
2018-10-02,1.0,-0.17345253334434488,-0.317607465829789,-0.058760374943221706,-0.27104926291448156,-0.24381632737333278,0.0
2018-10-03,1.0,-0.17328460220116046,-0.3115075677796362,-0.05771335356914246,-0.27390613062421276,-0.24848747651200728,0.0
2018-10-04,1.0,-0.17494787688623745,-0.30861011910905595,-0.0580063167021035,-0.2760563961769502,-0.24666102429659598,0.0
2018-10-05,1.0,-0.17046038698003413,-0.3051837229864495,-0.05395513334567063,-0.2778360372586515,-0.2487816914440812,0.0
2018-10-08,1.0,-0.17083058939743168,-0.30614092854790914,-0.05424761277576556,-0.27763829436944354,-0.2491150806717155,0.0
2018-10-09,1.0,-0.17185441370223978,-0.30626235177865613,-0.05646821475625823,-0.2765974967061924,-0.24744729907773386,0.0
2018-10-10,1.0,-0.173749150307949,-0.3052711805054895,-0.05835582013306693,-0.2779986404927184,-0.24446412754650132,0.0
2018-10-11,1.0,-0.1677381171044307,-0.30286332374130087,-0.05073572930059797,-0.275903589869181,-0.2436172166778914,0.0
2018-10-12,1.0,-0.1666395277834317,-0.30234072867901485,-0.048483614899246893,-0.275615713413393,-0.2423366578465296,0.0
2018-10-15,1.0,-0.16492497865246208,-0.3042329118041719,-0.0461310128898467,-0.27550522506404257,-0.24232505184402064,0.0
2018-10-16,1.0,-0.1632092180533784,-0.31351153274566884,-0.03959609942794324,-0.2766026750269742,-0.24284929052747298,0.0
2018-10-17,1.0,-0.15742382718039657,-0.29931081734644527,-0.03429792036111559,-0.27653957762373044,-0.24760196679026275,0.0
2018-10-18,1.0,-0.1563552061284145,-0.2977925612337466,-0.03519806471121863,-0.2785807882269933,-0.24799919362967443,0.0
2018-10-19,1.0,-0.1516207877549385,-0.2923428296670273,-0.03145410105381256,-0.2802019473494411,-0.24782626116921105,0.0
2018-10-22,1.0,-0.15233897625964138,-0.2905940098166884,-0.029710507863367725,-0.2816588199939898,-0.24912350996694382,0.0
2018-10-23,1.0,-0.15119853724205828,-0.2930740018887259,-0.02477445799594125,-0.28728726717434544,-0.2529285298077116,0.0
2018-10-24,1.0,-0.1508315924795115,-0.2933472601639081,-0.02448577856339386,-0.28736140125341475,-0.2526514542825004,0.0
2018-10-25,1.0,-0.13998383057598643,-0.27700983968607656,-0.023524540058762054,-0.2897087531796581,-0.24165401376372925,0.0
2018-10-26,1.0,-0.13354372072054413,-0.27384989317286396,-0.01166277907364212,-0.30027245820020776,-0.2408020855793167,0.0
2018-10-29,1.0,-0.13471421285944057,-0.2731748460240869,-0.011317719979600642,-0.3022243144639284,-0.24004550625711032,0.0
2018-10-30,1.0,-0.1465925224798864,-0.275122259031393,-0.017096545196403218,-0.3029854866698217,-0.23012304779933743,0.0
2018-10-31,1.0,-0.15041017388232525,-0.26239353142049693,-0.017839620049456374,-0.3035482984652824,-0.2283432115241198,0.0
2018-11-01,1.0,-0.1650554816682216,-0.2525358794688052,-0.02896162931496516,-0.3072036842209738,-0.2312761776207396,0.0
2018-11-02,1.0,-0.16518149522694345,-0.252049139659039,-0.028955881477365192,-0.30728164010558273,-0.2311707384841328,0.0
2018-11-05,1.0,-0.1643452380952381,-0.25418650793650793,-0.028988095238095236,-0.3073611111111111,-0.22924603174603175,0.0
2018-11-06,1.0,-0.16371286244467817,-0.2537956218865977,-0.029412348423204396,-0.30775795344037155,-0.22996010875821143,0.0
2018-11-07,1.0,-0.16477577539788194,-0.25446561624510716,-0.02771761807307914,-0.30916568976137015,-0.23080132726658587,0.0
2018-11-08,1.0,-0.1616033588149087,-0.2543866598011645,-0.024755416485126944,-0.30805640274091967,-0.23163148096803576,0.0
2018-11-09,1.0,-0.16119769491256905,-0.2543121373546943,-0.02509059944155098,-0.3081965265263283,-0.2314989009248074,0.0
2018-11-12,1.0,-0.16108058970001185,-0.2503063120034781,-0.02503853602624402,-0.3093355993834236,-0.2304454369392514,0.0
