Date,C,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.19759368060045543,-0.3760998510105979,-0.20442470412953648,-0.4976808253450651,-0.535349843982796,0.0
2018-09-25,1.0,-0.19798195564799462,-0.3756429354394446,-0.20509289187442029,-0.4972596194384328,-0.5346974338795357,0.0
2018-09-26,1.0,-0.19772867824815876,-0.37544273907910275,-0.2043627368302693,-0.4976106144937314,-0.535897003429471,0.0
2018-09-27,1.0,-0.1969142406667042,-0.3801734331888057,-0.20330536629314713,-0.4983951799087787,-0.5367137789289937,0.0
2018-09-28,1.0,-0.1982649353575754,-0.3797143903332113,-0.20325042954116554,-0.49860575162662313,-0.5367997070670084,0.0
2018-10-01,1.0,-0.2023960894012602,-0.3797575654827498,-0.20222655477381254,-0.502613658839818,-0.5385832556299625,0.0
2018-10-02,1.0,-0.20305127842915668,-0.375335499364317,-0.20387060319254133,-0.5034326882328012,-0.5395394829778217,0.0
2018-10-03,1.0,-0.20289200180750114,-0.3720063262539539,-0.2034568459105287,-0.5044340262087663,-0.5414313149570719,0.0
2018-10-04,1.0,-0.20290960451977402,-0.37262711864406783,-0.20358757062146893,-0.5040677966101694,-0.5416384180790961,0.0
2018-10-05,1.0,-0.1902628687346801,-0.3648043276138957,-0.1934465951032598,-0.5143549432282422,-0.5545882286648071,0.0
2018-10-08,1.0,-0.18880292586861727,-0.36232944155296104,-0.19091292727528486,-0.5168940779293854,-0.5544239696159797,0.0
2018-10-09,1.0,-0.18737161991052084,-0.3627282703508821,-0.1873997580123245,-0.5189791496665634,-0.557303244323138,0.0
2018-10-10,1.0,-0.186768018018018,-0.3637668918918919,-0.18640202702702705,-0.5192567567567568,-0.5590934684684684,0.0
2018-10-11,1.0,-0.15695797345401363,-0.3566875465658545,-0.15585419023703745,-0.5163221943210353,-0.5736085432820994,0.0
2018-10-12,1.0,-0.15637060353086082,-0.3496920760914192,-0.15505679485424934,-0.5093472013138087,-0.5666073628027918,0.0
2018-10-15,1.0,-0.1559874093335158,-0.34815929930203915,-0.15522102093882578,-0.5102504447789791,-0.5674558642397701,0.0
2018-10-16,1.0,-0.1561875564558071,-0.3476309090411409,-0.1557222237429174,-0.5102236334273124,-0.5674595571127474,0.0
2018-10-17,1.0,-0.1455819490287322,-0.3226827552621611,-0.14466208538498998,-0.512878091012391,-0.5796764244359072,0.0
2018-10-18,1.0,-0.14472758751284964,-0.3213763999350755,-0.14529567710869448,-0.5140128766975058,-0.579776010387924,0.0
2018-10-19,1.0,-0.1377026226506543,-0.31452959233130484,-0.14160697937422587,-0.5166675642199364,-0.5821261241854704,0.0
2018-10-22,1.0,-0.14037166711554,-0.30934554268785347,-0.135092916778885,-0.521949905736601,-0.5864799353622407,0.0
2018-10-23,1.0,-0.13904398747106086,-0.3215307095192701,-0.11946071088111128,-0.5423668800217895,-0.6013073675609424,0.0
2018-10-24,1.0,-0.13781361518973548,-0.3219101582718134,-0.11928954752240595,-0.5431093192405132,-0.6019777166362472,0.0
2018-10-25,1.0,-0.11932728243459689,-0.2957554725040043,-0.11785904965296316,-0.5481313400961025,-0.5884143085958355,0.0
2018-10-26,1.0,-0.11472929936305731,-0.2911093418259023,-0.11157112526539277,-0.5515392781316348,-0.584952229299363,0.0
2018-10-29,1.0,-0.10542463434631966,-0.29469174006189003,-0.10537173688804254,-0.5490756169166072,-0.5903091856436299,0.0
2018-10-30,1.0,-0.09853975980106872,-0.2961748055658431,-0.10044442093010951,-0.5511877678429712,-0.5990159250833289,0.0
2018-10-31,1.0,-0.1020682033470161,-0.28107567624460583,-0.10180507315019473,-0.5503894326912957,-0.5959635827807599,0.0
2018-11-01,1.0,-0.10141801057588593,-0.28189208387045855,-0.10112862066243983,-0.5504196153744968,-0.595985372655284,0.0
2018-11-02,1.0,-0.10655522951163277,-0.26540557535107945,-0.09772584363865017,-0.556644309369105,-0.5936648501362398,0.0
2018-11-05,1.0,-0.10145117694911696,-0.28393733434802004,-0.09657018395570367,-0.5602382764321516,-0.5819928097199989,0.0
2018-11-06,1.0,-0.09542487101189849,-0.28143097820364327,-0.09932083815941876,-0.5661261450984522,-0.5901074023375803,0.0
2018-11-07,1.0,-0.09231417362226493,-0.28234024065931174,-0.10487374601753599,-0.563864240764633,-0.5896416440664578,0.0
2018-11-08,1.0,-0.08650137741046832,-0.28185753640299094,-0.10045913682277319,-0.56274432638069,-0.5920503738685557,0.0
