Date,EBIX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4390892758430073,-0.9398839137645109,-0.1017827529021559,-0.5225953565505805,-0.4515961857379768,0.0
2018-09-25,1.0,-0.4427011335360796,-0.9378283107547691,-0.10685651092065247,-0.5206317390102295,-0.44788498755875034,0.0
2018-09-26,1.0,-0.4427862423211745,-0.9404088432304861,-0.10096137160309583,-0.5264290424461181,-0.46010481379932666,0.0
2018-09-27,1.0,-0.442375824939215,-0.942862104897534,-0.10055574852379298,-0.5269538034039598,-0.4606807919416464,0.0
2018-09-28,1.0,-0.4407433136505731,-0.9439388676623828,-0.10111149704758597,-0.5268496005557486,-0.4608197290725947,0.0
2018-10-01,1.0,-0.4401184050148006,-0.9491903186487899,-0.10182831272853908,-0.5280515410064426,-0.46331185791398216,0.0
2018-10-02,1.0,-0.44045961002785516,-0.9449512534818942,-0.10355153203342618,-0.5287256267409471,-0.4642409470752089,0.0
2018-10-03,1.0,-0.4403634591282551,-0.9436707979390058,-0.10367636819384488,-0.5289305110708815,-0.46476813814232004,0.0
2018-10-04,1.0,-0.4521142537104453,-0.9362573508821058,-0.10441753010361243,-0.5462405488658639,-0.46139036684402135,0.0
2018-10-05,1.0,-0.44196506397963814,-0.9321850702555698,-0.09281405808723546,-0.5519333356577525,-0.4677312506537428,0.0
2018-10-08,1.0,-0.44778692562099787,-0.9446555485187532,-0.0955949616494265,-0.5555555555555557,-0.47480824713250297,0.0
2018-10-09,1.0,-0.685484255156972,-1.306321756943452,-0.2117097803820685,-0.8457434138440283,-0.7146872469153446,0.0
2018-10-10,1.0,-0.7496954314720812,-1.388274111675127,-0.23263959390862946,-0.9394416243654823,-0.7660406091370557,0.0
2018-10-11,1.0,-0.6759503761646157,-1.4272831448358327,-0.10263564346569677,-0.949678640825071,-0.8267649843057148,0.0
2018-10-12,1.0,-0.6778813143697892,-1.4151054438450221,-0.09421284943599804,-0.922854340362923,-0.7943109367336929,0.0
2018-10-15,1.0,-0.6619883612890606,-1.4401193212382022,-0.07037018925130813,-0.9218054672600127,-0.7959313413858867,0.0
2018-10-16,1.0,-0.6604733033444162,-1.4451398396244866,-0.06649716409153139,-0.9217191472716605,-0.7957168003129278,0.0
2018-10-17,1.0,-0.6354396394668712,-1.3880525457857897,-0.041710614632275385,-0.9184965001438298,-0.8106242209224279,0.0
2018-10-18,1.0,-0.6338386261153218,-1.3857814448815122,-0.04326969202724743,-0.9224791326873261,-0.8117144775976206,0.0
2018-10-19,1.0,-0.6178652968036529,-1.3732401065449011,-0.024305555555555552,-0.9292237442922374,-0.8118816590563166,0.0
2018-10-22,1.0,-0.6184374700067186,-1.3997984451482868,-0.040646895095498604,-0.9276322103848738,-0.8124580094058931,0.0
2018-10-23,1.0,-0.6218798003072197,-1.399529569892473,-0.04771505376344085,-0.9219470046082949,-0.8092357910906298,0.0
2018-10-24,1.0,-0.6216164330965637,-1.4015166058744482,-0.043962372816279516,-0.9229698598579382,-0.809368400844692,0.0
2018-10-25,1.0,-0.5729570190001845,-1.3291828076000736,-0.034357129680870686,-0.9204943737317838,-0.7546578122117691,0.0
2018-10-26,1.0,-0.5547951455424764,-1.3145816224108038,-0.0077561821334063315,-0.9376767953280408,-0.7476503330595856,0.0
