Date,IWF,IWM,MTUM,SPY,TDG,VLUE,VXX
2018-09-24,-0.29257191246129827,-0.5107835613538331,-0.09449839900500145,-0.4252560268861309,1.0,-0.3231363624335124,0.0
2018-09-25,-0.29205063022984856,-0.5118896303357696,-0.09334286622179853,-0.42622603537760834,1.0,-0.32448893125728206,0.0
2018-09-26,-0.2933570046901084,-0.5137126049974827,-0.09578950157661835,-0.4259784308010281,1.0,-0.32096769919711704,0.0
2018-09-27,-0.29560681089955776,-0.5080634483489129,-0.09742340386092208,-0.4261049175118502,1.0,-0.32089611524508116,0.0
2018-09-28,-0.29665933716586745,-0.5075370228097597,-0.0974911913529552,-0.4263385169682358,1.0,-0.3211645958619228,0.0
2018-10-01,-0.2972392963119966,-0.5068885120813904,-0.09744595167443833,-0.4266638406104281,1.0,-0.3211901229334464,0.0
2018-10-02,-0.2970730155363487,-0.5115064425473248,-0.09632005938809056,-0.42589744949361047,1.0,-0.3204835887374728,0.0
2018-10-03,-0.2967880426140881,-0.5072613558064345,-0.09580219430752107,-0.42722743414427305,1.0,-0.323050829490645,0.0
2018-10-04,-0.2973452734209411,-0.5059082238236541,-0.09609474353539635,-0.42780309453158116,1.0,-0.32227638830012717,0.0
2018-10-05,-0.29394355776345,-0.5041750343515484,-0.09163936158968397,-0.42963217418877503,1.0,-0.3230102526160025,0.0
2018-10-08,-0.2952582781456954,-0.5072317880794702,-0.09247682119205297,-0.42974834437086096,1.0,-0.32429139072847685,0.0
2018-10-09,-0.2984476582194507,-0.5084516385829906,-0.09818230065012604,-0.42783600902215735,1.0,-0.3206315510149927,0.0
2018-10-10,-0.2978429129983775,-0.5120621326169641,-0.09580551639758492,-0.4289437987073436,1.0,-0.3251323243875841,0.0
2018-10-11,-0.2800762680875516,-0.5086715770777831,-0.07245468317400618,-0.4237319124484146,1.0,-0.3269602465653242,0.0
2018-10-12,-0.2779084059210175,-0.5308876182333138,-0.062309624325335336,-0.4499812964249453,1.0,-0.35085234863463904,0.0
2018-10-15,-0.26977141180549996,-0.5439438798645008,-0.05073217572217332,-0.45034808354004957,1.0,-0.35251126937131577,0.0
2018-10-16,-0.2672141672462683,-0.5612326788293831,-0.039109731956556634,-0.45318602535979885,1.0,-0.3543416617623455,0.0
2018-10-17,-0.2723762723762724,-0.5747765747765748,-0.04060804060804061,-0.4572994572994573,1.0,-0.354915354915355,0.0
2018-10-18,-0.27089469559813006,-0.5727835274407544,-0.041938011727511014,-0.4607506687923906,1.0,-0.3557975518145216,0.0
2018-10-19,-0.27107782164296146,-0.5765237142393598,-0.03834297766480991,-0.46263046887675086,1.0,-0.3554431885782273,0.0
2018-10-22,-0.27278626470190614,-0.5720967959983777,-0.03382452345545491,-0.4663241854806003,1.0,-0.3587400297417872,0.0
2018-10-23,-0.27228459353442447,-0.5727580143378872,-0.032138509400784526,-0.4681455430812932,1.0,-0.3599350737183823,0.0
2018-10-24,-0.27248398345632957,-0.5718649474224853,-0.029356905360473605,-0.46903468223718003,1.0,-0.3604736031141027,0.0
2018-10-25,-0.256898469360733,-0.5489645675546846,-0.027170171071447487,-0.4717705629998411,1.0,-0.3433610507918013,0.0
2018-10-26,-0.2507955711017016,-0.5429871393630171,-0.01948820450779791,-0.4765799647581727,1.0,-0.3401362333324567,0.0
2018-10-29,-0.2578331745527681,-0.543770509156346,-0.019874034084894677,-0.4854186514237324,1.0,-0.33947284852334075,0.0
