Date,IWF,IWM,MANU,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4250125915307427,-0.9839990701638835,1.0,-0.0,-0.7464259424276471,-0.7188408043082407,0.0
2018-09-25,-0.425350584953901,-0.9837297590454792,1.0,-0.0,-0.7462229797784149,-0.7185635701557295,0.0
2018-09-26,-0.42426602289541315,-0.9869558445603924,1.0,-0.0,-0.7518495444280041,-0.7307063312826104,0.0
2018-09-27,-0.4248996300086594,-1.0107848539715028,1.0,-0.0,-0.7609226167047154,-0.7394709911044636,0.0
2018-09-28,-0.42540544796095103,-1.0104707920012597,1.0,-0.0,-0.7609431585577076,-0.7395292079987404,0.0
2018-10-01,-0.4279126596247832,-1.0098139681538705,1.0,-0.0,-0.763164117925272,-0.7404619265331862,0.0
2018-10-02,-0.42724360242059883,-1.0280030059723924,1.0,-0.0,-0.7615789265514378,-0.7384408495827236,0.0
2018-10-03,-0.4266629777479151,-1.0232797122643373,1.0,-0.0,-0.7622228370420141,-0.7402474210505514,0.0
2018-10-04,-0.4316825421920082,-1.0161653689577486,1.0,-0.0,-0.7684676495000197,-0.7360973874550413,0.0
2018-10-05,-0.42108372056391274,-1.012365125620225,1.0,-0.0,-0.7681342049302985,-0.7363550444987005,0.0
2018-10-08,-0.4175241536407195,-1.0075799230225433,1.0,-0.0,-0.768360694368078,-0.7339172099599403,0.0
2018-10-09,-0.4153870321643168,-1.007501079998429,1.0,-0.0,-0.7690374268546517,-0.7352629305266465,0.0
2018-10-10,-0.4282318450140644,-1.0153321976149914,1.0,-0.0,-0.7833683293054949,-0.7348361792322016,0.0
2018-10-11,-0.3803180225618912,-0.9926462095252762,1.0,-0.0,-0.7547838139606514,-0.722442536480191,0.0
2018-10-12,-0.3995795107033639,-0.9947247706422019,1.0,-0.0,-0.733448012232416,-0.6948776758409786,0.0
2018-10-15,-0.39862359013572934,-0.9956796023704836,1.0,-0.0,-0.7341617281590518,-0.6949340470273371,0.0
2018-10-16,-0.3876479873717443,-1.0796764009471191,1.0,-0.0,-0.7600631412786109,-0.7189423835832676,0.0
2018-10-17,-0.3596986089644514,-1.027820710973725,1.0,-0.0,-0.7506182380216384,-0.7258500772797527,0.0
2018-10-18,-0.3619453594264677,-1.0345281922108118,1.0,-0.0,-0.7504747142026739,-0.7282697151714784,0.0
2018-10-19,-0.3597636815920398,-1.04306592039801,1.0,-0.0,-0.7534203980099503,-0.7305659203980098,0.0
2018-10-22,-0.35983198506533914,-1.0315416925948973,1.0,-0.0,-0.7606565028002489,-0.737204418170504,0.0
2018-10-23,-0.3610171468564097,-1.0312998172557253,1.0,-0.0,-0.7593996656168592,-0.7364205451222833,0.0
2018-10-24,-0.35950027243714483,-1.0265820814197868,1.0,-0.0,-0.7631742819335253,-0.7427414960691212,0.0
2018-10-25,-0.31351169064748197,-0.9647407074340526,1.0,-0.0,-0.7688474220623501,-0.6999025779376499,0.0
2018-10-26,-0.2909958920839347,-0.9471152066910921,1.0,-0.0,-0.7747307649605862,-0.6879834203027275,0.0
