Date,IWF,IWM,MTUM,PII,SPY,VLUE,VXX
2018-09-24,-0.518396324911255,-1.072624765086657,-0.03871371893923575,1.0,-0.7404050950093966,-0.8060973063269994,0.0
2018-09-25,-0.517688383373756,-1.0753951660115415,-0.03646399598561512,1.0,-0.7428702851885924,-0.8092330852220457,0.0
2018-09-26,-0.5174620435819147,-1.0753691078673304,-0.03546781546697896,1.0,-0.743402066167552,-0.8108243757580827,0.0
2018-09-27,-0.5229649460386514,-1.0644608048188737,-0.03902785911486656,1.0,-0.7449594244122815,-0.8116372458796955,0.0
2018-09-28,-0.5188837599664289,-1.0741082668904742,-0.040327318506084765,1.0,-0.7481745698699118,-0.8148971884179605,0.0
2018-10-01,-0.5222343644922663,-1.0733860121049092,-0.03997141896435777,1.0,-0.7513029589778076,-0.8161987222595831,0.0
2018-10-02,-0.5228170434490294,-1.0664761744684428,-0.042860744600386594,1.0,-0.7524161694260022,-0.8174636524077653,0.0
2018-10-03,-0.5224056108521272,-1.062030154130444,-0.04262735710385956,1.0,-0.7533072949477133,-0.8194111965058167,0.0
2018-10-04,-0.5241332997565685,-1.0576261227230757,-0.04343993956182322,1.0,-0.7552253840342482,-0.8166708637622765,0.0
2018-10-05,-0.5074745613667769,-1.0509191407395002,-0.023407729994556342,1.0,-0.7701101293915665,-0.8355596499309074,0.0
2018-10-08,-0.5069479323622971,-1.0505608571906915,-0.022266867570734976,1.0,-0.7702996819018919,-0.8354260840448686,0.0
2018-10-09,-0.509151832460733,-1.051560209424084,-0.02605235602094241,1.0,-0.7689214659685863,-0.8328376963350785,0.0
2018-10-10,-0.5093170302751141,-1.0511703864997277,-0.026003936183576905,1.0,-0.7690213977639128,-0.8319165864076045,0.0
2018-10-11,-0.4301932858596134,-1.0443947100712105,-0.0,1.0,-0.7439267548321465,-0.8506612410986776,0.0
2018-10-12,-0.4449055235486081,-1.0414568309093108,-0.0,1.0,-0.7189879537488417,-0.8234559445630716,0.0
2018-10-15,-0.41720257234726693,-1.0661977491961416,-0.0,1.0,-0.71233922829582,-0.8235932475884244,0.0
2018-10-16,-0.41742031432131516,-1.0659592427348366,-0.0,1.0,-0.7124080549861329,-0.8236665460830418,0.0
2018-10-17,-0.3939238305941845,-1.0228350189633375,-0.0,1.0,-0.704132427307206,-0.8297645385587863,0.0
2018-10-18,-0.39340312067943906,-1.0220027651589967,-0.0,1.0,-0.7049180327868853,-0.829863717163737,0.0
2018-10-19,-0.3775582215949188,-1.0114090802164195,-0.0,1.0,-0.7031678820669647,-0.8285109386026818,0.0
