Date,IMOS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5189614219018757,-0.9680153984765336,-0.027602588254566303,-0.8422475223196003,-0.7385125726922761,0.0
2018-09-25,1.0,-0.5211429039256621,-0.9656965082483933,-0.03139710999222236,-0.8400671333251464,-0.7351508453068074,0.0
2018-09-26,1.0,-0.5269347808207911,-0.9752035529237602,-0.038119911176905996,-0.8429558351838145,-0.7289250760753351,0.0
2018-09-27,1.0,-0.5282205060795269,-0.9696845218534341,-0.039599079855405846,-0.8421787709497207,-0.728105488005258,0.0
2018-09-28,1.0,-0.5268410892512424,-0.9704275680782027,-0.040333511315562495,-0.8417464163962707,-0.7279336263194645,0.0
2018-10-01,1.0,-0.5268410892512424,-0.9702632767897482,-0.04070316671458496,-0.8415821251078162,-0.7278925534973508,0.0
2018-10-02,1.0,-0.5279648488830486,-0.9590588042049936,-0.0450065703022339,-0.8437500000000001,-0.7306176084099869,0.0
2018-10-03,1.0,-0.5273309258043335,-0.9504678266579121,-0.044074195666447796,-0.8463148391332895,-0.7355548260013132,0.0
2018-10-04,1.0,-0.526901593560046,-0.9528092656481025,-0.044644323969114504,-0.8454903893543617,-0.7372679480860851,0.0
2018-10-05,1.0,-0.515043741313057,-0.9455073174719973,-0.03033276101708773,-0.8525468072929442,-0.7445425558008338,0.0
2018-10-08,1.0,-0.5251834348961572,-0.9667951747295113,-0.034241180616009614,-0.8615429258384114,-0.7576586660033992,0.0
2018-10-09,1.0,-0.5223197570412281,-0.9728751508091692,-0.021092482422931314,-0.8726546574031702,-0.7713108957024587,0.0
2018-10-10,1.0,-0.5286531157393881,-0.9738720313869528,-0.025585375015651737,-0.8789181518427313,-0.7667682290579741,0.0
2018-10-11,1.0,-0.4418331850173934,-0.9627052827441145,-0.0,-0.8556751071919748,-0.7847666046436372,0.0
2018-10-12,1.0,-0.445431370987015,-0.9492153270134629,-0.0,-0.8318728590775114,-0.7565920497092329,0.0
2018-10-15,1.0,-0.45723434060436263,-0.944846908144887,-0.0,-0.839703822293376,-0.7606163698218931,0.0
2018-10-16,1.0,-0.4500020039276983,-0.9594405033866378,-0.0,-0.8388040559496613,-0.7596088333132941,0.0
2018-10-17,1.0,-0.4186331960722205,-0.9082990180551156,-0.0,-0.8445913842255306,-0.7878919860627177,0.0
2018-10-18,1.0,-0.4179730799683294,-0.9069675376088678,-0.0,-0.8458828186856691,-0.7880047505938242,0.0
2018-10-19,1.0,-0.41001657589391427,-0.9038992817112638,-0.0,-0.846238850738022,-0.7864866998184545,0.0
2018-10-22,1.0,-0.4118461112648768,-0.9112727847851013,-0.0,-0.8450832311889604,-0.7857340555928987,0.0
