Date,BK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1974041231922571,-0.3992838960530365,-0.21043945285182805,-0.482391115835408,-0.5077624548938432,0.0
2018-09-25,1.0,-0.19599584421419144,-0.4051610367000814,-0.20543060118496057,-0.4873782045882122,-0.5140257771038665,0.0
2018-09-26,1.0,-0.19604099396321772,-0.4052505966587112,-0.20567176751368801,-0.4872666011512003,-0.5135476625017549,0.0
2018-09-27,1.0,-0.19629421673217293,-0.40460415496911845,-0.20589556428972486,-0.487170129140932,-0.5134475014037058,0.0
2018-09-28,1.0,-0.19383024752057987,-0.4079453825190346,-0.20633270586913158,-0.4875115893574579,-0.5139212766555221,0.0
2018-10-01,1.0,-0.19625274292466102,-0.40713441737466943,-0.20576154841613684,-0.4895346874472514,-0.514572666404096,0.0
2018-10-02,1.0,-0.2002425473108272,-0.38610147502608794,-0.21352624305496798,-0.4975322221282117,-0.5228868770623573,0.0
2018-10-03,1.0,-0.20011841326228538,-0.38340522709972086,-0.21322845301530916,-0.49826609151653556,-0.5243733964870732,0.0
2018-10-04,1.0,-0.20003948333239327,-0.38428563370748486,-0.21329460206441425,-0.49780021433809013,-0.5247898922669073,0.0
2018-10-05,1.0,-0.18559111912543672,-0.37681731094331117,-0.2008058153950186,-0.5121999323791276,-0.5420939930125098,0.0
2018-10-08,1.0,-0.18408688067974002,-0.37427904228680753,-0.19804180851363135,-0.5150943927074247,-0.5420195256449933,0.0
2018-10-09,1.0,-0.1824040978300639,-0.37491204863358757,-0.1937181616053587,-0.5177732121246236,-0.5456362050040808,0.0
2018-10-10,1.0,-0.1817490494296578,-0.3762850302774257,-0.19250809745106323,-0.5181242078580482,-0.5478383326292071,0.0
2018-10-11,1.0,-0.15283915156871408,-0.36920017675651784,-0.16394167034909413,-0.514969067609368,-0.5608705258506408,0.0
2018-10-12,1.0,-0.14997801714662562,-0.3647230160474829,-0.16234337216970762,-0.5123928335897999,-0.5583919542756649,0.0
2018-10-15,1.0,-0.13448702101359702,-0.39178684246669415,-0.14072242823787942,-0.5149842054662821,-0.5649224007691251,0.0
2018-10-16,1.0,-0.13588763983178956,-0.3879833988401177,-0.14399582222466537,-0.5152681197262458,-0.5654014237418575,0.0
