Date,IWF,IWM,MTUM,NOMD,SPY,VLUE,VXX
2018-09-24,-0.3511606534048798,-0.6921229729329104,-0.046515075153419704,1.0,-0.47852124158785686,-0.396311997865465,0.0
2018-09-25,-0.3519056368917077,-0.691156422263055,-0.04792247051152866,1.0,-0.477653962420722,-0.39505660601031356,0.0
2018-09-26,-0.35149322340520184,-0.6910643850648003,-0.04602746226163291,1.0,-0.4787805095050269,-0.39832142115721114,0.0
2018-09-27,-0.3540796064135622,-0.6845084615156635,-0.04795352834830029,1.0,-0.47897217035653955,-0.3982691680744495,0.0
2018-09-28,-0.3504918714892858,-0.6913840758462865,-0.04868190329004071,1.0,-0.48096412755966356,-0.4005111897048771,0.0
2018-10-01,-0.34995836307399475,-0.692957411372829,-0.04910183202474423,1.0,-0.4809064953604569,-0.4011123007375684,0.0
2018-10-02,-0.3497630896683256,-0.7051285871800221,-0.04595166433233007,1.0,-0.47960187144262006,-0.39955895938254316,0.0
2018-10-03,-0.35217170054180263,-0.7183225072589577,-0.04753494776543838,1.0,-0.4791510761217709,-0.39620438830185295,0.0
2018-10-04,-0.3559347403083371,-0.7124681933842238,-0.04816644214937883,1.0,-0.4842388863942523,-0.39275557551264784,0.0
2018-10-05,-0.3559672013406751,-0.7157050514723485,-0.04420038305003591,1.0,-0.4849772564041178,-0.39172851328704805,0.0
2018-10-08,-0.35475570714777244,-0.7137899051551326,-0.03910480806630164,1.0,-0.4915178170720761,-0.3927534931035514,0.0
2018-10-09,-0.35486476783149834,-0.7139779798946865,-0.039073719483006225,1.0,-0.49144327429392054,-0.392502393489708,0.0
2018-10-10,-0.3562069997008675,-0.7128028716721508,-0.040532455877953934,1.0,-0.49219264134011365,-0.3895901884534849,0.0
2018-10-11,-0.30150164242139843,-0.7243664946034726,-0.0,1.0,-0.48853237916471143,-0.41843618019709056,0.0
2018-10-12,-0.31707884783241197,-0.7251091067791678,-0.0,1.0,-0.4712830957230143,-0.3960430608088449,0.0
2018-10-15,-0.32059423244975244,-0.7232449752403146,-0.0,1.0,-0.4729973783862511,-0.39606757937663856,0.0
