Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WSBF
2018-09-24,-0.11503348880390814,-0.5182475297862463,-0.015539689206215875,-0.2673357059174606,-0.29432569243351975,0.0,1.0
2018-09-25,-0.11534466373461225,-0.5178243861471479,-0.016111565407651334,-0.2669790262337835,-0.293809534333768,0.0,1.0
2018-09-26,-0.11540586532299056,-0.517956197927026,-0.016309752701717164,-0.26690092598731463,-0.29342084907953764,0.0,1.0
2018-09-27,-0.11628163788153187,-0.5152833605724634,-0.017072308847563937,-0.2667520650205398,-0.2932108308670877,0.0,1.0
2018-09-28,-0.11675171758676298,-0.5149888439702212,-0.017186913203879203,-0.2668831599178209,-0.29328208186979476,0.0,1.0
2018-10-01,-0.11625591787973984,-0.51725587363391,-0.017521348612893235,-0.26708995177204553,-0.2941683996283351,0.0,1.0
2018-10-02,-0.11626205520452278,-0.5271699368141004,-0.01476554705686731,-0.26609023389868086,-0.2927613346635628,0.0,1.0
2018-10-03,-0.11644822921517753,-0.5278202825272216,-0.01499124032554942,-0.26596145743241745,-0.2924178919122702,0.0,1.0
2018-10-04,-0.11550861589772096,-0.5325847693162868,-0.014830461367426348,-0.2647915508615898,-0.2957643135075042,0.0,1.0
2018-10-05,-0.10809554379828658,-0.5297854913333185,-0.008744161335310916,-0.2673278285701636,-0.29978084253868464,0.0,1.0
2018-10-08,-0.10686736069668236,-0.5279490749950269,-0.006277214154675861,-0.2696549742501602,-0.29956015295183785,0.0,1.0
2018-10-09,-0.10521542953198265,-0.5289746085110147,-0.0016809696540741397,-0.2725161461558878,-0.30341502256038216,0.0,1.0
2018-10-10,-0.10574839708158303,-0.5282334733583904,-0.002454123369445059,-0.27273933230156977,-0.30174662834401944,0.0,1.0
2018-10-11,-0.07048572168061427,-0.5238978517815547,-0.0,-0.25815287723233543,-0.304309377965663,0.0,1.0
2018-10-12,-0.06846619468269415,-0.5225760913738156,-0.0,-0.25067910080636535,-0.29717879066583963,0.0,1.0
2018-10-15,-0.0458044649730562,-0.5462962962962963,-0.0,-0.24724146779574033,-0.2990334445299803,0.0,1.0
