Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WK
2018-09-24,-1.0848943238849225,-2.0315261186117195,-0.3102424542305789,-1.4518272425249168,-1.1902170071393228,0.0,1.0
2018-09-25,-1.0934844192634563,-2.031303116147309,-0.32011331444759206,-1.451203966005666,-1.1859773371104816,0.0,1.0
2018-09-26,-1.1193599538705492,-2.0766902119071644,-0.336168372495315,-1.4795300562202682,-1.1959780885108835,0.0,1.0
2018-09-27,-1.120946286043,-2.06183936147264,-0.3392536132882721,-1.4760911771050549,-1.1924929891421585,0.0,1.0
2018-09-28,-1.1197613399468045,-2.0613183811372293,-0.34016246136151246,-1.4752354252030766,-1.192078211487312,0.0,1.0
2018-10-01,-1.1210726867495868,-2.0598173844273493,-0.34035516572003743,-1.4760227191027393,-1.192321518441297,0.0,1.0
2018-10-02,-1.125224901043541,-2.0364879453040663,-0.34998200791651674,-1.483987045699892,-1.2011514933429293,0.0,1.0
2018-10-03,-1.1376953834969101,-2.071973827699018,-0.35637949836423116,-1.495601599418393,-1.2083605961468555,0.0,1.0
2018-10-04,-1.138346519561588,-2.0635842345938884,-0.3576250272192785,-1.495463453582057,-1.2034550337519054,0.0,1.0
2018-10-05,-1.1193320857924283,-2.0471426515042466,-0.33978695839930906,-1.4917950194328486,-1.199222686051533,0.0,1.0
2018-10-08,-1.1132941345188585,-2.0364979205506955,-0.3313494908934462,-1.4947655241646352,-1.19453606768966,0.0,1.0
2018-10-09,-1.1262990762124712,-2.0497979214780604,-0.34526558891454967,-1.5002165127020786,-1.1955831408775983,0.0,1.0
2018-10-10,-1.126525601213259,-2.052141258034231,-0.3441900772730555,-1.5014082472737775,-1.1975157073734382,0.0,1.0
2018-10-11,-0.9991807755324958,-2.007714363735664,-0.19408793009284545,-1.43698798470781,-1.1888995084653196,0.0,1.0
2018-10-12,-1.0277983941704338,-2.0056676337629042,-0.18163416773497063,-1.3975440253694082,-1.134538830038459,0.0,1.0
2018-10-15,-0.9991938192811555,-2.0477662075915353,-0.14020826335236813,-1.3946926436009406,-1.1363789049378568,0.0,1.0
2018-10-16,-0.9971793149764943,-2.0531900604432503,-0.1356615177971793,-1.3941571524513094,-1.1357286769644057,0.0,1.0
2018-10-17,-0.9507514150022769,-1.9476286513564505,-0.10292108516036692,-1.3685511677834883,-1.13590527616941,0.0,1.0
2018-10-18,-0.9566296538210319,-1.9600261267145656,-0.09973873285434356,-1.3725016329196602,-1.1427824951012409,0.0,1.0
2018-10-19,-0.9309454662794449,-1.9352049048080027,-0.07260406582768635,-1.3774120684091642,-1.1373991610196839,0.0,1.0
2018-10-22,-0.9340815273477812,-1.9236971104231166,-0.06327399380804953,-1.3847394220846232,-1.144156346749226,0.0,1.0
2018-10-23,-0.9344113842173352,-1.9300776196636482,-0.057697283311772325,-1.394243208279431,-1.1519404915912033,0.0,1.0
2018-10-24,-0.9370394311570782,-1.926179702650291,-0.04324499030381383,-1.3997414350355528,-1.1579185520361992,0.0,1.0
2018-10-25,-0.8556307692307692,-1.805107692307692,-0.022584615384615384,-1.4011076923076922,-1.0694153846153844,0.0,1.0
2018-10-26,-0.8227412638059025,-1.7669744703965233,-0.0,-1.4020158126622004,-1.0436357052326632,0.0,1.0
2018-10-29,-0.7820489791030478,-1.780611939404826,-0.0,-1.3790192204059637,-1.0459253936890007,0.0,1.0
2018-10-30,-0.7647692583946849,-1.780930149039325,-0.0,-1.3797809301490394,-1.0600347159873107,0.0,1.0
2018-10-31,-0.7683229080608994,-1.7306148943703528,-0.0,-1.3633895904638262,-1.0388292222353357,0.0,1.0
2018-11-01,-0.7408344612487495,-1.748366974636615,-0.0,-1.3590301889013123,-1.0365444594833166,0.0,1.0
2018-11-02,-0.7529219261337075,-1.6852501168770455,-0.0,-1.3790322580645162,-1.026647966339411,0.0,1.0
2018-11-05,-0.7488032691185055,-1.6939287799182718,-0.0,-1.3779918272037361,-1.0170461179217747,0.0,1.0
2018-11-06,-0.7538946262909154,-1.6971818659198323,-0.0,-1.3731256199311512,-1.0104440165703952,0.0,1.0
2018-11-07,-0.7520251762923247,-1.6969520368319833,-0.0,-1.3699516288828022,-1.0089166035316743,0.0,1.0
