Date,ALL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.22791225416036306,-0.36805345436207765,-0.10756429652042358,-0.4049924357034796,-0.41288451840645485,0.0
2018-09-25,1.0,-0.22671082235761053,-0.37184316303056353,-0.10410294006117755,-0.40824632808352507,-0.41706903961372194,0.0
2018-09-26,1.0,-0.22635878499709147,-0.3716330711449454,-0.10273400945901515,-0.40898859354055483,-0.4194339765800854,0.0
2018-09-27,1.0,-0.2259648234847526,-0.37347842591420977,-0.102340883208908,-0.4092116917626218,-0.41968872580032895,0.0
2018-09-28,1.0,-0.22354222604995186,-0.37676680682912,-0.10281675870104869,-0.4096458787172602,-0.4202593849739095,0.0
2018-10-01,1.0,-0.2231430091994222,-0.37796193517321774,-0.10309435109860869,-0.4095136724194734,-0.4205631161458729,0.0
2018-10-02,1.0,-0.22329801794494855,-0.37821260201753937,-0.10328483803923556,-0.4093881482232473,-0.4204389922441324,0.0
2018-10-03,1.0,-0.22307536364097102,-0.37218083219299575,-0.10235162941564035,-0.41183923774770664,-0.4246110181947189,0.0
2018-10-04,1.0,-0.22481444891962407,-0.36905033310535246,-0.10271803835144515,-0.4139625604782532,-0.422549839146845,0.0
2018-10-05,1.0,-0.2136918450380329,-0.3624371383083571,-0.09216345303378737,-0.42399737181269115,-0.4347881023982209,0.0
2018-10-08,1.0,-0.2124324870021705,-0.36017868860733937,-0.089218111150371,-0.42718691635959816,-0.4348594215334915,0.0
2018-10-09,1.0,-0.2108173623210363,-0.36093225260712575,-0.0847158043582557,-0.4299674267100977,-0.4386283867383784,0.0
2018-10-10,1.0,-0.2120584745120812,-0.3597343903855379,-0.08617163632691191,-0.4307571893857147,-0.43608453051228324,0.0
2018-10-11,1.0,-0.19875327265926943,-0.3548186011719237,-0.07041516020446328,-0.4290238124922079,-0.44041890038648546,0.0
2018-10-12,1.0,-0.1954779908858731,-0.3586058390505283,-0.06530121688617356,-0.4366518103059742,-0.4478691972557464,0.0
2018-10-15,1.0,-0.18367806317685018,-0.3785108671185254,-0.048570642523072305,-0.4380861866293175,-0.45221719230673035,0.0
2018-10-16,1.0,-0.1833233293317327,-0.3799769907963186,-0.04749399759903962,-0.43807523009203686,-0.4521308523409364,0.0
2018-10-17,1.0,-0.1790870461943692,-0.3702258777924111,-0.044256143925651664,-0.4371691971274507,-0.4541659419029396,0.0
2018-10-18,1.0,-0.17784075372262412,-0.36840927735103285,-0.04534268028935789,-0.43963009918711315,-0.4546697491734407,0.0
2018-10-19,1.0,-0.16800416109377322,-0.3606776638430673,-0.03489869718135434,-0.4507851587655422,-0.4624510823797493,0.0
2018-10-22,1.0,-0.17126496616345654,-0.3545524404452046,-0.02669740462556704,-0.457896432909447,-0.4684564091123175,0.0
2018-10-23,1.0,-0.17100141323482013,-0.354796320630749,-0.025909305035578804,-0.458681476706419,-0.46897081794064416,0.0
2018-10-24,1.0,-0.1705612687399331,-0.35403295750216823,-0.02430925535869161,-0.4593978441333168,-0.46970635608970385,0.0
2018-10-25,1.0,-0.16359350831103145,-0.3443983402489627,-0.022342802425789978,-0.46031083503155,-0.46460752780574044,0.0
2018-10-26,1.0,-0.15742366598380644,-0.33955223880597013,-0.01302311969563945,-0.46702760706272556,-0.46175982830943324,0.0
2018-10-29,1.0,-0.14848477484264502,-0.34491725193807865,-0.005467933607135045,-0.4641668084279083,-0.4671559454664755,0.0
2018-10-30,1.0,-0.1336727733385305,-0.34883550964724225,-0.0,-0.468890079906451,-0.4847982849347106,0.0
2018-10-31,1.0,-0.13406475782713406,-0.3462913858953463,-0.0,-0.46833872576446833,-0.48398083051548396,0.0
2018-11-01,1.0,-0.12471749009696467,-0.353495832219495,-0.0,-0.4679093052079029,-0.4840943886850227,0.0
