Date,HZO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0399705738106917,-1.473700343305542,-0.4584355076017656,-1.1495218244237373,-1.0088891613536048,0.0
2018-09-25,1.0,-1.0405074151244025,-1.4722392450055155,-0.45986027699472976,-1.1483024880500061,-1.0072925603627896,0.0
2018-09-26,1.0,-1.0408751072435347,-1.472668219144503,-0.46077950729256045,-1.1480573599705848,-1.0058217918862606,0.0
2018-09-27,1.0,-1.0439654644541057,-1.4629845079909374,-0.46335190741534504,-1.147817035086645,-1.0051435919417058,0.0
2018-09-28,1.0,-1.040918836140888,-1.4664012251148544,-0.46425727411944867,-1.1480551301684532,-1.0058805513016844,0.0
2018-10-01,1.0,-1.042215550517738,-1.4652288462716745,-0.4643710556951167,-1.1490104772991852,-1.00618834630231,0.0
2018-10-02,1.0,-1.043957397032568,-1.4979991380902544,-0.45847441975004616,-1.1496644708489812,-1.0064027581111865,0.0
2018-10-03,1.0,-1.0433284096504185,-1.4862752338749383,-0.4569793205317577,-1.1540497291974396,-1.0140324963072376,0.0
2018-10-04,1.0,-1.0453874538745387,-1.4800738007380074,-0.4576260762607626,-1.156580565805658,-1.0103936039360393,0.0
2018-10-05,1.0,-1.0287395060971873,-1.4708621851829156,-0.43654635700716954,-1.167963723267357,-1.0236534101354249,0.0
2018-10-08,1.0,-1.0255548083389376,-1.4653665097511768,-0.4311915387907318,-1.1700800880357034,-1.0214587026960935,0.0
2018-10-09,1.0,-1.0229484119698917,-1.4682087999510434,-0.42231197601126,-1.1763049996940211,-1.0298023376782328,0.0
2018-10-10,1.0,-1.024287287409764,-1.4664749785880338,-0.42383457726660956,-1.1768016640156613,-1.0263061299400464,0.0
2018-10-11,1.0,-0.9491515260538466,-1.4961923607363434,-0.2886610301613,-1.1813275769023206,-1.0808898482940577,0.0
2018-10-12,1.0,-0.9670740389178928,-1.490329852871381,-0.2787138111058377,-1.1526459420977693,-1.0439012814428097,0.0
2018-10-15,1.0,-0.9439346397489787,-1.5318216801847138,-0.24107512876679887,-1.1533952992718015,-1.0501450476585164,0.0
2018-10-16,1.0,-0.9405758385277531,-1.5583852775304248,-0.22505194419709112,-1.1581478183437224,-1.0542594241614722,0.0
2018-10-17,1.0,-0.9137900823550027,-1.500905320950879,-0.19081829332398806,-1.1598037497809708,-1.075462881841014,0.0
2018-10-18,1.0,-0.913162812427003,-1.4998832048586779,-0.19107685120298995,-1.1604181266059332,-1.075274468582107,0.0
2018-10-19,1.0,-0.8972309118294519,-1.4852276677094196,-0.1691576874058626,-1.1660294288031514,-1.075425790754258,0.0
2018-10-22,1.0,-0.8973066898349262,-1.4833478134955111,-0.17017086591369823,-1.1657688966116422,-1.0754706052707792,0.0
2018-10-23,1.0,-0.9042670537010161,-1.4863860667634252,-0.18107402031930334,-1.1603483309143687,-1.0734397677793905,0.0
2018-10-24,1.0,-0.9059110157201695,-1.4828006264864553,-0.17118162306398285,-1.1634665583850572,-1.0774406868147806,0.0
2018-10-25,1.0,-0.8532125576685046,-1.4129627545853491,-0.1452121075728592,-1.1833577135141216,-1.0314504332170584,0.0
2018-10-26,1.0,-0.8324327335524484,-1.3986407442482314,-0.1130299147679795,-1.2019386106623586,-1.0247339981059551,0.0
2018-10-29,1.0,-0.8228213235702001,-1.403283962944472,-0.09968380762190047,-1.1967604149331557,-1.0247406667776113,0.0
2018-10-30,1.0,-0.8076303659687899,-1.4086744043982895,-0.08729938357305493,-1.2033098239573499,-1.0464263897373243,0.0
2018-10-31,1.0,-0.8341320864991234,-1.518001168907072,-0.09094097019286966,-1.276154295733489,-1.1253068381063704,0.0
