Date,ACCO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4444756479178368,-1.0716922089384577,-0.049907726871539757,-0.7125491454705929,-0.7332905399983952,0.0
2018-09-25,1.0,-0.4442828282828283,-1.084040404040404,-0.04303030303030303,-0.7232727272727273,-0.7458181818181818,0.0
2018-09-26,1.0,-0.4451224440313586,-1.085185484522751,-0.04489614483148791,-0.7228643013012204,-0.7429887658611493,0.0
2018-09-27,1.0,-0.4464004522146405,-1.0802680986796949,-0.04623087172447208,-0.7223321355028869,-0.7423587838656276,0.0
2018-09-28,1.0,-0.44426944511751876,-1.0823035296018093,-0.047007511509571116,-0.7223164526290283,-0.7425490671189726,0.0
2018-10-01,1.0,-0.4474961572688294,-1.081546800420678,-0.04675997087614271,-0.7253053960035596,-0.7438314052261144,0.0
2018-10-02,1.0,-0.44754310693758603,-1.08726625111309,-0.04581882943414555,-0.7243179794381931,-0.7426940824091314,0.0
2018-10-03,1.0,-0.4470426409903714,-1.0788089651266284,-0.04482563314183995,-0.7271623917792702,-0.7477951290557489,0.0
2018-10-04,1.0,-0.4498625262817402,-1.0730228044638526,-0.045649361151544554,-0.7305515122109009,-0.7442988840368753,0.0
2018-10-05,1.0,-0.44359749949586613,-1.0730792498487598,-0.03605565638233515,-0.7330106876386367,-0.7473280903407945,0.0
2018-10-08,1.0,-0.44151505393656415,-1.0697955240701982,-0.03272419900177105,-0.7347850587667042,-0.7462566414426018,0.0
2018-10-09,1.0,-0.438562487381385,-1.0751059963658387,-0.02018978396931153,-0.7450030284675954,-0.7590954976781747,0.0
2018-10-10,1.0,-0.43823220489617837,-1.0765128868061726,-0.01906762543427325,-0.7453744849317282,-0.7606043467722388,0.0
2018-10-11,1.0,-0.3625662154208357,-1.0695310967235627,-0.0,-0.7198351971748087,-0.7719835197174808,0.0
2018-10-12,1.0,-0.3663515921592934,-1.0627953823506624,-0.0,-0.6971798249012164,-0.7475400945223523,0.0
2018-10-15,1.0,-0.32776269872043423,-1.1055835595191934,-0.0,-0.6922838309422257,-0.751841799146956,0.0
2018-10-16,1.0,-0.3241440812686596,-1.1113954480245047,-0.0,-0.6910937924082046,-0.750688224574464,0.0
