Date,IWF,IWM,MTUM,SO,SPY,VLUE,VXX
2018-09-24,-0.2361677910107993,-0.574886871547153,-0.0,1.0,-0.5487909830376725,-0.4163127064767775,0.0
2018-09-25,-0.23689395831598814,-0.5743346376932257,-0.0,1.0,-0.5483584491993451,-0.41564676824022423,0.0
2018-09-26,-0.23667641106363838,-0.5821059140993928,-0.0,1.0,-0.5582415111310995,-0.4338599055543062,0.0
2018-09-27,-0.23868486073674755,-0.5772405660377359,-0.0,1.0,-0.5581480233602876,-0.4336253369272237,0.0
2018-09-28,-0.24302777621274438,-0.5777508592033354,-0.0,1.0,-0.5605386218941911,-0.43571468815144515,0.0
2018-10-01,-0.24284223294124285,-0.5802093029815802,-0.0,1.0,-0.560943273814561,-0.43680009026543676,0.0
2018-10-02,-0.24234290235081374,-0.5879577305605787,-0.0,1.0,-0.559617992766727,-0.4355504068716094,0.0
2018-10-03,-0.2417330846192979,-0.5790514951105081,-0.0,1.0,-0.5633938160646655,-0.4420891978972359,0.0
2018-10-04,-0.25046145108618484,-0.573959960244214,-0.0,1.0,-0.5758057645889536,-0.43947181598750534,0.0
2018-10-05,-0.23258245951216755,-0.5638054322941691,-0.0,1.0,-0.5826573584692348,-0.44733048811508996,0.0
2018-10-08,-0.23053313629646469,-0.565164260543367,-0.0,1.0,-0.5946913720586563,-0.4515175628055018,0.0
2018-10-09,-0.22737093472822376,-0.5651580623152149,-0.0,1.0,-0.5962303843529679,-0.45408801455537867,0.0
2018-10-10,-0.22958603434550212,-0.5642840896167406,-0.0,1.0,-0.5979756624587741,-0.4513249175480496,0.0
2018-10-11,-0.1634607491722987,-0.544613784989192,-0.0,1.0,-0.5747393766930253,-0.45338878704134394,0.0
2018-10-12,-0.1647754772788384,-0.5327238504974455,-0.0,1.0,-0.5585910190911535,-0.43280451734337183,0.0
2018-10-15,-0.1462682567332172,-0.5470722229666354,-0.0,1.0,-0.554683103309661,-0.43186386171780783,0.0
2018-10-16,-0.13897191480194956,-0.5655276408972185,-0.0,1.0,-0.5556453132994049,-0.43258744648194525,0.0
2018-10-17,-0.12120492732979873,-0.5307166785365725,-0.0,1.0,-0.5492601092031336,-0.43657513650391705,0.0
2018-10-18,-0.12128007598142676,-0.531263191219924,-0.0,1.0,-0.549044955677501,-0.4366557619248628,0.0
2018-10-19,-0.106090681153364,-0.5186481404095278,-0.0,1.0,-0.5518700376096949,-0.43520162975344756,0.0
2018-10-22,-0.10682952456002101,-0.5085106382978724,-0.0,1.0,-0.5644339374835828,-0.44699238245337536,0.0
2018-10-23,-0.10774684873949578,-0.5083771008403362,-0.0,1.0,-0.5634978991596639,-0.44642857142857145,0.0
2018-10-24,-0.10594498203655627,-0.5063593213227389,-0.0,1.0,-0.5637374452573886,-0.44638502084808435,0.0
2018-10-25,-0.06870189442040066,-0.47814030632078164,-0.0,1.0,-0.6105164951926815,-0.4341876797885298,0.0
2018-10-26,-0.04752194114610222,-0.47266391326794005,-0.0,1.0,-0.6291171915332988,-0.43198244708311817,0.0
2018-10-29,-0.03520873935788286,-0.4735101036003693,-0.0,1.0,-0.6237306390399016,-0.4319417376141143,0.0
2018-10-30,-0.010644910644910644,-0.48376068376068376,-0.0,1.0,-0.634006734006734,-0.4615643615643616,0.0
2018-10-31,-0.01540436456996149,-0.4636456996148909,-0.0,1.0,-0.6318356867779205,-0.4565083440308087,0.0
2018-11-01,-0.0,-0.4892314843507903,-0.0,1.0,-0.6330957545708088,-0.46005061460592916,0.0
2018-11-02,-0.0,-0.46327582228830727,-0.0,1.0,-0.6435767939087856,-0.4567898069577256,0.0
2018-11-05,-0.0,-0.46558704453441296,-0.0,1.0,-0.6430072259519295,-0.45380003074873165,0.0
2018-11-06,-0.0,-0.46470814624759466,-0.0,1.0,-0.6445670301475305,-0.4564464400256575,0.0
2018-11-07,-0.0,-0.46469622331691296,-0.0,1.0,-0.6445248357963875,-0.4564347290640394,0.0
2018-11-08,-0.0,-0.4634502549386354,-0.0,1.0,-0.6433677521842731,-0.45537933331625197,0.0
2018-11-09,-0.0,-0.46481258177899787,-0.0,1.0,-0.6439951766426354,-0.4568078610462581,0.0
2018-11-12,-0.0,-0.44869503038970326,-0.0,1.0,-0.6509780887685787,-0.4540834567649012,0.0
2018-11-13,-0.0,-0.43648669124703265,-0.0,1.0,-0.6455629072175363,-0.443355725036618,0.0
2018-11-14,-0.0,-0.4367005409778047,-0.0,1.0,-0.6473026947772891,-0.4439304312654836,0.0
2018-11-15,-0.0,-0.4369527366322643,-0.0,1.0,-0.649902848923768,-0.4365237578540968,0.0
2018-11-16,-0.0,-0.4277478475404058,-0.0,1.0,-0.6478274004330093,-0.4419213534061729,0.0
2018-11-19,-0.0,-0.4280749471139317,-0.0,1.0,-0.6482069104462577,-0.4421023471340788,0.0
2018-11-20,-0.0,-0.41073392660733926,-0.0,1.0,-0.6389111088891111,-0.4500799920007999,0.0
2018-11-21,-0.0,-0.40335096130084513,-0.0,1.0,-0.6366085108486136,-0.4312756388078881,0.0
2018-11-23,-0.0,-0.3887906339519243,-0.0,1.0,-0.6588367169012331,-0.4433179723502304,0.0
2018-11-26,-0.0,-0.3918976121112522,-0.0,1.0,-0.6568063544234456,-0.44127387266253326,0.0
2018-11-27,-0.0,-0.3919447470046539,-0.0,1.0,-0.6493217150212892,-0.4342509159322705,0.0
2018-11-28,-0.0,-0.38647235234342087,-0.0,1.0,-0.6543237415421221,-0.4377029271073438,0.0
2018-11-29,-0.0,-0.3697481046710687,-0.0,1.0,-0.6406700904866716,-0.43519197847884566,0.0
2018-11-30,-0.0,-0.3714467595426389,-0.0,1.0,-0.6440271282716744,-0.432926082804887,0.0
2018-12-03,-0.0,-0.37349279241668915,-0.0,1.0,-0.6467915817391517,-0.4354264384469929,0.0
2018-12-04,-0.0,-0.37325373718591737,-0.0,1.0,-0.6414503461943093,-0.43189880850439166,0.0
2018-12-06,-0.0,-0.3196529468781768,-0.0,1.0,-0.6387621456772028,-0.40570699070900024,0.0
2018-12-07,-0.0,-0.3215167046317388,-0.0,1.0,-0.6401148443432043,-0.41118545937737283,0.0
