Date,IWF,IWM,MTUM,PLL,SPY,VLUE,VXX
2018-09-24,-1.540762812872467,-3.902026221692491,-0.019547079856972585,1.0,-2.7837902264600713,-2.672824791418355,0.0
2018-09-25,-1.543956043956044,-3.9095795508838984,-0.01994744386048734,1.0,-2.7907310081223122,-2.6804825609173433,0.0
2018-09-26,-1.5478895133325363,-3.9159392562477584,-0.02475188329546813,1.0,-2.7925385627167287,-2.6761927537964847,0.0
2018-09-27,-1.6262141891061108,-3.976515430960285,-0.049674166974056314,1.0,-2.884544448542973,-2.758637649083979,0.0
2018-09-28,-1.6248920685827064,-3.994942642161095,-0.053533982977673616,1.0,-2.893548785000617,-2.76797829036635,0.0
2018-10-01,-1.6251387689650918,-3.9940791908227453,-0.05513753546317997,1.0,-2.8929320340446525,-2.7677315899839643,0.0
2018-10-02,-1.6596302772920306,-3.976017986510117,-0.08431176617536847,1.0,-2.94878840869348,-2.8220084936297773,0.0
2018-10-03,-1.6589234419882604,-3.9484201323841637,-0.08117896840264768,1.0,-2.9597851879605344,-2.840639440489572,0.0
2018-10-04,-1.768631524279408,-4.057387691508699,-0.10347961568423784,1.0,-3.120098675668657,-2.9340431056868344,0.0
2018-10-05,-1.7115359772639192,-4.034620850019377,-0.03513757912414417,1.0,-3.157860741506265,-2.9790724712569436,0.0
2018-10-08,-1.7573111022892682,-4.123594018790525,-0.017467248908296942,1.0,-3.27180097922456,-3.062590975254731,0.0
2018-10-09,-1.7539031489812122,-4.124900767398783,-0.008997089177030963,1.0,-3.2754697009790954,-3.067610478962689,0.0
2018-10-10,-1.7580367773515015,-4.1213123429025,-0.012964677867442782,1.0,-3.2783436962561185,-3.058473343034793,0.0
2018-10-11,-1.3180292495804364,-3.8300167825461524,-0.0,1.0,-2.95996163989451,-2.879525293694558,0.0
2018-10-12,-1.3324289253273562,-3.8067712634186623,-0.0,1.0,-2.8774330541465143,-2.78011088828595,0.0
2018-10-15,-1.2410130718954246,-3.841736694677871,-0.0,1.0,-2.8349673202614376,-2.7536181139122315,0.0
2018-10-16,-1.2312179188054129,-3.8549930004666355,-0.0,1.0,-2.8303779748016797,-2.749416705552963,0.0
2018-10-17,-1.159298245614035,-3.7691228070175433,-0.0,1.0,-2.8936842105263154,-2.8739181286549704,0.0
2018-10-18,-1.178969855210064,-3.8122478044149064,-0.0,1.0,-2.9544267742701162,-2.9223830999287914,0.0
2018-10-19,-1.0758897818599311,-3.6827784156142367,-0.0,1.0,-2.8799081515499427,-2.84247990815155,0.0
2018-10-22,-1.0770290437378027,-3.657215015497646,-0.0,1.0,-2.891860865572265,-2.8536333371599123,0.0
2018-10-23,-1.1304957904583723,-3.7269644527595887,-0.0,1.0,-2.9339335827876525,-2.90177736202058,0.0
2018-10-24,-1.1158054003724396,-3.7075186219739296,-0.0,1.0,-2.922835195530727,-2.892690875232775,0.0
2018-10-25,-0.9254720105995363,-3.4696919509771447,-0.0,1.0,-2.9190681241029037,-2.726841117367782,0.0
2018-10-26,-0.8474483662987652,-3.425527264779806,-0.0,1.0,-2.9548683204021415,-2.6999235056278006,0.0
2018-10-29,-0.7561738380243718,-3.434055861102124,-0.0,1.0,-2.89852259247277,-2.6953520974873286,0.0
2018-10-30,-0.7393737221564618,-3.4273108791563542,-0.0,1.0,-2.8926073388572044,-2.7014957494888625,0.0
2018-10-31,-0.7562173124132778,-3.343473156153271,-0.0,1.0,-2.889636033728253,-2.68406446792614,0.0
2018-11-01,-0.7099268990359148,-3.3523678355758024,-0.0,1.0,-2.866405339548681,-2.6656425468799663,0.0
2018-11-02,-0.8146412230777815,-3.393259680839192,-0.0,1.0,-3.1243164825354315,-2.8273630175203657,0.0
2018-11-05,-0.8089380431102584,-3.4897867057894145,-0.0,1.0,-3.1666854756799463,-2.8199977429184067,0.0
2018-11-06,-0.8128028851572185,-3.487321086442015,-0.0,1.0,-3.158570945565198,-2.8114504677110332,0.0
2018-11-07,-0.808055805580558,-3.4852610261026102,-0.0,1.0,-3.1506525652565256,-2.807155715571557,0.0
2018-11-08,-0.6804157912197281,-3.4725201813557454,-0.0,1.0,-3.093884772752405,-2.81145637509676,0.0
2018-11-09,-0.6898122430841017,-3.487612487501388,-0.0,1.0,-3.1064326185979336,-2.8259082324186195,0.0
2018-11-12,-0.6816879682679595,-3.4099823710885855,-0.0,1.0,-3.1210885852798596,-2.8052005288673425,0.0
2018-11-13,-0.5624591947769315,-3.394885745375408,-0.0,1.0,-3.133405875952122,-2.790642002176279,0.0
2018-11-14,-0.564961915125136,-3.3930359085963,-0.0,1.0,-3.1337323177366705,-2.7896626768226334,0.0
2018-11-15,-0.5599000760291083,-3.3967633322472035,-0.0,1.0,-3.144238079721951,-2.760399695883567,0.0
2018-11-16,-0.5432244242099624,-3.3328334226031067,-0.0,1.0,-3.0997321906802355,-2.7365827530798073,0.0
2018-11-19,-0.5414204362307939,-3.3443644568604274,-0.0,1.0,-3.112281078757924,-2.7466423122381007,0.0
2018-11-20,-0.37625861155272916,-3.2971913089560143,-0.0,1.0,-3.1151033386327502,-2.810386857445681,0.0
2018-11-21,-0.3859630826989259,-3.258733966002711,-0.0,1.0,-3.092188966524142,-2.691730107414746,0.0
2018-11-23,-0.4039700137261113,-3.2414739731812903,-0.0,1.0,-3.1694646816598038,-2.7436384753457927,0.0
2018-11-26,-0.40275277924827946,-3.269666490206458,-0.0,1.0,-3.171413446267866,-2.7437797776601376,0.0
2018-11-27,-0.3594819416657892,-3.2876697904601455,-0.0,1.0,-3.1566810571759505,-2.725808149942087,0.0
2018-11-28,-0.361587869853638,-3.2859850479098665,-0.0,1.0,-3.1561545751289883,-2.7259134463514796,0.0
2018-11-29,-0.23373543664295285,-3.2183730281472314,-0.0,1.0,-3.12640478399835,-2.7317249200948552,0.0
2018-11-30,-0.23309278350515464,-3.2199999999999998,-0.0,1.0,-3.130103092783505,-2.726082474226804,0.0
2018-12-03,-0.22529847673939893,-3.2189172498970766,-0.0,1.0,-3.126389460683409,-2.721799094277481,0.0
2018-12-04,-0.1899058149058149,-3.2283988533988537,-0.0,1.0,-3.1086199836199833,-2.7105855855855854,0.0
2018-12-06,-0.12906083874778498,-2.9776530813152196,-0.0,1.0,-3.131521953140382,-2.6063201417601887,0.0
2018-12-07,-0.11990502572220024,-2.994459833795014,-0.0,1.0,-3.150277008310249,-2.6284131381084292,0.0
2018-12-10,-0.0076041967465588604,-2.9709307921840407,-0.0,1.0,-3.11156030416787,-2.5354702088747714,0.0
2018-12-11,-0.07517758484609313,-3.025059194948698,-0.0,1.0,-3.2088595106550906,-2.556629834254143,0.0
2018-12-12,-0.07701588578322943,-3.0851598632616124,-0.0,1.0,-3.269052885582143,-2.623064548562236,0.0
2018-12-13,-0.07679129295575934,-3.078302932580873,-0.0,1.0,-3.2972891262722963,-2.625214148946891,0.0
2018-12-14,-0.08355957767722473,-3.060432378079437,-0.0,1.0,-3.29270990447461,-2.61860231271996,0.0
2018-12-17,-0.02358771060455897,-3.0297324083250743,-0.0,1.0,-3.224380574826561,-2.6330029732408327,0.0
2018-12-18,-0.0,-2.968104882105469,-0.0,1.0,-3.1911750317972802,-2.624498581352118,0.0
2018-12-19,-0.0,-2.9720807210031346,-0.0,1.0,-3.1959247648902815,-2.6281347962382444,0.0
2018-12-20,-0.0,-2.882104859580178,-0.0,1.0,-3.1421451164573946,-2.560720789801591,0.0
2018-12-21,-0.0,-2.879878164858176,-0.0,1.0,-3.146202170188464,-2.492290119931468,0.0
2018-12-24,-0.0,-2.8291400675929403,-0.0,1.0,-3.0893728877206157,-2.469395418700713,0.0
2018-12-26,-0.0,-2.860508254498238,-0.0,1.0,-3.0022259321090705,-2.411982934520497,0.0
2018-12-27,-0.0,-2.4956344349245203,-0.0,1.0,-2.519053447572419,-2.145246838025296,0.0
2018-12-28,-0.0,-2.5153820978563246,-0.0,1.0,-2.5225004090983476,-2.1440026182294223,0.0
2018-12-31,-0.0,-2.521545686743017,-0.0,1.0,-2.5484057015737003,-2.169316964653539,0.0
2019-01-02,-0.0,-2.564867582970164,-0.0,1.0,-2.5890881662755616,-2.2269527321488436,0.0
