Date,IWF,IWM,MTUM,PXD,SPY,VLUE,VXX
2018-09-24,-0.3059059835083516,-0.8181690041581507,-0.025583198252167174,1.0,-0.6667488899851998,-0.7074846712241878,0.0
2018-09-25,-0.31261477609831895,-0.8172058200310778,-0.033408673541460654,1.0,-0.6653482130244385,-0.702994773273061,0.0
2018-09-26,-0.3160242115323352,-0.8223779689214542,-0.03840572015149907,1.0,-0.6659941241018018,-0.6968956851084918,0.0
2018-09-27,-0.3154816757638052,-0.826610902388885,-0.03764088750265825,1.0,-0.6668320691855107,-0.697774154674984,0.0
2018-09-28,-0.3123491838183109,-0.831334279630944,-0.03853797019162527,1.0,-0.6676011355571327,-0.6987579843860895,0.0
2018-10-01,-0.31179815209665956,-0.8347192608386639,-0.03919687277896233,1.0,-0.6679104477611941,-0.7,0.0
2018-10-02,-0.3189254840322926,-0.8057083660784453,-0.051153818675430444,1.0,-0.6820390083589339,-0.7143673644352361,0.0
2018-10-03,-0.31856321633877244,-0.7982647195344021,-0.050237440639840036,1.0,-0.6845431499268041,-0.7189274110043918,0.0
2018-10-04,-0.3173360155183562,-0.8128457504131044,-0.050075436453768225,1.0,-0.683346504777642,-0.7286442991594223,0.0
2018-10-05,-0.30715538533128106,-0.8083903067616423,-0.03948169094748899,1.0,-0.6886924150767798,-0.7357984035508465,0.0
2018-10-08,-0.30625851315506486,-0.8074413936482902,-0.03226037708796329,1.0,-0.6995841995841996,-0.7389777044949459,0.0
2018-10-09,-0.30760955318080757,-0.8079322957756581,-0.03503550168543355,1.0,-0.6984508355447178,-0.7370006454851897,0.0
2018-10-10,-0.3210709621245102,-0.8160644318676534,-0.04208387752140473,1.0,-0.7140835872877667,-0.7345813379770715,0.0
2018-10-11,-0.2868701206529453,-0.8102555003548616,-0.0007806955287437899,1.0,-0.7063875088715401,-0.7443577004968063,0.0
2018-10-12,-0.2819345962535718,-0.8073164708787526,-0.0,1.0,-0.7003915758281299,-0.7380675203725262,0.0
2018-10-15,-0.2660237232058006,-0.8192249480834889,-0.0,1.0,-0.6967723768962726,-0.7377776213438457,0.0
2018-10-16,-0.26352278726024986,-0.8230512053492873,-0.0,1.0,-0.6958648601090972,-0.7368643322188985,0.0
2018-10-17,-0.23864939034981067,-0.7813596415048458,-0.0,1.0,-0.6976760343210476,-0.7561051863688469,0.0
2018-10-18,-0.24060595507574437,-0.7874281734285217,-0.0,1.0,-0.696569737071217,-0.7578965697370711,0.0
2018-10-19,-0.22382434301521437,-0.7760027662517289,-0.0,1.0,-0.698997233748271,-0.7589903181189488,0.0
2018-10-22,-0.22427322064364477,-0.7730650903937226,-0.0,1.0,-0.6997822254485119,-0.7596183760240589,0.0
2018-10-23,-0.2199223354829762,-0.776159767006449,-0.0,1.0,-0.70667776159767,-0.7644060744747243,0.0
2018-10-24,-0.21873588380416278,-0.781889572257549,-0.0,1.0,-0.7087112130372841,-0.7654192292991417,0.0
2018-10-25,-0.19755607747030193,-0.7532931685898091,-0.0,1.0,-0.7065250689267845,-0.7463834711869022,0.0
2018-10-26,-0.18616895609031692,-0.7424482770258868,-0.0,1.0,-0.7079887947618887,-0.7384656923959634,0.0
2018-10-29,-0.17620922952640614,-0.7445891817294422,-0.0,1.0,-0.7048705779393449,-0.7403143828469487,0.0
2018-10-30,-0.20847094072384323,-0.7559497463484389,-0.0,1.0,-0.7146505056007626,-0.7256477477784208,0.0
2018-10-31,-0.21141348497156784,-0.7404549147034932,-0.0,1.0,-0.7118873544543732,-0.721060113728676,0.0
2018-11-01,-0.2034958415038204,-0.7458245993643925,-0.0,1.0,-0.7109338021502468,-0.7206369599026304,0.0
2018-11-02,-0.20744054626795386,-0.7244441454472065,-0.0,1.0,-0.7157657506138787,-0.7160684853173669,0.0
2018-11-05,-0.20914966673399313,-0.720864471823874,-0.0,1.0,-0.7161516192015082,-0.720191207163536,0.0
2018-11-06,-0.20892255892255893,-0.7203703703703704,-0.0,1.0,-0.7166666666666668,-0.7210437710437712,0.0
2018-11-07,-0.2082436069986541,-0.7205248990578734,-0.0,1.0,-0.715343203230148,-0.7206258411843875,0.0
2018-11-08,-0.2413745227351614,-0.7444637278722666,-0.0,1.0,-0.7504685872960777,-0.7347448802499132,0.0
2018-11-09,-0.2455234039582533,-0.75070683095396,-0.0,1.0,-0.7535690600020942,-0.7407239345177842,0.0
2018-11-12,-0.24722601421120793,-0.728131891210753,-0.0,1.0,-0.779516258882005,-0.7454233609856838,0.0
2018-11-13,-0.23206266318537858,-0.7245604873803307,-0.0,1.0,-0.7809573542210618,-0.7436727589208006,0.0
2018-11-14,-0.2301484716157205,-0.7303755458515284,-0.0,1.0,-0.7846986899563319,-0.7481921397379913,0.0
2018-11-15,-0.22956084619144035,-0.7327724638693012,-0.0,1.0,-0.7901975843049641,-0.7383578859177546,0.0
2018-11-16,-0.23036905135993854,-0.732970217520338,-0.0,1.0,-0.7900212981390314,-0.7381725498411368,0.0
2018-11-19,-0.22860336756794522,-0.7340878921260392,-0.0,1.0,-0.7915880667924264,-0.7390134842450918,0.0
2018-11-20,-0.17239577891547384,-0.7276843241737192,-0.0,1.0,-0.8060808692926549,-0.7765472085814787,0.0
2018-11-21,-0.17137607045036923,-0.7239538189508719,-0.0,1.0,-0.8048399958395451,-0.7668758450923967,0.0
2018-11-23,-0.17153854155830647,-0.7246437116404869,-0.0,1.0,-0.804535524810153,-0.7668088352578106,0.0
2018-11-26,-0.17437709966405374,-0.722879339305711,-0.0,1.0,-0.8206886898096304,-0.7814949608062709,0.0
2018-11-27,-0.16813665678926268,-0.7233745860205683,-0.0,1.0,-0.8169775143803382,-0.7776886874673175,0.0
2018-11-28,-0.16548422045923183,-0.7404326704644741,-0.0,1.0,-0.8129871037640234,-0.7760109041344843,0.0
2018-11-29,-0.13000554246917,-0.7308438409311349,-0.0,1.0,-0.8155396979354302,-0.787654149923791,0.0
2018-11-30,-0.13065030504714364,-0.7325291181364393,-0.0,1.0,-0.8189129229062673,-0.7843524681087076,0.0
2018-12-03,-0.12706339298099598,-0.7352614787071715,-0.0,1.0,-0.820502150090165,-0.7850603412401165,0.0
2018-12-04,-0.12849045449803526,-0.7361338108982161,-0.0,1.0,-0.8249121952915811,-0.7879125082588587,0.0
2018-12-06,-0.11999045801526718,-0.6933955834242095,-0.0,1.0,-0.8247001090512541,-0.7697655398037078,0.0
