Date,IWF,IWM,MTUM,RRBI,SPY,VLUE,VXX
2020-01-02,-0.0,-0.0931020947079185,-1.1167255468722121,1.0,-1.1422046176355136,-0.216429361595832,0.0
2020-01-03,-0.0,-0.12361490861994533,-1.151928335012232,1.0,-1.1073895524535904,-0.214707152108217,0.0
2020-01-06,-0.0,-0.14253164556962025,-1.188137432188065,1.0,-1.0960578661844484,-0.18994575045207954,0.0
2020-01-07,-0.0,-0.1421389562009476,-1.189699446634598,1.0,-1.091106369127274,-0.19382256139462548,0.0
2020-01-08,-0.0,-0.13724425131269238,-1.1925764982799203,1.0,-1.0858229223248235,-0.20561289154445048,0.0
2020-01-09,-0.0,-0.13794851370433397,-1.191896882580832,1.0,-1.0792932401607591,-0.21155726130562297,0.0
2020-01-10,-0.0,-0.14338872832369945,-1.1832369942196532,1.0,-1.0688945086705204,-0.21716040462427746,0.0
2020-01-13,-0.0,-0.14375045181811608,-1.1831128460926768,1.0,-1.0697245716764259,-0.21795705920624592,0.0
2020-01-14,-0.0,-0.138495367867056,-1.1728128041526982,1.0,-1.0651742907609674,-0.22829025629934033,0.0
2020-01-15,-0.0,-0.13753922735634672,-1.1741874977455542,1.0,-1.0680301554665803,-0.22735634671572344,0.0
2020-01-16,-0.0,-0.13103174889185196,-1.1663122995423256,1.0,-1.0692637572525134,-0.2371256621860247,0.0
2020-01-17,-0.0,-0.11249415404540059,-1.1669604633593553,1.0,-1.0713026585602763,-0.24675324675324675,0.0
2020-01-21,-0.0,-0.12161578341013823,-1.1622623847926268,1.0,-1.0703485023041475,-0.24600374423963134,0.0
2020-01-22,-0.0,-0.11921650523890111,-1.1656284880999535,1.0,-1.0697439959673063,-0.24603031721456092,0.0
2020-01-23,-0.0,-0.12021602160216023,-1.164860486048605,1.0,-1.0713951395139514,-0.24388838883888386,0.0
2020-01-24,-0.0,-0.12228270665849525,-1.1659036014275928,1.0,-1.0726053570784815,-0.24420491005443595,0.0
2020-01-27,-0.0,-0.11171759974144432,-1.1668402341365318,1.0,-1.0673322081373218,-0.24516105864186447,0.0
2020-01-28,-0.0,-0.12442396313364054,-1.1650833037929813,1.0,-1.0422899680964197,-0.21304501949663238,0.0
2020-01-29,-0.0,-0.1258462623413258,-1.160613540197461,1.0,-1.0306770098730607,-0.20895627644569814,0.0
2020-01-30,-0.0,-0.13466138302809608,-1.1695048373853127,1.0,-1.094748491663989,-0.1711113491128485,0.0
2020-01-31,-0.0,-0.144899355442728,-1.168161031291635,1.0,-1.1078103057145943,-0.1799719131468078,0.0
2020-02-03,-0.0,-0.13164771523412672,-1.140228829719613,1.0,-1.088071191468324,-0.1713750971113779,0.0
2020-02-04,-0.0,-0.11915986490289895,-1.1314734027582325,1.0,-1.0864762172811708,-0.18104418801013228,0.0
2020-02-05,-0.0,-0.12003895787679571,-1.1239695293749346,1.0,-1.0697763400466103,-0.1645622456433267,0.0
2020-02-06,-0.0,-0.12115183246073298,-1.1189528795811519,1.0,-1.0764048865619547,-0.17389179755671905,0.0
2020-02-07,-0.0,-0.13070068146077232,-1.1170015726017823,1.0,-1.0736676568233443,-0.1733356631137515,0.0
2020-02-10,-0.0,-0.11391741773213163,-1.1219520715433522,1.0,-1.082861734087892,-0.17463145392300705,0.0
2020-02-11,-0.0,-0.112879025785966,-1.111622875885411,1.0,-1.0791374437349524,-0.185665933912558,0.0
2020-02-12,-0.0,-0.11348804746117605,-1.111638457511778,1.0,-1.0781015529575988,-0.18656429942418423,0.0
2020-02-13,-0.0,-0.11318976650029668,-1.1199609088688005,1.0,-1.074936302397822,-0.18219259362674953,0.0
2020-02-14,-0.0,-0.11341105836358557,-1.1211253839709578,1.0,-1.0750837754817089,-0.18102485339290703,0.0
2020-02-18,-0.0,-0.11447317907374446,-1.1172652078316407,1.0,-1.0721041426726696,-0.18619341779220325,0.0
