Date,FANG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5413266775463186,-1.3518287414802725,-0.16045886531630987,-0.8867236248440049,-0.8595564941921858,0.0
2018-09-25,1.0,-0.5578030486329543,-1.357706266634406,-0.17517541737236875,-0.8909266876360996,-0.8575368981369466,0.0
2018-09-26,1.0,-0.5600813677531845,-1.3608272388240423,-0.1791059233786991,-0.8908315978108201,-0.8524240809802877,0.0
2018-09-27,1.0,-0.5598313381476275,-1.3634469054427374,-0.17883972277419669,-0.8913875829981097,-0.8530994038675908,0.0
2018-09-28,1.0,-0.5648732640574925,-1.362921239195882,-0.17893561231426627,-0.8939011362532776,-0.8551519860153441,0.0
2018-10-01,1.0,-0.5646430305973774,-1.3635259834871296,-0.179456046624575,-0.8936862554638174,-0.8553666828557552,0.0
2018-10-02,1.0,-0.5685597588252456,-1.340173101235048,-0.18841777691335213,-0.9015365165807643,-0.8637070893708062,0.0
2018-10-03,1.0,-0.5681298915949637,-1.3278887754606,-0.18667055563657575,-0.9064216615623936,-0.8720528899907637,0.0
2018-10-04,1.0,-0.5679828827076444,-1.3288270764442716,-0.18731764248200738,-0.9058062633728846,-0.8729819101342152,0.0
2018-10-05,1.0,-0.5599805966529227,-1.3295173417414503,-0.17642493330099443,-0.9089012854717439,-0.8760126121756003,0.0
2018-10-08,1.0,-0.5582941147930717,-1.327203920236767,-0.16845373829508517,-0.9195575178302848,-0.8783174033283199,0.0
2018-10-09,1.0,-0.5646927156829351,-1.3314193956498466,-0.17828816116004087,-0.9180088560167389,-0.8735827940246217,0.0
2018-10-10,1.0,-0.5705368898424928,-1.331301506802555,-0.18305944311698444,-0.9232944848100649,-0.8682401131321013,0.0
2018-10-11,1.0,-0.5068097985434598,-1.3293767142722028,-0.10200510734890758,-0.9057977868154733,-0.8850373593114537,0.0
2018-10-12,1.0,-0.5092895154514051,-1.3219587340117636,-0.09466903183642984,-0.883297544580338,-0.8588833909065446,0.0
