Date,IWF,IWM,JCI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.30015379883112886,-0.684989234081821,1.0,-0.004060289141802522,-0.5318363580436789,-0.5549677022454629,0.0
2018-09-25,-0.2988863867723725,-0.6897306968565876,1.0,-0.0,-0.5359225097942437,-0.5601998951167597,0.0
2018-09-26,-0.2972538844098477,-0.6893089920612856,1.0,-0.0,-0.5372069317023446,-0.5651932165693633,0.0
2018-09-27,-0.299635757500926,-0.6844363501666872,1.0,-0.0,-0.5375354982096554,-0.5652241017409556,0.0
2018-09-28,-0.29813837176993613,-0.6861473866197401,1.0,-0.0,-0.5376184742675435,-0.5654039702386465,0.0
2018-10-01,-0.3016187440032189,-0.6856603423194776,1.0,-0.0,-0.5409947692593395,-0.5668389612801387,0.0
2018-10-02,-0.30386996904024766,-0.6729102167182662,1.0,-0.003312693498452012,-0.5449226006191951,-0.5709597523219814,0.0
2018-10-03,-0.3042696350500759,-0.661188800347276,1.0,-0.0011162444575362005,-0.5521999317850609,-0.5819354438622059,0.0
2018-10-04,-0.3049597024178549,-0.6595474271543706,1.0,-0.0016119032858028517,-0.552820830750155,-0.580874147551147,0.0
2018-10-05,-0.2830305853128396,-0.6518553019717436,1.0,-0.0,-0.5688868188169539,-0.6013351963980749,0.0
2018-10-08,-0.28018230297017427,-0.6485707199107087,1.0,-0.0,-0.5711849693061326,-0.6004526570347865,0.0
2018-10-09,-0.2764941227553267,-0.6485128555035202,1.0,-0.0,-0.5728995440870887,-0.6035728685296033,0.0
2018-10-10,-0.2755731922398589,-0.6678634416729654,1.0,-0.0,-0.5816956412194507,-0.6242441421012849,0.0
2018-10-11,-0.22050052265879605,-0.6576892332288016,1.0,-0.0,-0.56373362848183,-0.6325093771136937,0.0
2018-10-12,-0.22360097323600975,-0.6516727493917275,1.0,-0.0,-0.5489963503649635,-0.6171228710462288,0.0
2018-10-15,-0.1830133300721536,-0.7019077901430844,1.0,-0.0,-0.547266723737312,-0.6251681545799193,0.0
2018-10-16,-0.178036096665647,-0.7108595900887121,1.0,-0.0,-0.5461609054756806,-0.6239828693790149,0.0
2018-10-17,-0.1657343291705724,-0.6887605454930301,1.0,-0.0,-0.5420459012427807,-0.6272565087236552,0.0
2018-10-18,-0.16545218153781027,-0.6885072415565566,1.0,-0.0,-0.5423457200737761,-0.6273092855199104,0.0
