Date,IWF,IWM,JNCE,MTUM,SPY,VLUE,VXX
2018-09-24,-3.347800355099625,-5.051292168080489,1.0,-1.9467350562241075,-4.28151509173407,-4.100414282896035,0.0
2018-09-25,-3.3490342924714227,-5.042767047694126,1.0,-1.9517146235711471,-4.274339771383524,-4.090658257784785,0.0
2018-09-26,-3.3517350157728707,-5.045544164037855,1.0,-1.9560331230283912,-4.275039432176656,-4.087933753943218,0.0
2018-09-27,-3.3515640369860322,-5.018296281723392,1.0,-1.9567184733425145,-4.2675585284280935,-4.079283887468031,0.0
2018-09-28,-3.34750098386462,-5.023809523809524,1.0,-1.9580873671782764,-4.267807949626132,-4.080283353010626,0.0
2018-10-01,-3.3476293527444425,-5.021247294904584,1.0,-1.9586858154633089,-4.266968325791855,-4.079087153255951,0.0
2018-10-02,-3.347894529712712,-5.023219205037387,1.0,-1.9578905942542308,-4.268201495474223,-4.08008658008658,0.0
2018-10-03,-3.3562130177514793,-5.0069033530572,1.0,-1.9597633136094674,-4.2907297830374755,-4.11025641025641,0.0
2018-10-04,-3.351910200866483,-4.997439936983064,1.0,-1.9541157936195352,-4.28692398582119,-4.1022055927530525,0.0
2018-10-05,-3.2967097532314926,-4.958480219349784,1.0,-1.8971797884841362,-4.303564433999217,-4.128867998433216,0.0
2018-10-08,-3.2780269058295963,-4.931370637551179,1.0,-1.8748294014427762,-4.2992786118151685,-4.113472411776175,0.0
2018-10-09,-3.272851296043656,-4.931007600857533,1.0,-1.8643539271097251,-4.302280257259794,-4.1188852075618785,0.0
2018-10-10,-3.302138512850696,-4.960368844418285,1.0,-1.8836570531685304,-4.3364724347655486,-4.136747106140867,0.0
2018-10-11,-3.001306213845867,-4.848105989923493,1.0,-1.5152080612054488,-4.18716178391491,-4.108602351184922,0.0
2018-10-12,-2.9174591781805135,-4.684550511394223,1.0,-1.4292122734613313,-4.002153238830073,-3.910461151982774,0.0
