Date,ARA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0317934174192105,-2.291812821852377,-0.23486827375177252,-1.5006343756996792,-1.4041346369132026,0.0
2018-09-25,1.0,-1.0460338881391513,-2.296371270055481,-0.248687959214275,-1.5040485829959516,-1.4022342180236917,0.0
2018-09-26,1.0,-1.0495458298926508,-2.301403798513625,-0.253584565723294,-1.505067187148112,-1.3973425418512124,0.0
2018-09-27,1.0,-1.0725043517747672,-2.2942556573071977,-0.26360402633769775,-1.5243320971770227,-1.4136078104896692,0.0
2018-09-28,1.0,-1.0689812007277137,-2.302304426925409,-0.26553972104305634,-1.5268344451182534,-1.416691934505761,0.0
2018-10-01,1.0,-1.0688556912110412,-2.3034807006900735,-0.2664745582770911,-1.5269583680897856,-1.417380753772655,0.0
2018-10-02,1.0,-1.0999768393422373,-2.2760750405311514,-0.2946807689338377,-1.5800972747626032,-1.4693893306569905,0.0
2018-10-03,1.0,-1.1075836373515486,-2.2988434370876347,-0.299619653807343,-1.5852674066599395,-1.4708530621749591,0.0
2018-10-04,1.0,-1.127420362273579,-2.2931761399125548,-0.3034041224234853,-1.612898188632105,-1.4707214241099313,0.0
2018-10-05,1.0,-1.0976444064370676,-2.281582834486512,-0.2682888906164969,-1.6326673404338026,-1.4940527093213092,0.0
2018-10-08,1.0,-1.0910428117984052,-2.27065107997213,-0.2619029186343578,-1.630641789889293,-1.4875745142060848,0.0
2018-10-09,1.0,-1.1016408740959638,-2.2808927599346758,-0.27404930398942373,-1.6336418072945018,-1.486429737926744,0.0
2018-10-10,1.0,-1.1157968860026601,-2.2900399029809875,-0.2824505124794617,-1.6498709021203348,-1.4860339566544087,0.0
2018-10-11,1.0,-0.9876020562443302,-2.3093438161475652,-0.09018748110069548,-1.632446325975204,-1.5400665255518597,0.0
2018-10-12,1.0,-0.9853906884084703,-2.2743304065520547,-0.07341547996753486,-1.572862096952704,-1.4724415258614327,0.0
2018-10-15,1.0,-0.947419020854903,-2.361115219642065,-0.007986984173938767,-1.5844549622836857,-1.4943795296553763,0.0
2018-10-16,1.0,-0.9403472325270811,-2.3923430776079537,-0.0,-1.5886630063807685,-1.4981451253895235,0.0
2018-10-17,1.0,-0.8810270625136772,-2.2978335400102123,-0.0,-1.5852359763658912,-1.5303815012035888,0.0
2018-10-18,1.0,-0.9124710106979874,-2.368369866088127,-0.0,-1.622577990573801,-1.5777661404952494,0.0
2018-10-19,1.0,-0.8752254960914011,-2.3698135898977752,-0.0,-1.6624323511725798,-1.6089897775105233,0.0
2018-10-22,1.0,-0.8768976401623327,-2.3676536900646323,-0.0,-1.6620321659401773,-1.6088982413948594,0.0
2018-10-23,1.0,-0.8875592684578912,-2.371867238654324,-0.0,-1.6585384210130205,-1.6082637164145406,0.0
2018-10-24,1.0,-0.8862984759317942,-2.368492530556813,-0.0,-1.6681756450882752,-1.6219254564659726,0.0
