Date,IWF,IWM,MTUM,SAFM,SPY,VLUE,VXX
2018-09-24,-0.46419267857958957,-1.2490288378044878,-0.0,1.0,-0.9521502673552397,-0.9048032539646268,0.0
2018-09-25,-0.47651807007888464,-1.2518345257750871,-0.0,1.0,-0.954778939644102,-0.9031829022197762,0.0
2018-09-26,-0.4754105902378433,-1.2537608685651194,-0.0,1.0,-0.9587799604361228,-0.9124994249436444,0.0
2018-09-27,-0.4850034554250173,-1.242755125547109,-0.0,1.0,-0.9635107118175537,-0.9159640635798203,0.0
2018-09-28,-0.49181692094313456,-1.24415164123902,-0.0,1.0,-0.9677300046232086,-0.9195099398982896,0.0
2018-10-01,-0.49194519026016115,-1.2475233774650496,-0.0,1.0,-0.9685214332006296,-0.9211647069715767,0.0
2018-10-02,-0.49302086737313844,-1.2853274823771066,-0.0,1.0,-0.9691891134867652,-0.9208253582932636,0.0
2018-10-03,-0.49197461739455023,-1.2735162374020157,-0.0,1.0,-0.9727976857036208,-0.9276782381485629,0.0
2018-10-04,-0.49748087329725693,-1.2653013621944393,-0.0,1.0,-0.9794271319275984,-0.9228867325993656,0.0
2018-10-05,-0.46774268570631194,-1.2530815386762175,-0.0,1.0,-0.991534489976278,-0.939020419554398,0.0
2018-10-08,-0.4668197581778986,-1.2586465460680476,-0.0,1.0,-1.0126534820508015,-0.9483550473333959,0.0
2018-10-09,-0.45897217490062464,-1.2714840053000187,-0.0,1.0,-1.0307117168275601,-0.9709918606852167,0.0
2018-10-10,-0.46036978644116383,-1.2887105250585256,-0.0,1.0,-1.0400363097797525,-0.9884859777363719,0.0
2018-10-11,-0.3311808118081181,-1.2729243542435424,-0.0,1.0,-1.0015221402214023,-1.006918819188192,0.0
2018-10-12,-0.33162942187641364,-1.2549534063150276,-0.0,1.0,-0.967701076630779,-0.9693748303627975,0.0
2018-10-15,-0.29342479353761447,-1.2890473396813935,-0.0,1.0,-0.9603321449523895,-0.9700347488605081,0.0
2018-10-16,-0.2866308227533547,-1.3030316721637374,-0.0,1.0,-0.95942709980572,-0.9690507387159445,0.0
2018-10-17,-0.25266402465874066,-1.2380449141347425,-0.0,1.0,-0.9423161602818142,-0.9702774108322325,0.0
2018-10-18,-0.25199805713781076,-1.2376032145538038,-0.0,1.0,-0.9513401333509957,-0.9746103236631783,0.0
2018-10-19,-0.2281199528569558,-1.2200445239862066,-0.0,1.0,-0.9478807455585142,-0.9690078135230695,0.0
2018-10-22,-0.2289625612316305,-1.2062193841847444,-0.0,1.0,-0.9591497550734779,-0.9793561931420574,0.0
2018-10-23,-0.22594656254113105,-1.210283859079542,-0.0,1.0,-0.9663493177730006,-0.9847321546088712,0.0
2018-10-24,-0.22219300552195637,-1.2047506354632307,-0.0,1.0,-0.9675694627048822,-0.9879481111403278,0.0
2018-10-25,-0.16118129198529724,-1.133296717225062,-0.0,1.0,-0.9880434323376569,-0.9424141281845452,0.0
