Date,IWF,IWM,MTUM,RCI,SPY,VLUE,VXX
2018-09-24,-0.20205797584736682,-0.406640783174142,-0.02269966414977491,1.0,-0.4099040087654527,-0.3406378772360241,0.0
2018-09-25,-0.2008852733580572,-0.412274195477928,-0.018183993300634048,1.0,-0.4147146787893289,-0.34659648283287475,0.0
2018-09-26,-0.2004360952700436,-0.41242152681267075,-0.015622753630133704,1.0,-0.41642306033449944,-0.35120046005654865,0.0
2018-09-27,-0.20348809352690336,-0.4059939629150496,-0.01760816443869484,1.0,-0.4170619519908006,-0.35151645824349576,0.0
2018-09-28,-0.20502493287303414,-0.40547084771768316,-0.017620828538550057,1.0,-0.41743383199079404,-0.35184119677790565,0.0
2018-10-01,-0.20612572853956299,-0.4047202168229679,-0.01743697982874823,1.0,-0.41819969779099603,-0.3520015350298611,0.0
2018-10-02,-0.2065665771297007,-0.4010216807367613,-0.01897064466615503,1.0,-0.4188651189562548,-0.35288756715272446,0.0
2018-10-03,-0.20724355741287798,-0.4055047193601844,-0.019621970843240386,1.0,-0.4181617311525806,-0.35117803876359965,0.0
2018-10-04,-0.2074837284146312,-0.40514446285755457,-0.019886158945168958,1.0,-0.41823378245310655,-0.3509618848620218,0.0
2018-10-05,-0.1979804747320061,-0.39921516079632463,-0.01052833078101072,1.0,-0.42582312404287903,-0.35925535987748847,0.0
2018-10-08,-0.19676517667295793,-0.3970184198580882,-0.007955658551735672,1.0,-0.4283632367345963,-0.3590080512220178,0.0
2018-10-09,-0.19549321353469698,-0.39751003632192694,-0.004540240871726247,1.0,-0.43039093863506017,-0.36168992544446565,0.0
2018-10-10,-0.19520065011114035,-0.39802576543416435,-0.003895886612968761,1.0,-0.4305552235952102,-0.362436960730419,0.0
2018-10-11,-0.1717503519474425,-0.38958235570154853,-0.0,1.0,-0.42292351008915996,-0.36203660253402153,0.0
2018-10-12,-0.17312157518343085,-0.3836026748397882,-0.0,1.0,-0.4142983189374942,-0.3508869694436705,0.0
2018-10-15,-0.1604354876071346,-0.39379198517489,-0.0,1.0,-0.4116516099142924,-0.3505443595089182,0.0
2018-10-16,-0.15231865164354225,-0.41286432628736386,-0.0,1.0,-0.41207281869820284,-0.3507077009032499,0.0
2018-10-17,-0.1453715023874882,-0.3995755576572628,-0.0,1.0,-0.40963299577864404,-0.352148739360107,0.0
2018-10-18,-0.1448539927111685,-0.39857913917977583,-0.0,1.0,-0.4108502098998939,-0.3523088988328643,0.0
2018-10-19,-0.1338616945736079,-0.3898114849852257,-0.0,1.0,-0.41411457498224796,-0.3527498453856197,0.0
2018-10-22,-0.13484615561113278,-0.3949934607530459,-0.0,1.0,-0.4128215129752426,-0.35181148612991303,0.0
2018-10-23,-0.1413230931959806,-0.397226884959415,-0.0,1.0,-0.4098737611809883,-0.35100830094966545,0.0
2018-10-24,-0.1401534291882953,-0.3951950020671597,-0.0,1.0,-0.4100785520694566,-0.35139418439064724,0.0
2018-10-25,-0.11471842046219431,-0.36627776531299083,-0.0,1.0,-0.428270136863361,-0.3343953331837559,0.0
2018-10-26,-0.10067712045616535,-0.3594752316464718,-0.0,1.0,-0.43694315751960083,-0.33025213827512473,0.0
2018-10-29,-0.09587397515941964,-0.3598551336458773,-0.0,1.0,-0.4359099695602906,-0.33021529984224673,0.0
2018-10-30,-0.09342929494868718,-0.3598116309031943,-0.0,1.0,-0.4359367364165445,-0.332178239815185,0.0
2018-10-31,-0.09389827502106338,-0.3569243049088733,-0.0,1.0,-0.43521351603033126,-0.3311604806882178,0.0
2018-11-01,-0.07963385713335845,-0.3689576453378843,-0.0,1.0,-0.4355592987433232,-0.3322103770030364,0.0
2018-11-02,-0.08637036709616107,-0.34431012000795636,-0.0,1.0,-0.44856012553318453,-0.330828563219661,0.0
2018-11-05,-0.08543779412739445,-0.34670024966306534,-0.0,1.0,-0.4486423189942776,-0.32862729502220456,0.0
2018-11-06,-0.0873224502418874,-0.348008570986768,-0.0,1.0,-0.4471050829485962,-0.32655901389471825,0.0
2018-11-07,-0.08665193370165745,-0.34954696132596685,-0.0,1.0,-0.44658563535911605,-0.3271602209944751,0.0
2018-11-08,-0.0756900375485826,-0.3488944028457873,-0.0,1.0,-0.4425462769811818,-0.3286708680090468,0.0
2018-11-09,-0.07553135429474793,-0.34884946425434743,-0.0,1.0,-0.44273669418584227,-0.3285613911821535,0.0
2018-11-12,-0.07526693506038859,-0.33839488884999125,-0.0,1.0,-0.44746630491860667,-0.3268641694381236,0.0
2018-11-13,-0.05842125830402501,-0.33535235117884593,-0.0,1.0,-0.4520646085710564,-0.3251704224740567,0.0
2018-11-14,-0.06374018872916483,-0.3435708616280095,-0.0,1.0,-0.4643266601993121,-0.33314225240321016,0.0
2018-11-15,-0.06329141800083685,-0.3444911801625229,-0.0,1.0,-0.4673082428593451,-0.3271157700015416,0.0
2018-11-16,-0.0614863973981453,-0.33958159363600404,-0.0,1.0,-0.4664220102843581,-0.33002241462664267,0.0
2018-11-19,-0.059783565018476155,-0.34077511877529476,-0.0,1.0,-0.4680626429702622,-0.33092116839697344,0.0
2018-11-20,-0.042784610670985254,-0.3363242438832232,-0.0,1.0,-0.4706526020921784,-0.3387315621306955,0.0
2018-11-21,-0.03939633236816706,-0.3380275511099412,-0.0,1.0,-0.4735017987189611,-0.3426559620952882,0.0
2018-11-23,-0.03902160045752496,-0.3452553781179886,-0.0,1.0,-0.47219655976419866,-0.3431877172143768,0.0
2018-11-26,-0.03917339730187724,-0.3444397984110566,-0.0,1.0,-0.473095798763177,-0.344043662932723,0.0
2018-11-27,-0.03636084351890457,-0.34449540277808255,-0.0,1.0,-0.4715060016238397,-0.3420376994141011,0.0
2018-11-28,-0.038352553542009886,-0.33807797913234483,-0.0,1.0,-0.47547501372872053,-0.34468973091707855,0.0
2018-11-29,-0.011762651943347226,-0.3338279903105427,-0.0,1.0,-0.4805010584204438,-0.35621849289658025,0.0
2018-11-30,-0.011694375354540298,-0.3338569620805515,-0.0,1.0,-0.4810184579133394,-0.35523846925862895,0.0
2018-12-03,-0.011715937602269008,-0.33384967819352024,-0.0,1.0,-0.4809425111814116,-0.3552307188829497,0.0
