Date,IWF,IWM,MTUM,PCTY,SPY,VLUE,VXX
2018-09-24,-0.6386011436148173,-1.1372337780724289,-0.3052125631888622,1.0,-0.6134084693792989,-0.44907599237590123,0.0
2018-09-25,-0.6381876217717531,-1.1382498030924844,-0.3041910210172864,1.0,-0.614392903038594,-0.4504414873771919,0.0
2018-09-26,-0.6386021639099614,-1.1387887078721552,-0.3052273763628073,1.0,-0.6140612693280273,-0.44878331882435846,0.0
2018-09-27,-0.638196374497034,-1.1412452814535197,-0.3047662504666694,1.0,-0.614593271663832,-0.4494130335587174,0.0
2018-09-28,-0.6348916382961056,-1.1453541476376319,-0.30548866561488003,1.0,-0.615378228016275,-0.4506767416756622,0.0
2018-10-01,-0.6344987957810813,-1.1458350635329293,-0.30583008055809313,1.0,-0.6152728178722697,-0.45104227223652515,0.0
2018-10-02,-0.6342681201631022,-1.160855454772406,-0.3019056336856121,1.0,-0.6140883748023633,-0.4496962636265291,0.0
2018-10-03,-0.6378156882421809,-1.1783743100852986,-0.3041478508111724,1.0,-0.6144422144171265,-0.4465211573841779,0.0
2018-10-04,-0.6384952978056427,-1.1757993730407523,-0.30457680250783703,1.0,-0.6153396029258098,-0.44543364681295716,0.0
2018-10-05,-0.6504400555859687,-1.1957720975281088,-0.3061018233882175,1.0,-0.6169200320040427,-0.4417821198467175,0.0
2018-10-08,-0.6494637223974763,-1.1944479495268139,-0.3044794952681388,1.0,-0.6172029442691904,-0.44050473186119876,0.0
2018-10-09,-0.6556146123344301,-1.198008942883658,-0.31418206361258755,1.0,-0.6151607188053657,-0.43537501054585337,0.0
2018-10-10,-0.6560958124235651,-1.1975709526420106,-0.31463754058955,1.0,-0.615147809218572,-0.4336018217855185,0.0
2018-10-11,-0.6214503251296403,-1.1991933492468514,-0.26734710675775786,1.0,-0.5967157790764672,-0.4308996625236645,0.0
2018-10-12,-0.628251577447588,-1.1971504172603298,-0.26411561164258085,1.0,-0.5765112965601465,-0.4047628740077346,0.0
2018-10-15,-0.6232520325203252,-1.207439024390244,-0.25552845528455287,1.0,-0.5753252032520325,-0.4034959349593496,0.0
2018-10-16,-0.6198859005704972,-1.2288508557457212,-0.24123879380603097,1.0,-0.5788916055419723,-0.4061124694376528,0.0
2018-10-17,-0.6063735733804855,-1.1972351711943419,-0.22962546214434978,1.0,-0.5744655200128597,-0.4109869795852757,0.0
2018-10-18,-0.6110192393014158,-1.2069939095712499,-0.22587020529988303,1.0,-0.5747993385229702,-0.41471383051667804,0.0
2018-10-19,-0.6053908788255585,-1.2050058160523045,-0.21780113112189645,1.0,-0.5738237535598251,-0.40904897517147326,0.0
2018-10-22,-0.6046950240770465,-1.2064205457463886,-0.22074638844301767,1.0,-0.5725120385232745,-0.40846709470304976,0.0
2018-10-23,-0.6090536632390745,-1.2067400385604112,-0.22903277634961441,1.0,-0.566396208226221,-0.40544665809768643,0.0
