Date,CIBR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2980182210951442,-0.40532544378698226,-0.27712031558185407,-0.22973607588992204,-0.1379026955950033,0.0
2018-09-25,1.0,-0.299037558685446,-0.4043192488262911,-0.2787793427230047,-0.2288262910798122,-0.13645539906103288,0.0
2018-09-26,1.0,-0.29990372648930425,-0.4054523680935496,-0.28057858031793736,-0.2284734778218705,-0.13372625449080705,0.0
2018-09-27,1.0,-0.30011269192844064,-0.4047048880123961,-0.2807672442127999,-0.22845940742827628,-0.13372775508287552,0.0
2018-09-28,1.0,-0.2996102554470323,-0.4050525920360631,-0.28080390683696466,-0.22849361382419234,-0.13389838467317805,0.0
2018-10-01,1.0,-0.29927195866604034,-0.4057069046500704,-0.2809065288868013,-0.22844058243306714,-0.1341944574917802,0.0
2018-10-02,1.0,-0.2988503039155633,-0.4219950054186496,-0.2759035009188145,-0.2269471799462847,-0.1322386090562126,0.0
2018-10-03,1.0,-0.30042563253724286,-0.432655474107354,-0.27692125798061007,-0.22589264601560655,-0.12873019626389218,0.0
2018-10-04,1.0,-0.30047059379951285,-0.43247333695934914,-0.2768936079646227,-0.22607420720315935,-0.12888121644949985,0.0
2018-10-05,1.0,-0.30075116927292483,-0.4335286058487268,-0.27731846742570987,-0.22452402324372844,-0.12602163745452827,0.0
2018-10-08,1.0,-0.30049575070821527,-0.4330500472143532,-0.2769830028328612,-0.2246458923512748,-0.12554296506137866,0.0
2018-10-09,1.0,-0.30583467627263244,-0.43558631149872024,-0.2861882642904541,-0.22205896293487534,-0.12020096691629538,0.0
2018-10-10,1.0,-0.305194959299428,-0.43790492915964585,-0.28457175404039203,-0.22234615658447443,-0.12319339298004128,0.0
2018-10-11,1.0,-0.29294865800056114,-0.4370616291031516,-0.27190685495183764,-0.21460301131581408,-0.1214579631534649,0.0
2018-10-12,1.0,-0.2951931789141092,-0.435448272657575,-0.2737030411449016,-0.20711846293241643,-0.11181841414399554,0.0
2018-10-15,1.0,-0.2990069536500849,-0.4309402544245215,-0.27830879787902046,-0.2070978394846392,-0.11028163445661526,0.0
2018-10-16,1.0,-0.29860465116279067,-0.4324186046511628,-0.27713953488372095,-0.20716279069767443,-0.11027906976744185,0.0
2018-10-17,1.0,-0.29583950388744906,-0.4254442798963347,-0.27524527952610145,-0.2061504998148834,-0.1112782302850796,0.0
2018-10-18,1.0,-0.295451390495581,-0.42478367498033415,-0.27560038869094444,-0.20660774605524965,-0.11119337374485215,0.0
2018-10-19,1.0,-0.29299700529831835,-0.4220456116102281,-0.275074867542041,-0.20550564386086156,-0.10799354987330108,0.0
2018-10-22,1.0,-0.2915541398333449,-0.42817902730651153,-0.2802668328601436,-0.2024328878424855,-0.10583292939085474,0.0
2018-10-23,1.0,-0.2935038552103052,-0.42790525878387736,-0.28443141419271434,-0.1988088092709728,-0.10388291241516229,0.0
2018-10-24,1.0,-0.2941949768214212,-0.4265319772134966,-0.28261721903180426,-0.1989206393136373,-0.10406144053137757,0.0
2018-10-25,1.0,-0.2911653489171536,-0.4219319353729804,-0.28374011687865247,-0.197318666208319,-0.09760513349375502,0.0
2018-10-26,1.0,-0.2873830709559662,-0.4184576773899155,-0.2784850558977869,-0.20095824777549623,-0.09623545516769336,0.0
2018-10-29,1.0,-0.2893469378438221,-0.4184756556871876,-0.27991965121322104,-0.20130566778515832,-0.09361090186947887,0.0
2018-10-30,1.0,-0.2910178546965615,-0.41837526827709026,-0.28094890177633686,-0.20105940910543862,-0.09183067719987215,0.0
