Date,IWF,IWM,MTUM,NTAP,SPY,VLUE,VXX
2018-09-24,-0.45428212802935214,-0.6382800682308262,-0.35151749219529466,1.0,-0.41035048759293236,-0.36397283640693895,0.0
2018-09-25,-0.4539806200302611,-0.6388307632875124,-0.3508675916685446,1.0,-0.4109068666902746,-0.3647104271963429,0.0
2018-09-26,-0.45359397140280816,-0.6386384129846708,-0.3494782944737859,1.0,-0.41159989694705656,-0.3670294989050625,0.0
2018-09-27,-0.45501061981077423,-0.634260153182725,-0.350646843019888,1.0,-0.4114372143914526,-0.3667696466499324,0.0
2018-09-28,-0.452109500805153,-0.6378099838969404,-0.35107890499194844,1.0,-0.4120450885668277,-0.3675684380032206,0.0
2018-10-01,-0.4522705314009662,-0.6375201288244766,-0.35107890499194844,1.0,-0.4121417069243156,-0.3676328502415459,0.0
2018-10-02,-0.4527597088941844,-0.6316738584401366,-0.3530302054485735,1.0,-0.4135055065370001,-0.3691955947704,0.0
2018-10-03,-0.45253195119595657,-0.6293661269033899,-0.35276695747352155,1.0,-0.41415832340726905,-0.3704407172520362,0.0
2018-10-04,-0.4549637972646822,-0.6247465808527756,-0.353113435237329,1.0,-0.4174738535800483,-0.3677232502011263,0.0
2018-10-05,-0.4504813863928113,-0.6219833119383826,-0.3491335044929397,1.0,-0.41851732991014123,-0.36912708600770217,0.0
2018-10-08,-0.4508588858564777,-0.6229250280943971,-0.3493658693209183,1.0,-0.41833360089902066,-0.36927275646171137,0.0
2018-10-09,-0.45854980799638584,-0.627480718964794,-0.361450837393914,1.0,-0.41611539578560136,-0.363322469263287,0.0
2018-10-10,-0.45850006454111275,-0.6277914031237899,-0.36126887827546145,1.0,-0.416064282948238,-0.36346327610688006,0.0
2018-10-11,-0.4409541354338712,-0.6246664972684538,-0.3410621267945623,1.0,-0.40592046753906746,-0.36361326388006604,0.0
2018-10-12,-0.44567955661922154,-0.6200403073434941,-0.34220304824285175,1.0,-0.39261871772263507,-0.34846958055170674,0.0
2018-10-15,-0.45424103617122097,-0.6114989733059548,-0.35093981993365975,1.0,-0.3945348286210709,-0.34787553309113883,0.0
2018-10-16,-0.4574801405196697,-0.6038864449156566,-0.35781878026394914,1.0,-0.3959553122131848,-0.349716745260626,0.0
2018-10-17,-0.44951282934929043,-0.5840095241078982,-0.3514207838591435,1.0,-0.39393464707540965,-0.35402111594974783,0.0
