Date,IWF,IWM,MTUM,SPY,SRC,VLUE,VXX
2018-09-24,-0.2507752847053918,-0.5965392333150913,-0.0,-0.41927918067391134,1.0,-0.33940531102598176,0.0
2018-09-25,-0.2512245961438249,-0.596195935383012,-0.0,-0.4190724335591454,1.0,-0.3390307451797812,0.0
2018-09-26,-0.2496669887951524,-0.5963643011988403,-0.0,-0.4209261629273644,1.0,-0.3448951341186304,0.0
2018-09-27,-0.24938587780274918,-0.5976584957926095,-0.0,-0.4211048972978623,1.0,-0.34513667485496263,0.0
2018-09-28,-0.2503463961726491,-0.5972131447543855,-0.0,-0.4213484614781313,1.0,-0.3454027345690308,0.0
2018-10-01,-0.25353500386120953,-0.6194178893830055,-0.0,-0.4320027694192209,1.0,-0.35794743429286613,0.0
2018-10-02,-0.25284628716171176,-0.62623650179976,-0.0,-0.4306359152113051,1.0,-0.3565924543394214,0.0
2018-10-03,-0.2534286781578526,-0.6285554191792518,-0.0,-0.4304125086717541,1.0,-0.3558354234484231,0.0
2018-10-04,-0.2575874863198356,-0.6231214798601287,-0.0,-0.4358967514614419,1.0,-0.3526946587299469,0.0
2018-10-05,-0.2528622397358752,-0.622344107779967,-0.0,-0.435672826029075,1.0,-0.3516694179668779,0.0
2018-10-08,-0.2503388344096309,-0.6192829998139732,-0.0,-0.43740200377368516,1.0,-0.3505009434212974,0.0
2018-10-09,-0.2414043974994611,-0.6297424013796077,-0.0,-0.45303405906445354,1.0,-0.37036538046992884,0.0
2018-10-10,-0.24114889260117472,-0.6298970738804763,-0.0,-0.45300964595570403,1.0,-0.37034542221264205,0.0
2018-10-11,-0.1955867340261236,-0.619244561945397,-0.0,-0.43389262623354186,1.0,-0.36889773054472164,0.0
2018-10-12,-0.1909818486164147,-0.6220641314013705,-0.0,-0.4346131715227285,1.0,-0.3678401422817387,0.0
2018-10-15,-0.1663487418014581,-0.6469466147534558,-0.0,-0.4307141550602316,1.0,-0.3690715722908882,0.0
2018-10-16,-0.16014663524482847,-0.6597014925373134,-0.0,-0.43019114951557996,1.0,-0.36844723749672686,0.0
2018-10-17,-0.14977381413984747,-0.6397828615742536,-0.0,-0.4256688639007367,1.0,-0.36975571927103523,0.0
2018-10-18,-0.14886613969159,-0.6386678761176623,-0.0,-0.4318517558636776,1.0,-0.3722949332642218,0.0
2018-10-19,-0.13587040370275133,-0.6303162766778091,-0.0,-0.4338904602725636,1.0,-0.3713036770377989,0.0
2018-10-22,-0.13598741716731558,-0.6196787252146558,-0.0,-0.4430291622618157,1.0,-0.37977980042802256,0.0
2018-10-23,-0.13184678735141014,-0.623080309740243,-0.0,-0.45008157874291044,1.0,-0.38479268640095304,0.0
2018-10-24,-0.1308217223216834,-0.6193663890402429,-0.0,-0.4538802833346307,1.0,-0.3905710801484134,0.0
2018-10-25,-0.09951695708252195,-0.5857464404036318,-0.0,-0.4743936673326421,1.0,-0.36933815533243974,0.0
2018-10-26,-0.09277755470789,-0.5781469584420799,-0.0,-0.4744278257378036,1.0,-0.36420899417787594,0.0
2018-10-29,-0.09125599377400648,-0.5791931313232747,-0.0,-0.4764642381944618,1.0,-0.3635678959656566,0.0
2018-10-30,-0.07473390201555069,-0.5820688961022622,-0.0,-0.47970609697793215,1.0,-0.3797589391308724,0.0
2018-10-31,-0.07670561156838708,-0.5714643116259288,-0.0,-0.47739611218133143,1.0,-0.37624777964023914,0.0
