Date,DCP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3628509719222462,-0.8342598165917218,-0.0,-0.6625004425875438,-0.6810891194278228,0.0
2018-09-25,1.0,-0.3604064520713423,-0.839479855041569,-0.0,-0.6664890215305905,-0.6864918638527677,0.0
2018-09-26,1.0,-0.3593316743690011,-0.8391041592605759,-0.0,-0.6671525062211163,-0.6893707785282617,0.0
2018-09-27,1.0,-0.3601350151003731,-0.8368449102860188,-0.0,-0.6669390655533842,-0.689109966246225,0.0
2018-09-28,1.0,-0.3619396352518753,-0.8362188488748268,-0.0,-0.6674606278218209,-0.6894308365032529,0.0
2018-10-01,1.0,-0.36167182882979104,-0.8395813307700525,-0.0,-0.6680195094164977,-0.6908398305386451,0.0
2018-10-02,1.0,-0.3792283583702583,-0.8103317842861775,-0.0,-0.6955581973414028,-0.7172808818761482,0.0
2018-10-03,1.0,-0.37945817422004463,-0.8103609770156351,-0.0,-0.6955112039772319,-0.7171986454355501,0.0
2018-10-04,1.0,-0.37853906108392243,-0.8248323364147182,-0.0,-0.6948704005800254,-0.7269168026101143,0.0
2018-10-05,1.0,-0.3587317636862632,-0.8146034955943955,-0.0,-0.701068900765564,-0.7367831864798497,0.0
2018-10-08,1.0,-0.35717403958090804,-0.8180296856810244,-0.0,-0.7188227590221187,-0.7439610011641443,0.0
2018-10-09,1.0,-0.36297700185880377,-0.8210445748441885,-0.0,-0.7189197069650473,-0.7417720596275104,0.0
2018-10-10,1.0,-0.3805159287456575,-0.8333579717643581,-0.0,-0.7390420578017592,-0.7428486953950774,0.0
2018-10-11,1.0,-0.3081249552196031,-0.8147166296482052,-0.0,-0.7116142437486567,-0.7479759260586086,0.0
2018-10-12,1.0,-0.31295065742966205,-0.8052452990244592,-0.0,-0.6910080588152128,-0.7253640605118055,0.0
2018-10-15,1.0,-0.27725327958700186,-0.8430041370531453,-0.0,-0.686538665535165,-0.7291467769880838,0.0
2018-10-16,1.0,-0.2781058811047848,-0.8420270891537291,-0.0,-0.6868479683134703,-0.7294621070127665,0.0
2018-10-17,1.0,-0.25623913799096276,-0.8018421967327076,-0.0,-0.6808133472367048,-0.7369134515119916,0.0
2018-10-18,1.0,-0.2571418629736595,-0.8048296739622117,-0.0,-0.6799819061206027,-0.7376387487386479,0.0
2018-10-19,1.0,-0.23940356205991997,-0.7920405909153666,-0.0,-0.6819687974596162,-0.7381609830180864,0.0
2018-10-22,1.0,-0.23989785706891198,-0.7901238828116913,-0.0,-0.6823216812174333,-0.7383967700748818,0.0
2018-10-23,1.0,-0.24026086056381765,-0.7900693557848245,-0.0,-0.6819985507746454,-0.7382077913115489,0.0
2018-10-24,1.0,-0.23874978414781559,-0.7930581937489208,-0.0,-0.6830253842168883,-0.7388361250215854,0.0
