Date,EKAR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-10-12,1.0,-0.0,-0.3003914138266311,-0.0,-0.5740819226646057,-0.6186332926129989,0.0
2018-10-15,1.0,-0.0,-0.3230340572679553,-0.0,-0.5516332064581934,-0.6130805781525984,0.0
2018-10-16,1.0,-0.0,-0.33160028856439216,-0.0,-0.5467051419189531,-0.6092937635264559,0.0
2018-10-17,1.0,-0.0,-0.28105951186075545,-0.0,-0.5339420793654679,-0.6330632328820779,0.0
2018-10-18,1.0,-0.0,-0.2789866601395178,-0.0,-0.5358952392608004,-0.6328233998286623,0.0
2018-10-19,1.0,-0.0,-0.25835032527429846,-0.0,-0.5357801728323138,-0.6332896397708516,0.0
2018-10-22,1.0,-0.0,-0.2723178421014193,-0.0,-0.5322686661635465,-0.6298415171507169,0.0
2018-10-23,1.0,-0.0,-0.2814456181533646,-0.0,-0.5305164319248826,-0.6332404147104851,0.0
2018-10-24,1.0,-0.0,-0.27421915065080954,-0.0,-0.5304158831717503,-0.637427043395443,0.0
2018-10-25,1.0,-0.0,-0.21930675499822547,-0.0,-0.5650538270436531,-0.5816633147994794,0.0
2018-10-26,1.0,-0.0,-0.2052513233709655,-0.0,-0.5745538014709327,-0.5624443715744601,0.0
2018-10-29,1.0,-0.0,-0.20785943423738698,-0.0,-0.654029357441431,-0.5683629824049772,0.0
2018-10-30,1.0,-0.0,-0.20523784072688403,-0.0,-0.6476604635343278,-0.5765268937369419,0.0
2018-10-31,1.0,-0.0,-0.18395407178695483,-0.0,-0.6538498649170206,-0.5743921265920494,0.0
2018-11-01,1.0,-0.0,-0.19604537462970545,-0.0,-0.6427590857638303,-0.5696153753522314,0.0
2018-11-02,1.0,-0.0,-0.16676647423766977,-0.0,-0.6645986537954822,-0.5639926222243514,0.0
2018-11-05,1.0,-0.0,-0.37094203283566235,-0.0,-0.8053238403910526,-0.48034110833643273,0.0
2018-11-06,1.0,-0.0,-0.3771109930961232,-0.0,-0.8035581518852895,-0.4746946362187998,0.0
2018-11-07,1.0,-0.0,-0.37783555756016024,-0.0,-0.800774720755618,-0.47451646281605686,0.0
2018-11-08,1.0,-0.0,-0.3781596510589101,-0.0,-0.7635713910347366,-0.48581113037994644,0.0
2018-11-09,1.0,-0.0,-0.3807515943709482,-0.0,-0.7643756917725187,-0.49019659516154535,0.0
2018-11-12,1.0,-0.0,-0.3787591509980513,-0.0,-0.7655237794280297,-0.4890978037604677,0.0
2018-11-13,1.0,-0.0,-0.3682645662719733,-0.0,-0.7631057326169737,-0.4767356945386261,0.0
2018-11-14,1.0,-0.0,-0.3675646074008397,-0.0,-0.763918950634991,-0.4762562912352987,0.0
2018-11-15,1.0,-0.0,-0.36785379568884724,-0.0,-0.7682495053629074,-0.4672498177652817,0.0
2018-11-16,1.0,-0.0,-0.35585959810997453,-0.0,-0.7625266109351472,-0.47780258580403967,0.0
2018-11-19,1.0,-0.0,-0.3558486059913816,-0.0,-0.7620320855614973,-0.4780385234411505,0.0
2018-11-20,1.0,-0.0,-0.33048793067877036,-0.0,-0.7395811842376727,-0.508871466886734,0.0
2018-11-21,1.0,-0.0,-0.32904904182979605,-0.0,-0.7412940449206676,-0.5053832680815991,0.0
2018-11-23,1.0,-0.0,-0.3175501801338137,-0.0,-0.7490993309315492,-0.506690684508492,0.0
2018-11-26,1.0,-0.0,-0.3246238909605247,-0.0,-0.7446573228751446,-0.5024045261669025,0.0
2018-11-27,1.0,-0.0,-0.3307163133263432,-0.0,-0.7331918267140629,-0.4934404009922513,0.0
2018-11-28,1.0,-0.0,-0.33029001074113856,-0.0,-0.7333384481612194,-0.49378548411845946,0.0
2018-11-29,1.0,-0.0,-0.32084558450775624,-0.0,-0.7188735678799554,-0.49500659028693095,0.0
2018-11-30,1.0,-0.0,-0.324095008256065,-0.0,-0.73082687666709,-0.4853804140734154,0.0
2018-12-03,1.0,-0.0,-0.3241608862464111,-0.0,-0.7310516553599106,-0.48565693523388476,0.0
2018-12-04,1.0,-0.0,-0.32481038987393146,-0.0,-0.7277477614590466,-0.48403216396519794,0.0
2018-12-06,1.0,-0.0,-0.27597707396610505,-0.0,-0.7361776767626859,-0.45832303967587334,0.0
2018-12-07,1.0,-0.0,-0.2817007969333199,-0.0,-0.7441238777363058,-0.49611621103601333,0.0
2018-12-10,1.0,-0.0,-0.2891094541010998,-0.0,-0.7437591959899249,-0.4609591261627472,0.0
