Date,IWF,IWM,MTUM,SCPL,SPY,VLUE,VXX
2020-01-02,-0.5749955571352409,-0.8970143948818198,-2.6146259107872756,1.0,-2.5995201706060067,-1.1995734849831172,0.0
2020-01-03,-0.5261432116270826,-0.92387451258419,-2.6390464374335343,1.0,-2.5763027295285363,-1.196738745125842,0.0
2020-01-06,-0.4875886524822695,-0.9460992907801419,-2.69104609929078,1.0,-2.5745567375886527,-1.1659574468085105,0.0
2020-01-07,-0.4869272356642737,-0.9462908800850838,-2.6905964725693523,1.0,-2.5710360719666756,-1.1680404147833023,0.0
2020-01-08,-0.4876882196634189,-0.9410097431355182,-2.687776793622675,1.0,-2.5631532329495132,-1.1777679362267495,0.0
2020-01-09,-0.4719150818222026,-0.9437417072091995,-2.6867757629367537,1.0,-2.5563025210084036,-1.1869084475895622,0.0
2020-01-10,-0.45221507681314754,-0.980886030725259,-2.7053411932833153,1.0,-2.56654162200786,-1.226777420507324,0.0
2020-01-13,-0.4535309347379698,-0.9802696187840371,-2.7088652798857247,1.0,-2.56173555932506,-1.2233729131327562,0.0
2020-01-14,-0.4388829407566024,-0.9720735189150608,-2.6954853675945754,1.0,-2.5630799428979305,-1.252765881513205,0.0
2020-01-15,-0.4136931715268973,-1.0106864698424198,-2.7494113385256296,1.0,-2.587574714725593,-1.2948741170077884,0.0
2020-01-16,-0.4175197028716369,-0.9915753238517981,-2.727239786212519,1.0,-2.5946190778150195,-1.3278376664552947,0.0
2020-01-17,-0.41704649042844116,-0.9500455788514128,-2.7615314494074745,1.0,-2.6263445761166815,-1.3608933454876937,0.0
2020-01-21,-0.41568734626947246,-0.9592784913910904,-2.75284686161975,1.0,-2.6223011751844765,-1.359843308736449,0.0
2020-01-22,-0.4142297531201603,-0.9543591145121618,-2.759861528650815,1.0,-2.6220278764689806,-1.3593878108772888,0.0
2020-01-23,-0.41403189066059226,-0.9538041002277904,-2.761002277904328,1.0,-2.6215945330296124,-1.3612756264236903,0.0
2020-01-24,-0.414814139941691,-0.9545371720116619,-2.7598396501457727,1.0,-2.6205357142857144,-1.3611516034985425,0.0
2020-01-27,-0.3763022012863484,-0.9240873267506114,-2.7761572606214333,1.0,-2.611287254280279,-1.3708669263520246,0.0
2020-01-28,-0.2692204661130458,-0.9814269131172425,-2.8324850433074378,1.0,-2.573533351192071,-1.2726136262166265,0.0
2020-01-29,-0.22736992159657876,-0.9945652173913042,-2.8527263007840338,1.0,-2.5665538132573054,-1.268175338560228,0.0
2020-01-30,-0.23741327165984696,-0.9927059242127735,-2.8416651841309375,1.0,-2.5687600071161714,-1.2546699875466998,0.0
