Date,IWF,IWM,MTUM,SCVL,SPY,VLUE,VXX
2018-09-24,-0.9767798619343142,-2.0154800920437905,-0.13792622550728678,1.0,-1.4305139111637961,-1.4123143434906908,0.0
2018-09-25,-0.9769177126917712,-2.0152022315202234,-0.13842398884239887,1.0,-1.4305439330543932,-1.4124128312412831,0.0
2018-09-26,-0.9787933930571109,-2.0206466965285554,-0.13360862262038073,1.0,-1.4388297872340425,-1.4270716685330347,0.0
2018-09-27,-0.9790253792910578,-2.014891980703349,-0.13521638817031392,1.0,-1.437041180171992,-1.4252953925749845,0.0
2018-09-28,-0.9762287631965323,-2.01691952737188,-0.13647486541285045,1.0,-1.436621687757813,-1.4252953925749845,0.0
2018-10-01,-0.97607220317638,-2.019380116140768,-0.13747988525851815,1.0,-1.4370670957811515,-1.4264325194150984,0.0
2018-10-02,-0.97635867664545,-2.01447856193607,-0.14016926627963908,1.0,-1.4368748688536055,-1.4265230467930332,0.0
2018-10-03,-0.9802188552188553,-2.0264450056116723,-0.14372895622895623,1.0,-1.4384118967452302,-1.4257856341189674,0.0
2018-10-04,-0.9833952217473553,-2.0163245288306593,-0.1450991382330274,1.0,-1.4418832761157432,-1.4196034470678904,0.0
2018-10-05,-0.9568310202943022,-2.0050212706604364,-0.11290884998953903,1.0,-1.4584699072459728,-1.440755980193877,0.0
2018-10-08,-0.9518114178429873,-1.9966622627077395,-0.10458243515749949,1.0,-1.462554759752451,-1.438008483415618,0.0
2018-10-09,-0.9513942006814547,-1.9972880884500381,-0.10319171128572423,1.0,-1.4631110493011614,-1.438564772964328,0.0
2018-10-10,-0.9641857862339115,-2.005106323447118,-0.11073027420257414,1.0,-1.4776161163961947,-1.437395075545607,0.0
2018-10-11,-0.8282406784223988,-1.9973751514335711,-0.0,1.0,-1.4378785839278503,-1.4668865257773591,0.0
2018-10-12,-0.8443336656696577,-1.9901628447989366,-0.0,1.0,-1.3952143569292124,-1.417082087072117,0.0
2018-10-15,-0.8277324849207928,-1.9984755087161132,-0.0,1.0,-1.3888115596208657,-1.41313713793332,0.0
2018-10-16,-0.8188396176314392,-2.0185873605947955,-0.0,1.0,-1.3882766861391398,-1.4126394052044609,0.0
2018-10-17,-0.7660811075556717,-1.9341735780056162,-0.0,1.0,-1.3864037092666361,-1.443740612551427,0.0
2018-10-18,-0.7663465935070872,-1.9354627996603306,-0.0,1.0,-1.386243386243386,-1.4440525181265922,0.0
2018-10-19,-0.728417382320656,-1.9071479305223735,-0.0,1.0,-1.3834183508749274,-1.43804481177762,0.0
2018-10-22,-0.7300787808343019,-1.9064961901071937,-0.0,1.0,-1.383120237633992,-1.43775022601059,0.0
2018-10-23,-0.7539434232824924,-1.927323686611915,-0.0,1.0,-1.3887368009385999,-1.4479859210011732,0.0
2018-10-24,-0.75,-1.9201615003907269,-0.0,1.0,-1.3898150560041678,-1.4520708517843188,0.0
2018-10-25,-0.663145318493366,-1.8212286989876123,-0.0,1.0,-1.4160850154058984,-1.3875998239325913,0.0
2018-10-26,-0.6236194237058061,-1.7799099154686249,-0.0,1.0,-1.409699512556303,-1.356944530141297,0.0
2018-10-29,-0.6059397435110757,-1.779223169908572,-0.0,1.0,-1.397987359636743,-1.3528870344235135,0.0
2018-10-30,-0.5681902638424378,-1.8001981915025393,-0.0,1.0,-1.418927288492506,-1.4061687105165366,0.0
2018-10-31,-0.5682846313730285,-1.7578554835554467,-0.0,1.0,-1.4012715490891308,-1.3858051106492235,0.0
