Date,ACAD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.657942334290882,-3.0371316097457175,-0.615491009681881,-2.212894988828599,-2.115863389722311,0.0
2018-09-25,1.0,-1.6591174906964383,-3.0335991493886234,-0.61839447102605,-2.2098883572567782,-2.1116427432216907,0.0
2018-09-26,1.0,-1.689183365653954,-3.0839258780435252,-0.6400560224089635,-2.240034475328593,-2.1203404438698557,0.0
2018-09-27,1.0,-1.6924566878295493,-3.068869041213817,-0.6430646723340149,-2.2383514473259445,-2.118045840955558,0.0
2018-09-28,1.0,-1.6969729613271574,-3.070128191317462,-0.6433265108262416,-2.2414090272541207,-2.120650651728967,0.0
2018-10-01,1.0,-1.7111760883690708,-3.082304526748971,-0.6433831492311024,-2.2590426683993936,-2.1336365605371452,0.0
2018-10-02,1.0,-1.7137751786874593,-3.062594758501191,-0.6512887156162009,-2.2633744855967075,-2.138509854884124,0.0
2018-10-03,1.0,-1.7119671066868642,-3.0542090456611124,-0.6492101276779917,-2.26401211858905,-2.1408785977061244,0.0
2018-10-04,1.0,-1.71211957110365,-3.060435394779595,-0.6483266543918553,-2.2651359254846746,-2.1446983645618976,0.0
2018-10-05,1.0,-1.6833423765599567,-3.055018990775909,-0.6116115029842648,-2.307216494845361,-2.194791101465003,0.0
2018-10-08,1.0,-1.6787340125731627,-3.0475829178408844,-0.5999349663993063,-2.3176891393886843,-2.194992412746586,0.0
2018-10-09,1.0,-1.6777585085627575,-3.048775200520269,-0.5967916756991112,-2.318989811402558,-2.1966182527639284,0.0
2018-10-10,1.0,-1.6810101885974422,-3.046065467158032,-0.6005853024062433,-2.32072404075439,-2.1905484500325167,0.0
2018-10-11,1.0,-1.5284263427913307,-3.0426133389173913,-0.38488116427599206,-2.2811223955606743,-2.2329598994869646,0.0
2018-10-12,1.0,-1.5967299578059073,-3.085864978902954,-0.384915611814346,-2.271940928270042,-2.2091772151898734,0.0
2018-10-15,1.0,-1.559659985308007,-3.1289747087837125,-0.3329835239794312,-2.2637212719068107,-2.208941127085738,0.0
2018-10-16,1.0,-1.5575369768173712,-3.1331165425364524,-0.32854295604741424,-2.262771425574321,-2.2079093674604007,0.0
