Date,CBT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.30593679174011584,-0.6650717703349281,-0.11215688743389575,-0.5066104255854949,-0.5580458322840594,0.0
2018-09-25,1.0,-0.3061282301469894,-0.664757168486985,-0.11255547511881905,-0.5063737370558056,-0.5576783859494507,0.0
2018-09-26,1.0,-0.3067140923541818,-0.6654915168875319,-0.11388460448865247,-0.5059964115962102,-0.5556359973559131,0.0
2018-09-27,1.0,-0.3070992510541884,-0.6641387123166971,-0.11429290704260808,-0.5058531059223362,-0.5554471647051419,0.0
2018-09-28,1.0,-0.3027972913106765,-0.6763179545598379,-0.11515093981393582,-0.5103158027972913,-0.5598063413707993,0.0
2018-10-01,1.0,-0.30525281966797624,-0.6753263211253326,-0.11468761880623497,-0.5124192117602332,-0.5605119756684831,0.0
2018-10-02,1.0,-0.30602806550730144,-0.6685672653552535,-0.11720358579619246,-0.5138268554594697,-0.5620387088599575,0.0
2018-10-03,1.0,-0.30613409415121257,-0.6576319543509273,-0.1152639087018545,-0.5197654144872405,-0.5712791250594389,0.0
2018-10-04,1.0,-0.30494584034814654,-0.6631619071821099,-0.11527588068993998,-0.5181855722499286,-0.574918204631365,0.0
2018-10-05,1.0,-0.2934638039141174,-0.6574830578250681,-0.10412312369371081,-0.526094116156818,-0.5855975679270378,0.0
2018-10-08,1.0,-0.29216076906049393,-0.6554090377257059,-0.10191948897954022,-0.5276223002245201,-0.5851753470575214,0.0
2018-10-09,1.0,-0.28966281462719645,-0.6573690042741808,-0.09422194079468102,-0.5327845496279879,-0.592021529206902,0.0
2018-10-10,1.0,-0.292605849537261,-0.6824352649060011,-0.0846473831866112,-0.5464190126084293,-0.6185869530166715,0.0
2018-10-11,1.0,-0.29097367996124657,-0.6882932342967867,-0.07773292426933635,-0.5502664298401422,-0.6221540448893913,0.0
2018-10-12,1.0,-0.28849192274207586,-0.6905813691032793,-0.07151839551155965,-0.5506400541708316,-0.6231902750459485,0.0
2018-10-15,1.0,-0.26465634514478203,-0.7452872967545507,-0.032033426183844006,-0.5588197188572909,-0.638142126060763,0.0
