Date,DHT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.49928916690361097,-1.4198180267273244,-0.07757558525258268,-0.8846554828926169,-0.8575016586105582,0.0
2018-09-25,1.0,-0.5086042973949421,-1.419946757938772,-0.08770678836280663,-0.8842935919376307,-0.8532515687393042,0.0
2018-09-26,1.0,-0.5082746813772113,-1.4200589689937226,-0.0861232642191364,-0.8852482404413164,-0.8558588548601864,0.0
2018-09-27,1.0,-0.5083697926574091,-1.4197736351531292,-0.08645615369982881,-0.8851531291611184,-0.8558112992200876,0.0
2018-09-28,1.0,-0.5196402086024592,-1.4228505813118988,-0.08640734893067317,-0.8930673173532366,-0.8625424620831539,0.0
2018-10-01,1.0,-0.5213229311252573,-1.421480878763222,-0.086440434595319,-0.8942229454841334,-0.862777006652946,0.0
2018-10-02,1.0,-0.5374031007751938,-1.385658914728682,-0.10537790697674418,-0.9241279069767442,-0.8924418604651163,0.0
2018-10-03,1.0,-0.5368818714583233,-1.3737104664115853,-0.10379231849663391,-0.928609483217901,-0.9002760691625902,0.0
2018-10-04,1.0,-0.5393437862950058,-1.3674506387921022,-0.10481997677119628,-0.9312814556716996,-0.896486643437863,0.0
2018-10-05,1.0,-0.5183109479176732,-1.3616291429123588,-0.0810223209971978,-0.9509131317035462,-0.9194608174702871,0.0
2018-10-08,1.0,-0.5170712834896992,-1.3603830157655479,-0.07244414353419093,-0.9632459618918657,-0.9229132411258343,0.0
2018-10-09,1.0,-0.5207536203806848,-1.362667699907977,-0.07836489562648327,-0.9619315154744031,-0.9196009105439048,0.0
2018-10-10,1.0,-0.5236687824022481,-1.3612578128785309,-0.0812539367217404,-0.9641455496874849,-0.9148699064877174,0.0
2018-10-11,1.0,-0.4683645232399981,-1.3472632615730968,-0.018713943998874348,-0.9401998030111157,-0.9157168988321372,0.0
2018-10-12,1.0,-0.48690686228990626,-1.3472467267155726,-0.011328814188875476,-0.9143374500882162,-0.8831367815024608,0.0
2018-10-15,1.0,-0.4679846289180055,-1.3674244177971204,-0.0,-0.91101439881476,-0.8833742302884393,0.0
2018-10-16,1.0,-0.4613852212184387,-1.3798007875839704,-0.0,-0.9096594857539959,-0.8820013898540654,0.0
2018-10-17,1.0,-0.4339751157932976,-1.3283988738534194,-0.0,-0.8958314412859868,-0.8827082008900191,0.0
2018-10-18,1.0,-0.43394341250738,-1.3291248467232843,-0.0,-0.8956355874472047,-0.8828284663245379,0.0
2018-10-19,1.0,-0.4171325518485122,-1.3206943192064924,-0.0,-0.8927862939585212,-0.8779531109107304,0.0
2018-10-22,1.0,-0.4174454828660436,-1.3060183303986637,-0.0,-0.9035622375728024,-0.8878504672897196,0.0
2018-10-23,1.0,-0.4187054256567663,-1.3058138485149409,-0.0,-0.9022749842014987,-0.887063284282748,0.0
2018-10-24,1.0,-0.41631308115915866,-1.307754807258283,-0.0,-0.9026812313803376,-0.8871084228581747,0.0
2018-10-25,1.0,-0.3638225553425135,-1.242199755970019,-0.0,-0.9107983266515601,-0.840857591075475,0.0
2018-10-26,1.0,-0.34643702906350915,-1.2227771797631863,-0.0,-0.9092787944025834,-0.8272120559741658,0.0
2018-10-29,1.0,-0.298028689606618,-1.2964446008976502,-0.0,-0.9214556015136849,-0.8843175217812198,0.0
2018-10-30,1.0,-0.2902629958659513,-1.2961122350250682,-0.0,-0.9213651156654059,-0.8901838332307151,0.0
2018-10-31,1.0,-0.2949640287769784,-1.267800305210377,-0.0,-0.9160235448005232,-0.8813603662524525,0.0
2018-11-01,1.0,-0.26312802828582654,-1.2976559430791392,-0.0,-0.9186345977563404,-0.8857217687371776,0.0
2018-11-02,1.0,-0.2691540994973132,-1.2610071069509448,-0.0,-0.9258537008146993,-0.8774484312705841,0.0
2018-11-05,1.0,-0.25923450519092817,-1.3610034309138708,-0.0,-0.9707258387916055,-0.8647685247070357,0.0
2018-11-06,1.0,-0.2804943820224719,-1.3881797752808989,-0.0,-0.9702471910112359,-0.8554606741573034,0.0
2018-11-07,1.0,-0.28167364770526504,-1.3904877719227131,-0.0,-0.9738323649957212,-0.8579020853037878,0.0
2018-11-08,1.0,-0.21992232122458305,-1.4405300434087274,-0.0,-0.9937856979666438,-0.9151473612063058,0.0
2018-11-09,1.0,-0.22022204961849498,-1.440032896239777,-0.0,-0.9936948873760679,-0.9149723580207428,0.0
2018-11-12,1.0,-0.2180652786616965,-1.4238567142467495,-0.0,-0.9947722520229111,-0.9091281025547777,0.0
2018-11-13,1.0,-0.19513735396274076,-1.422301411881456,-0.0,-0.9917903378591728,-0.9015291623438135,0.0
2018-11-14,1.0,-0.19389243391066543,-1.4403828623518689,-0.0,-1.006608933454877,-0.9169553327256152,0.0
