Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WAT
2018-09-24,-0.34324929813118565,-0.46717522615772905,-0.13470209568102545,-0.48390664435810904,-0.4068003289566968,0.0,1.0
2018-09-25,-0.3443329364404377,-0.46603730793218806,-0.13655950558485003,-0.4828485570108295,-0.4051709474400408,0.0,1.0
2018-09-26,-0.3442762374553496,-0.4660089584396439,-0.13638940862958554,-0.48290525599591766,-0.40539774338039347,0.0,1.0
2018-09-27,-0.3450923722089992,-0.46336280176810607,-0.13711322679360763,-0.4827439646378782,-0.40516264309191885,0.0,1.0
2018-09-28,-0.3443175700563851,-0.46394469158190005,-0.13744935256283114,-0.4825602810755673,-0.40515116312016547,0.0,1.0
2018-10-01,-0.344980022103205,-0.4632605061067188,-0.13737992008841282,-0.48295502847912947,-0.405168749468673,0.0,1.0
2018-10-02,-0.3449722253712731,-0.46423308014964293,-0.13737104636662512,-0.48262668631674416,-0.4049710917129577,0.0,1.0
2018-10-03,-0.34464685384026966,-0.4587925319432246,-0.13661217667223843,-0.48460209082924893,-0.4085049720939457,0.0,1.0
2018-10-04,-0.3470318341452362,-0.45454287980061175,-0.13707941542993088,-0.48770816812053924,-0.4058570295683698,0.0,1.0
2018-10-05,-0.34136149306830055,-0.4500945873450603,-0.13067171132506988,-0.49168478414320804,-0.40966202671033686,0.0,1.0
2018-10-08,-0.34016578324123153,-0.44772752904026164,-0.12800270666516297,-0.49422014209992104,-0.4093267170407128,0.0,1.0
2018-10-09,-0.35587830869714676,-0.4615560902944884,-0.14773117909934685,-0.49564569726137275,-0.40386157900767733,0.0,1.0
2018-10-10,-0.3556345090398556,-0.4621071029483396,-0.14707314976648234,-0.49577376006418156,-0.4046302398212086,0.0,1.0
2018-10-11,-0.3271895864893677,-0.4599955114178309,-0.10643550468495765,-0.4930146439993267,-0.4187566627391573,0.0,1.0
2018-10-12,-0.3421360195903829,-0.4571460373998219,-0.10538178984861976,-0.4785173642030276,-0.3995714603739982,0.0,1.0
2018-10-15,-0.34148308856252785,-0.4581108144192257,-0.10330440587449932,-0.47902759234534936,-0.3995327102803738,0.0,1.0
2018-10-16,-0.3398169018003729,-0.46570387066254837,-0.09783788296184989,-0.47958928124217376,-0.3996994740796393,0.0,1.0
2018-10-17,-0.33625747177330084,-0.45677440779278283,-0.09497454062430817,-0.47844255036528666,-0.40087447420854544,0.0,1.0
2018-10-18,-0.3350770848902544,-0.45495308477953994,-0.09598937141908163,-0.4806388219989482,-0.40120125107254556,0.0,1.0
2018-10-19,-0.3279216312154316,-0.44652045898571857,-0.08824743402768223,-0.48611760821111144,-0.40290580886601907,0.0,1.0
2018-10-22,-0.32725720736845004,-0.44923864856678686,-0.0911694247872897,-0.48426356802599335,-0.40160255527714295,0.0,1.0
