Date,IWF,IWM,MTUM,PDCE,SPY,VLUE,VXX
2018-09-24,-0.521598575712144,-1.353916791604198,-0.09309407796101948,1.0,-0.8303973013493254,-0.8861506746626687,0.0
2018-09-25,-0.5287879498850359,-1.3521186241846934,-0.10196612078269439,1.0,-0.8285861761531603,-0.8809534981934212,0.0
2018-09-26,-0.5284491676855074,-1.3534750305652214,-0.09705633405435907,1.0,-0.8327377033762814,-0.8906235305181982,0.0
2018-09-27,-0.5302325581395348,-1.3470049330514446,-0.09880197322057786,1.0,-0.8321822879962415,-0.8898754991778247,0.0
2018-09-28,-0.5331734612310152,-1.3458879954859642,-0.09907368223068604,1.0,-0.8332628015234871,-0.890675694738327,0.0
2018-10-01,-0.5331734612310152,-1.3456999106597076,-0.09954389429632765,1.0,-0.8331217379037946,-0.8905816523251987,0.0
2018-10-02,-0.5341763820985332,-1.3360285821737496,-0.10328130876269274,1.0,-0.8349003384731103,-0.8925817976682965,0.0
2018-10-03,-0.533734260477354,-1.3302010900206727,-0.10289419282089832,1.0,-0.836214997180981,-0.8953204284908852,0.0
2018-10-04,-0.5330838819684555,-1.3524368872258798,-0.10320655520295552,1.0,-0.8366409321271254,-0.9110500639416472,0.0
2018-10-05,-0.5244236583522297,-1.3532218442932726,-0.09103363567649281,1.0,-0.8396164021164021,-0.9158163265306123,0.0
2018-10-08,-0.5227272727272728,-1.350878850878851,-0.08311283311283311,1.0,-0.8501228501228502,-0.9181629181629182,0.0
2018-10-09,-0.5195472272424617,-1.3622657661942357,-0.06287453628840484,1.0,-0.8696851517169218,-0.9416436792542566,0.0
2018-10-10,-0.5248939920910953,-1.3616179903759111,-0.06746390966696841,1.0,-0.8743151174424699,-0.9360617466291867,0.0
2018-10-11,-0.45473079418033546,-1.364099712723566,-0.0,1.0,-0.855852098971365,-0.9588546010564359,0.0
2018-10-12,-0.45836002562459954,-1.357829230346847,-0.0,1.0,-0.828818522924865,-0.9308135810377962,0.0
2018-10-15,-0.47111540052392115,-1.3533250608943426,-0.0,1.0,-0.8362516659772968,-0.935107311916908,0.0
2018-10-16,-0.4775123141370897,-1.3472356488514476,-0.0,1.0,-0.8399852690696497,-0.9386825024167933,0.0
2018-10-17,-0.4496422425504937,-1.2985689702019745,-0.0,1.0,-0.8323068562630197,-0.9480572411919211,0.0
