Date,IWF,IWM,MTUM,SPY,TGH,VLUE,VXX
2018-09-24,-1.0308510638297872,-2.1732522796352582,-0.18396656534954406,-1.5787234042553193,1.0,-1.6319908814589665,0.0
2018-09-25,-1.0356328825406473,-2.16935116243732,-0.191460264397508,-1.57536848503267,1.0,-1.6258927214709011,0.0
2018-09-26,-1.0363234846177276,-2.1731647883033816,-0.18633871459031373,-1.5815565031982943,1.0,-1.6376028023149558,0.0
2018-09-27,-1.0436239055957366,-2.156985154168253,-0.19162542824514658,-1.5829463266082984,1.0,-1.6380662352493338,0.0
2018-09-28,-1.0471690924331325,-2.156442886535091,-0.19263887830526555,-1.584622418654271,1.0,-1.6393355177931872,0.0
2018-10-01,-1.0667693492491337,-2.1740469772814786,-0.1932229495571814,-1.6093184443588757,1.0,-1.657835964574509,0.0
2018-10-02,-1.066990066990067,-2.1715561715561713,-0.19527219527219525,-1.6088396088396086,1.0,-1.6574266574266572,0.0
2018-10-03,-1.066030475604125,-2.1548406957057105,-0.1933199938433123,-1.6142835154686779,1.0,-1.6673079883022934,0.0
2018-10-04,-1.0670218515944716,-2.167245772527218,-0.1954289244073817,-1.6155509227086713,1.0,-1.6762412168944485,0.0
2018-10-05,-1.0375048132460531,-2.156642279553331,-0.15926068540623797,-1.6402002310358106,1.0,-1.7075086638428958,0.0
2018-10-08,-1.0379132311011792,-2.1596671033366728,-0.1575094397780689,-1.6416737304461742,1.0,-1.7091777760653464,0.0
2018-10-09,-1.0377620221948214,-2.1606041923551174,-0.15636559802712702,-1.6421085080147966,1.0,-1.709617755856967,0.0
2018-10-10,-1.0377256596204287,-2.1652522758833515,-0.15337139330350252,-1.6443450084863445,1.0,-1.7140873322018204,0.0
2018-10-11,-0.9034142640364188,-2.216009104704097,-0.0,-1.653414264036419,1.0,-1.8144916540212443,0.0
2018-10-12,-0.8989298454221164,-2.1846759809750296,-0.0,-1.5943816884661117,1.0,-1.753641498216409,0.0
2018-10-15,-0.8395547309833024,-2.2426716141001855,-0.0,-1.582634508348794,1.0,-1.7562894248608534,0.0
2018-10-16,-0.8285011552508011,-2.279123500037266,-0.0,-1.5861220839233807,1.0,-1.7594842364164864,0.0
2018-10-17,-0.7670974299404676,-2.1719907071293743,-0.0,-1.5580804414113547,1.0,-1.7628865979381443,0.0
2018-10-18,-0.7661319590622051,-2.1710822385134643,-0.0,-1.5585395949771357,1.0,-1.762720476155912,0.0
2018-10-19,-0.7256966831434917,-2.1402679275019705,-0.0,-1.546529120997206,1.0,-1.7513432194283258,0.0
2018-10-22,-0.7268880441798752,-2.122068421430108,-0.0,-1.5598508212006024,1.0,-1.7633220971096608,0.0
2018-10-23,-0.7275921411157321,-2.121683636885128,-0.0,-1.5586548114154597,1.0,-1.7625125484009752,0.0
2018-10-24,-0.738495092693566,-2.135296255906943,-0.0,-1.593020719738277,1.0,-1.8033442384587421,0.0
2018-10-25,-0.6399834379959974,-1.9958594989993785,-0.0,-1.5619349941342902,1.0,-1.7030570699054586,0.0
2018-10-26,-0.5980731392903182,-1.9548816066218875,-0.0,-1.5588574530158084,1.0,-1.672840762602619,0.0
2018-10-29,-0.5449308755760368,-1.9911900243968557,-0.0,-1.5429655733261047,1.0,-1.6978856058552452,0.0
