Date,IWF,IWM,MTUM,PFSI,SPY,VLUE,VXX
2018-09-24,-0.3781035236165733,-1.0771064235490406,-0.005164263297977992,1.0,-0.7694355062964287,-0.7427005124538195,0.0
2018-09-25,-0.3776663482967208,-1.0803884113339701,-0.0029051257561286212,1.0,-0.7723256924546322,-0.7462989493791786,0.0
2018-09-26,-0.37741278024217717,-1.0832434160572275,-0.0,1.0,-0.777804419933661,-0.7578627662550453,0.0
2018-09-27,-0.3834778785819911,-1.0733783621757722,-0.0008792614204068583,1.0,-0.7798249470444826,-0.7590823708085208,0.0
2018-09-28,-0.3836930455635492,-1.073021582733813,-0.001398880895283773,1.0,-0.779656274980016,-0.7590327737809752,0.0
2018-10-01,-0.38357916616700644,-1.0732701762801296,-0.0018387496502378384,1.0,-0.7794699604269097,-0.7590838230003598,0.0
2018-10-02,-0.3843756243756244,-1.0656543456543457,-0.004875124875124875,1.0,-0.7805794205794208,-0.7604795204795206,0.0
2018-10-03,-0.38557981173643097,-1.0523532946124574,-0.0022030843180452634,1.0,-0.7905467654716604,-0.7749248948527938,0.0
2018-10-04,-0.3857709409926692,-1.052117133357369,-0.0028442094299563356,1.0,-0.7902495693626568,-0.7749469214437368,0.0
2018-10-05,-0.36686060412847693,-1.042998326293138,-0.0,1.0,-0.7940145054594724,-0.7811827528492867,0.0
2018-10-08,-0.3668872588103971,-1.0438925211290067,-0.0,1.0,-0.7942513155796523,-0.781573911656833,0.0
2018-10-09,-0.36415101861818766,-1.043854403380776,-0.0,1.0,-0.7952398038512141,-0.7834788502172787,0.0
2018-10-10,-0.3630262842534154,-1.0475353519213868,-0.0,1.0,-0.796277063194056,-0.7877286889829831,0.0
2018-10-11,-0.27019316035007906,-1.0295330994332421,-0.0,1.0,-0.7618074565292825,-0.7939622932490266,0.0
2018-10-12,-0.2659368228988482,-1.0192344242977152,-0.0,1.0,-0.7425400083627931,-0.7735583684950772,0.0
2018-10-15,-0.252948090850491,-1.0274144010920259,-0.0,1.0,-0.7390513024684335,-0.772380844045046,0.0
2018-10-16,-0.24751498596251617,-1.0373700584262844,-0.0,1.0,-0.7378784429774642,-0.7711510736778208,0.0
2018-10-17,-0.22647759416406135,-0.9970596992705079,-0.0,1.0,-0.7268497841298199,-0.7715497990174186,0.0
2018-10-18,-0.22720160929816718,-0.9996274772761139,-0.0,1.0,-0.7262330502160632,-0.7721651020712262,0.0
2018-10-19,-0.2072274925251929,-0.9866376287327896,-0.0,1.0,-0.7266250784393341,-0.7708094939278728,0.0
2018-10-22,-0.2080242128963201,-0.9854205883438526,-0.0,1.0,-0.726682168825896,-0.7708633226294616,0.0
2018-10-23,-0.2079873029933931,-0.9854205883438526,-0.0,1.0,-0.726719078728823,-0.7708633226294616,0.0
