Date,CHPM,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-09-09,1.0,-0.05479047079401838,-0.03362814416988988,-0.06372102190140672,-0.07964819787637653,-0.0,0.0
2020-09-10,1.0,-0.0555500764337492,-0.033100744612653485,-0.06483307855416934,-0.07931850682972533,-0.0,0.0
2020-09-11,1.0,-0.05593646722241405,-0.032826912642430824,-0.06487692990677256,-0.07952695703645243,-0.0,0.0
2020-09-14,1.0,-0.055326655482088226,-0.0322707983815257,-0.064788315405112,-0.08120744103424454,-0.0,0.0
2020-09-15,1.0,-0.05664681438735373,-0.029383839504802774,-0.06205995141740342,-0.0849702215810306,-0.0,0.0
2020-09-16,1.0,-0.056745023556399696,-0.029316001085321033,-0.062381293012012534,-0.08487703806023533,-0.0,0.0
2020-09-17,1.0,-0.05480465666929755,-0.03163230071033938,-0.06130376874506708,-0.08546270718232044,-0.0,0.0
2020-09-18,1.0,-0.05569061046188778,-0.03141774744869627,-0.06141639004405395,-0.08549181238199834,-0.0,0.0
2020-09-21,1.0,-0.05262442880079042,-0.03481536371495616,-0.0659997529949364,-0.08157342225515624,-0.0,0.0
2020-09-22,1.0,-0.050114936846528416,-0.03967175025335541,-0.06343772400326272,-0.08265565909484143,-0.0,0.0
2020-09-23,1.0,-0.04742838783025629,-0.040236276908628056,-0.06533451966090803,-0.08275870591433726,-0.0,0.0
2020-09-24,1.0,-0.046373056994818654,-0.03969898840365162,-0.06448309893905749,-0.08309893905748829,-0.0,0.0
2020-09-25,1.0,-0.046329997902503424,-0.03981542030129921,-0.06465224740589026,-0.08302384976989229,-0.0,0.0
2020-09-28,1.0,-0.046329997902503424,-0.03982775851645301,-0.06456587989981369,-0.08309787906081505,-0.0,0.0
2020-09-29,1.0,-0.04628099173553719,-0.03911434562723572,-0.064931540643888,-0.08317503392130259,-0.0,0.0
2020-09-30,1.0,-0.046322567910981716,-0.03915521452715205,-0.06516000098689892,-0.0829858626730157,-0.0,0.0
2020-10-01,1.0,-0.04643897861411567,-0.03854892082777695,-0.06591099916036942,-0.08383958117251938,-0.0,0.0
2020-10-02,1.0,-0.04596807052635478,-0.037460952451506956,-0.06543936980652171,-0.08584904495561234,-0.0,0.0
2020-10-05,1.0,-0.047762042460641106,-0.03535503324188725,-0.06733644744321692,-0.0853167247472875,-0.0,0.0
2020-10-06,1.0,-0.04806540451755524,-0.0342212836377558,-0.06652834895582478,-0.08617687377273905,-0.0,0.0
2020-10-07,1.0,-0.04753968841814187,-0.03502209712860776,-0.06631607535244302,-0.0855985976347431,-0.0,0.0
2020-10-08,1.0,-0.047435169878358704,-0.034358113943102474,-0.06617483777048533,-0.08570406375681612,-0.0,0.0
2020-10-09,1.0,-0.04681849040301178,-0.03484539900018515,-0.0658643461087453,-0.0868234277602913,-0.0,0.0
2020-10-12,1.0,-0.04498667061611375,-0.035779522116903634,-0.0658940560821485,-0.08755430489731439,-0.0,0.0
2020-10-13,1.0,-0.043472361003170375,-0.036983580671823155,-0.06601038698296387,-0.08714209935482278,-0.0,0.0
2020-10-14,1.0,-0.04495256448265639,-0.03647840695720921,-0.06920150212471587,-0.08467981025793063,-0.0,0.0
2020-10-15,1.0,-0.04484194142135366,-0.036404738669071415,-0.06923941643710393,-0.0848414472952774,-0.0,0.0
2020-10-16,1.0,-0.04787965083885347,-0.032204544047545344,-0.07176375905404568,-0.08632452176066366,-0.0,0.0
2020-10-19,1.0,-0.04713020865581078,-0.03215899944275896,-0.07187171072998576,-0.08714011516314779,-0.0,0.0
2020-10-20,1.0,-0.04672226484199065,-0.03236902670197233,-0.07167957633200525,-0.08656487416169664,-0.0,0.0
2020-10-21,1.0,-0.04761668813794471,-0.032219304330591614,-0.06980229907838668,-0.08908928748389654,-0.0,0.0
2020-10-22,1.0,-0.04742470103706645,-0.03359301344712946,-0.07147819183248152,-0.0880141914355183,-0.0,0.0
2020-10-23,1.0,-0.04807632659644421,-0.03281597002518579,-0.0718477438245183,-0.08792694879716133,-0.0,0.0
2020-10-26,1.0,-0.047980048637649514,-0.03269393021986203,-0.07203831455655367,-0.08804407166608764,-0.0,0.0
2020-10-27,1.0,-0.04733874465580271,-0.03246793481628354,-0.07198711196480576,-0.08742796951483983,-0.0,0.0
2020-10-28,1.0,-0.04746443265751252,-0.03243196351559015,-0.07200218113319784,-0.08739404154067318,-0.0,0.0
