Date,IWF,IWM,MTUM,PKG,SPY,VLUE,VXX
2018-09-24,-0.3268130178525668,-0.41835369152358987,-0.10404031775860596,1.0,-0.500555223370633,-0.49753708607385894,0.0
2018-09-25,-0.3266985591434592,-0.41856028247622307,-0.10382140212996184,1.0,-0.5007118856426903,-0.49777891679480607,0.0
2018-09-26,-0.32688449412439097,-0.4220120378331901,-0.09658928059615936,1.0,-0.5078819145887074,-0.5127543708799083,0.0
2018-09-27,-0.32626656721556024,-0.4250387285558551,-0.09596075506340009,1.0,-0.5083194675540765,-0.5132250846290665,0.0
2018-09-28,-0.3233097822965133,-0.4292607272100638,-0.09658797173875582,1.0,-0.5089034407490378,-0.5140157389855822,0.0
2018-10-01,-0.3247887809644232,-0.4283292143226622,-0.0963273751365021,1.0,-0.5100580493131789,-0.5142249554572101,0.0
2018-10-02,-0.3254123326245618,-0.42256192172863627,-0.09858628814435952,1.0,-0.511234986495029,-0.5156025515774956,0.0
2018-10-03,-0.3251091452205882,-0.4181123621323529,-0.09805836397058822,1.0,-0.5126953124999999,-0.518267463235294,0.0
2018-10-04,-0.34335489133601355,-0.4144671677445668,-0.09835110411932645,1.0,-0.5399697022665034,-0.5170716075278214,0.0
2018-10-05,-0.33075356415478613,-0.4069828338667443,-0.08449228978760547,1.0,-0.5539423916205993,-0.5333139365725923,0.0
2018-10-08,-0.33000058129396037,-0.4055106667441726,-0.08315410102889031,1.0,-0.5548160204615474,-0.5330174969482068,0.0
2018-10-09,-0.345721285828143,-0.4193700740915665,-0.10287215514951147,1.0,-0.5562771201700268,-0.5275850872273223,0.0
2018-10-10,-0.36477967597554056,-0.49779360776650067,-0.08242450986572528,1.0,-0.606757864212318,-0.6002332471789699,0.0
2018-10-11,-0.343776145765548,-0.4905023085742617,-0.05224504973505624,1.0,-0.6035449784636361,-0.6086889157447863,0.0
2018-10-12,-0.3546249424758398,-0.4837244976223347,-0.049271360638134684,1.0,-0.5890167203558827,-0.5913176867617732,0.0
2018-10-15,-0.33819018404907975,-0.5147239263803681,-0.023834355828220858,1.0,-0.5920858895705521,-0.5986503067484662,0.0
2018-10-16,-0.3360044211108041,-0.5258665684197599,-0.016026526664824535,1.0,-0.59319640170704,-0.5991526204292161,0.0
2018-10-17,-0.32725009109680553,-0.5045548402769343,-0.008168346896635491,1.0,-0.5919774079922264,-0.6046398639621037,0.0
2018-10-18,-0.32589082292900756,-0.5025061514626812,-0.00935629879400954,1.0,-0.5947629028828336,-0.6052431726358638,0.0
2018-10-19,-0.32003505908665036,-0.49554205579230515,-0.0017227309819566597,1.0,-0.598120107595128,-0.6069453259588358,0.0
2018-10-22,-0.31952340631426157,-0.4981553163178904,-0.004747792427724689,1.0,-0.5962259586307004,-0.6054493770412483,0.0
2018-10-23,-0.3187651331719128,-0.49927360774818397,-0.0020581113801452786,1.0,-0.5991525423728813,-0.6073849878934624,0.0
2018-10-24,-0.3184087127514748,-0.4947511722886099,-0.0,1.0,-0.6011495991529269,-0.6109514445620934,0.0
2018-10-25,-0.29875014808671957,-0.4658215851202464,-0.0,1.0,-0.6038087904276744,-0.5933538680251155,0.0
2018-10-26,-0.3138353976433716,-0.48425398547448995,-0.0,1.0,-0.6088659855950336,-0.6066057921224723,0.0
2018-10-29,-0.2847700108656284,-0.5068212000482917,-0.0,1.0,-0.6020463600144875,-0.6245623566340698,0.0
2018-10-30,-0.2855806091339914,-0.5068670952941532,-0.0,1.0,-0.602070693350237,-0.623985028223007,0.0
2018-10-31,-0.2847403187685595,-0.5140294527604389,-0.0,1.0,-0.6044785164535483,-0.6268710987212897,0.0
2018-11-01,-0.259103046486224,-0.5380507343124166,-0.0,1.0,-0.606839422259983,-0.6303252821944411,0.0
2018-11-02,-0.25747716371857143,-0.5549751015794457,-0.0,1.0,-0.6067271560810191,-0.6358415055143127,0.0
