Date,CGNX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6173049514964829,-1.0815134936324766,-0.24858627189554502,-0.8606041101558548,-0.7894809434049009,0.0
2018-09-25,1.0,-0.6236935402182421,-1.0800681431005112,-0.2565495648970947,-0.8590174501588472,-0.7849348496707952,0.0
2018-09-26,1.0,-0.6234203486763213,-1.0809888386680195,-0.25274421178858036,-0.8622820772991421,-0.7926390554376903,0.0
2018-09-27,1.0,-0.6237436606731211,-1.0791609036422314,-0.2532503457814661,-0.8619640387275241,-0.7923005993545412,0.0
2018-09-28,1.0,-0.6206053335794038,-1.0833256436283105,-0.254175509827443,-0.8625080741902741,-0.7932084525237612,0.0
2018-10-01,1.0,-0.623089355806973,-1.0822904640960518,-0.25398291387670285,-0.8645578388362964,-0.7939967674901871,0.0
2018-10-02,1.0,-0.6270927758764221,-1.0599389510683563,-0.2627416520210896,-0.8725834797891038,-0.8025159559707705,0.0
2018-10-03,1.0,-0.6266524914486457,-1.0553757973560136,-0.2623647961542017,-0.8734399556254044,-0.8045206619210502,0.0
2018-10-04,1.0,-0.6269353422378333,-1.0543513426075704,-0.26288302444886075,-0.8735499376068772,-0.8039931598650459,0.0
2018-10-05,1.0,-0.613454277557786,-1.0471037848789022,-0.2479510083801455,-0.8820333364029836,-0.8139331430150106,0.0
2018-10-08,1.0,-0.6468191188455823,-1.1114626779807277,-0.26180545567860397,-0.916726592837624,-0.8573277721846685,0.0
2018-10-09,1.0,-0.647391637897967,-1.1118143459915613,-0.2627541235136172,-0.916331031837361,-0.8564441887226698,0.0
2018-10-10,1.0,-0.6470955652717051,-1.1169461394320856,-0.2599336952865997,-0.9183202805938595,-0.8623936962475376,0.0
2018-10-11,1.0,-0.5994105538922155,-1.1085797155688621,-0.19704341317365268,-0.9026478293413174,-0.8704154191616766,0.0
2018-10-12,1.0,-0.6020639548336341,-1.1007913369429405,-0.18959692720625665,-0.8854643898375677,-0.8498310888981443,0.0
2018-10-15,1.0,-0.5925446902859255,-1.1148320938611485,-0.17497343988174974,-0.8853526721788536,-0.8514019123285141,0.0
2018-10-16,1.0,-0.5925908817959259,-1.1147397108411474,-0.17511201441175112,-0.8853064806688531,-0.8514019123285141,0.0
2018-10-17,1.0,-0.5786834427425237,-1.0837892049598834,-0.16429613420860686,-0.8789204959883297,-0.8530725747629467,0.0
2018-10-18,1.0,-0.5790169615174174,-1.0847163961335036,-0.16373335765092104,-0.878761626846617,-0.8532737552434799,0.0
2018-10-19,1.0,-0.5691366417403126,-1.0767731701790164,-0.15182415590301382,-0.8813505551778835,-0.8529345116700657,0.0
2018-10-22,1.0,-0.5689936536718042,-1.0777878513145966,-0.1543970988213962,-0.8800090661831369,-0.8519038984587489,0.0
2018-10-23,1.0,-0.5701726560021751,-1.0770381112067793,-0.15756559568586578,-0.8769202882131689,-0.8499569492907962,0.0
2018-10-24,1.0,-0.5716938405797102,-1.0737771739130435,-0.1492753623188406,-0.8801177536231884,-0.8541666666666666,0.0
2018-10-25,1.0,-0.5318343820125842,-1.0193602323227877,-0.13692964315571787,-0.8933427201126413,-0.8185858230298764,0.0
